,InputCategories,UserDefinedCategories,Type,NumOverlap,Pvalues,CorrectedPvalues
146,darkgreen,aRG_BY_qRG_ThanTrong_up__,User,2,0.262319046,1
147,darkgreen,astroBYoFC5__,User,7,0.873099918,1
148,darkgreen,AstroByothers_Zhang_Cuffdiff2FCover20__,User,2,0.920280462,1
149,darkgreen,endoBYoFC5__,User,7,0.050575547,1
150,darkgreen,EndotheByothers_Zhang_Cuffdiff2FCover20__,User,8,0.138704921,1
151,darkgreen,MacroByMicro_Zhang_Cuffdiff2FCover20__,User,3,0.24514005,1
152,darkgreen,macrophagesBYoFC5__,User,3,0.668053506,1
153,darkgreen,MicroByMacro_Zhang_Cuffdiff2FCover20__,User,6,0.19134881,1
154,darkgreen,MicroByMono_Zhang_Cuffdiff2FCover20__,User,7,0.111280286,1
155,darkgreen,microgliaBYoFC5__,User,1,0.91306478,1
156,darkgreen,MicrogliByothers_Zhang_Cuffdiff2FCover20__,User,6,0.925466092,1
157,darkgreen,MonoByMicro_Zhang_Cuffdiff2FCover20__,User,10,0.042092441,1
158,darkgreen,monocytesBYoFC5__,User,3,0.540983464,1
159,darkgreen,myeoligoBYoFC5__,User,5,0.001117868,1
160,darkgreen,MyeOligoByothers_Zhang_Cuffdiff2FCover20__,User,7,0.009699184,1
161,darkgreen,neuronBYoFC5__,User,14,0.003228336,1
162,darkgreen,NeuronByothers_Zhang_Cuffdiff2FCover20__,User,16,0.000860282,0.867163922
163,darkgreen,newoligoBYoFC5__,User,6,0.000849015,0.855807568
164,darkgreen,NewOligoByothers_Zhang_Cuffdiff2FCover20__,User,1,0.568415328,1
165,darkgreen,npcBYnsc_Walker_FC5___,User,23,1.07E-05,0.010805731
166,darkgreen,nscBYnpc_Walker_FC5___,User,5,0.700590075,1
167,darkgreen,PGBCbyQGBC_Aulestia_FC5___,User,8,0.444479741,1
168,darkgreen,PGBObyQGBO_GSE114574_Tejero_FC5___,User,11,0.946190119,1
169,darkgreen,PNSCbyQNSC_Ben_FC5___,User,5,0.572820251,1
170,darkgreen,preoligoBYoFC5__,User,2,0.013943552,1
171,darkgreen,PreOligoByothers_Zhang_Cuffdiff2FCover20__,User,1,0.659661527,1
172,darkgreen,PSVZbyQSVZ_Morizur_FC5___,User,24,0.999075753,1
173,darkgreen,QGBCbyPGBC_Aulestia_FC5___,User,1,0.694515196,1
174,darkgreen,QGBObyPGBO_GSE114574_Tejero_FC5___,User,15,0.71732327,1
175,darkgreen,qnpBYtap_Mukherjee_FC5___,User,18,0.225447651,1
176,darkgreen,QNSCbyPNSC_Ben_FC5___,User,8,0.619420066,1
177,darkgreen,qRG_BY_aRG_ThanTrong_up__,User,2,0.17995834,1
178,darkgreen,qRP_BY_aNP_ThanTrong_up__,User,3,0.455563226,1
179,darkgreen,QSVZbyPSVZ_Morizur_FC5___,User,33,5.85E-06,0.00589454
180,darkgreen,tapBYqnp_Mukherjee_FC5___,User,14,0.025235483,1
181,darkgrey,aNP_BY_qRP_ThanTrong_up__,User,2,0.084781599,1
182,darkgrey,aRG_BY_qRG_ThanTrong_up__,User,2,0.22806749,1
183,darkgrey,astroBYoFC5__,User,19,0.001880626,1
184,darkgrey,AstroByothers_Zhang_Cuffdiff2FCover20__,User,7,0.083079094,1
185,darkgrey,endoBYoFC5__,User,25,5.38E-16,5.43E-13
186,darkgrey,EndotheByothers_Zhang_Cuffdiff2FCover20__,User,26,1.16E-12,1.17E-09
187,darkgrey,MacroByMicro_Zhang_Cuffdiff2FCover20__,User,13,5.94E-09,5.99E-06
188,darkgrey,macrophagesBYoFC5__,User,16,1.05E-07,0.000106324
189,darkgrey,MicroByMacro_Zhang_Cuffdiff2FCover20__,User,13,5.60E-05,0.056431499
190,darkgrey,MicroByMono_Zhang_Cuffdiff2FCover20__,User,8,0.031352964,1
191,darkgrey,microgliaBYoFC5__,User,6,0.023272559,1
192,darkgrey,MicrogliByothers_Zhang_Cuffdiff2FCover20__,User,16,0.015726521,1
193,darkgrey,MonoByMicro_Zhang_Cuffdiff2FCover20__,User,20,9.40E-08,9.48E-05
194,darkgrey,monocytesBYoFC5__,User,6,0.045078286,1
195,darkgrey,myeoligoBYoFC5__,User,0,1,1
196,darkgrey,MyeOligoByothers_Zhang_Cuffdiff2FCover20__,User,3,0.359945087,1
197,darkgrey,neuronBYoFC5__,User,4,0.801032885,1
