"","F","M"
"IMPA1",2.86162411223173,2.96668295170189
"IMPA2",1.06824437839093,0.766272982021976
"IMPACT",2.65295948150157,2.23496086231249
"IMPAD1",3.97118965687398,3.74286303580236
"IMPDH1",3.05132537324459,3.55648797440172
"IMPDH1P5",0.941116794101339,0.200294088239252
"IMPDH1P8",2.52519346063719,0.952062473011459
"IMPDH2",5.22050400330298,5.43550708155009
"IMPG2",0.44024419211359,0.107295736182569
"INA",5.32620169080106,6.16784070399015
"INAFM1",4.15846341674953,5.3435931944848
"INAFM2",5.18798199594617,5.621226796494
"INAVA",0.437019220559308,0.461304039097513
"INCA1",2.07291351852752,2.5470484898521
"INCENP",2.21110703036277,1.70733937917233
"INF2",4.28578187761666,4.5928966839589
"ING1",3.02353361468892,3.25813863096048
"ING2",2.86352813684266,2.74952950885317
"ING3",2.06613894891833,1.66454315977806
"ING4",3.2794092408735,3.92616556444474
"ING5",2.97978831654196,3.06612145089344
"INHA",1.48207959533917,2.23195674954325
"INHBA",0.555655076810973,0.279582218121047
"INHBA-AS1",0.564279991046686,0.389517616353256
"INHBB",2.34831301751741,2.58727763206893
"INHBE",0.511899489375848,0.628874004933899
"INIP",2.79984057462569,2.43488138874313
"INO80",1.75763818273479,0.982677762437446
"INO80B-WBP1",0.993218944256195,1.21035010213754
"INO80D",1.70330930535919,0.288545882780605
"INO80E",3.31973811212269,3.74521666932512
"INPP1",3.15524491364531,3.30728742129903
"INPP4A",3.29588505804594,2.28372994978821
"INPP4B",1.10819865388801,0.2223580657404
"INPP5A",1.52441465970407,1.15014348430018
"INPP5B",2.2289177411826,1.19786256411653
"INPP5D",1.61899203768922,0.809585202345397
"INPP5E",3.66262162683458,4.13082128513731
"INPP5F",3.1631691809973,3.41127127770169
"INPP5J",2.05592904578706,2.89970835201105
"INPP5K",2.76316782477682,3.16209704611264
"INPPL1",4.12006411259752,4.38028877409162
"INSIG1",4.66199708483953,4.81642919166579
"INSIG2",2.97679738479734,2.98208663362534
"INSL3",0.24956795269269,0.479207759420572
"INSL5",0.321647138925422,0.396942526723584
"INSL6",0.593042057601154,0.124276745564991
"INSM1",2.31064846210499,2.8081711517859
"INSM2",1.84512744128092,2.41354486438285
"INSR",2.30332668113296,1.44751068337284
"INTS1",4.04187089402475,4.17031627163243
"INTS10",3.7763992988401,3.70409038352776
"INTS11",4.48086177752024,5.13939000601921
"INTS13",2.31642011546195,1.74533817732951
"INTS14",2.19010646308856,2.00789191710735
"INTS2",2.0120836814778,1.24962609386926
"INTS3",3.38209703100521,3.51577278411525
"INTS4",0.868714537752075,0.34544256522729
"INTS4P1",0.864949078759665,0.603395831566721
"INTS5",2.91405423114751,3.34469835229518
"INTS6",2.36796222430652,1.10321509781018
"INTS6-AS1",0.505015168436347,0.281728649923154
"INTS6L",2.06430006215353,1.46748839027662
"INTS6L-AS1",0.25339900118349,0.222434359371538
"INTS7",1.46659042769762,0.941826956737525
"INTS8",2.34039343881094,1.64228673647061
"INTS9",1.15293111159222,0.608503254610833
"INTU",2.50400561400122,1.38670253244115
"INVS",1.83659177996303,0.48073523861665
"IP6K1",3.19188005591263,3.2633504826318
"IP6K2",2.68570278465289,2.87785912308892
"IP6K3",2.07866694626638,1.20846418712611
"IPMK",1.45444082606616,0.782639420387307
"IPO11",0.943852028040649,0.455000486422799
"IPO13",4.54511764859278,4.73643592102519
"IPO5",3.66735572685643,3.49836373340901
"IPO7",3.61037742045575,3.23465791274747
"IPO8",2.76170907569597,2.21597832547159
"IPO9",3.47914993919257,3.04248789472111
"IPP",1.47395966374594,0.97130022617354
"IPPK",1.54506166218954,0.813008727014895
"IQANK1",0.53102264470906,0.396391747109906
"IQCA1",1.46445905361182,0.812073745795568
"IQCB1",2.50735345041993,1.53232058067889
"IQCC",2.8221568271605,2.97630427785281
"IQCD",1.31967464461677,0.813097121323087
"IQCE",3.0442956529693,2.67868276829427
"IQCF3",0.307208934164791,0.335780562289803
"IQCG",1.6302552072351,1.12248850005152
"IQCJ-SCHIP1",2.04213577097352,0.367544129994111
"IQCK",1.45696376897063,0.554847146012059
"IQCN",1.51094364807554,1.07095301443844
"IQGAP1",3.15710273811591,1.93730694625983
"IQGAP3",0.304702837920763,0.290754343677265
"IQSEC1",3.38436438290978,3.25575988984879
"IQSEC2",2.76440520862787,2.75774258759744
"IQSEC3",1.25026441568661,0.768146734133232
"IQUB",0.878184704589873,0.182078880904479
"IRAK1",4.35145934210111,4.676983061058
"IRAK1BP1",1.99966871636566,0.876513589435698
"IRAK2",1.25353674046849,0.632077594634039
"IRAK3",1.4582663932277,0.415837697206038
"IRAK4",1.79749120534994,1.30020629674045
"IREB2",2.78752318323482,1.92659754494576
"IRF2",2.36956022460827,1.2129123956662
"IRF2BP1",5.43133145867251,5.9895599516594
"IRF2BP2",5.55995203522906,5.83780115714743
"IRF2BPL",5.47030632738146,5.39631001084375
"IRF3",3.93529247900297,4.66518647485917
"IRF4",0.354197801433293,0.0619663158660451
"IRF5",1.9117274163604,1.76734405815531
"IRF6",0.751996069325618,0.480397276520552
"IRF7",3.74159805786041,3.40832742797575
"IRF8",1.85044124625303,1.24259503187754
"IRGC",0.209060865324621,0.201130796065479
"IRGQ",1.84591622662537,0.673730630757364
"IRS1",1.74739778956907,1.2565461518656
"IRS2",4.71388529386002,4.01405334316022
"IRS3P",1.82913357699412,1.35804203414574
"IRS4",2.16790822795318,0.444853947854075
"IRX1",0.666581225149107,0.0475722962746353
"IRX2",1.28317618085301,0.23084004676443
"IRX3",1.71633978205603,0.371799342493695
"IRX5",1.060437034586,0.113376622414117
"ISCA1",3.68233601535052,4.32661551014326
"ISCA1P1",0.0644051598040713,1.23358011978307
"ISCA1P3",0.730783576700221,0.069506562678917
"ISCA1P4",0.848929508304806,0.905841451626093
"ISCA1P6",0.31249041383872,0.0569595761718118
"ISCA2",3.72265241584826,4.06805317745839
"ISCA2P1",0.816546318261495,0.458198307994281
"ISCU",6.07325139819634,6.80317921731942
"ISG15",1.94574673876144,2.42787468445164
"ISG20",1.62816305514835,1.05354301737653
"ISG20L2",3.73570448654604,3.61847049937582
"ISL1",0.618710664323326,0.0245110989274307
"ISLR2",1.18236622276924,1.90655820534459
"ISOC1",2.12257882838513,2.31434166163344
"ISOC2",2.74062903196806,3.8327009133255
"ISPD",0.968705590893756,0.22851012609273
"IST1",2.72234828655983,2.82725817237545
"ISYNA1",3.73255439397277,4.73587102173432
"ITCH",2.73554702538031,1.71150296170163
"ITFG1",1.86780859543748,0.640597860308358
"ITFG2",1.84255809783694,1.3967965182684
"ITGA1",0.808252592568466,0.321001292917748
"ITGA10",1.65283270986149,1.71462941342217
"ITGA2",1.82057632954827,0.778381955278298
"ITGA2B",1.39906707151241,1.47331124768047
"ITGA3",2.95423380313521,2.45606709153268
"ITGA4",0.780510112258025,0.32844365536796
"ITGA6",1.39098097239534,0.374667243583568
"ITGA7",3.43028365578542,3.59021042869053
"ITGA8",0.804889446834578,0.335108853029834
"ITGA9",0.930028554548565,0.164608816745789
"ITGA9-AS1",1.32264598782072,0.399320802587642
"ITGAE",0.729458814267038,0.929083767418701
"ITGAL",0.657935005661238,0.31388722230616
"ITGAM",1.04263134577123,0.569828074669252
"ITGAV",1.82668665210917,0.363392379068414
"ITGAX",2.22131046007625,1.60193264813429
"ITGB1",2.88325570675769,2.31572695183147
"ITGB1BP1",3.9766179593603,4.45513285152432
"ITGB1BP2",0.786690406294703,0.695498389246031
"ITGB2",2.14740224495764,1.45642362215167
"ITGB3BP",0.997607236434876,0.628200911189683
"ITGB4",3.69124809465935,2.02737991095851
"ITGB5",1.47650713988246,1.14313138380905
