"","other","monocytes"
"2900011O08Rik",1.25443728474221,0.582445303987575
"2900026A02Rik",0.887187394708844,0.484568217732787
"2900042G08Rik",0,0.754992794972086
"2900045O20Rik",0.123859009379799,2.16821824483297
"2900052L18Rik",2.39738304435036,0.957092343026484
"2900052N01Rik",0.919137767888006,0.365748005994009
"2900055J20Rik",1.31393199310913,0.281029678168608
"2900064F13Rik",1.13165557346365,0
"2900076A07Rik",1.99625320294264,3.83292220001238
"2900076G11Rik",0.301943960345519,1.86585782008981
"2900089D17Rik",0.430708140567704,0.690360732928282
"2900092C05Rik",0.825680250302582,0.40864779442794
"2900092O11Rik",0.173875600559648,0.557222500922238
"2900097C17Rik",7.20022223266747,7.95868407986267
"3000002C10Rik",1.82610114367801,1.50309596181833
"3010001F23Rik",0.466550153030084,0.306311395544701
"3010003L21Rik",0.603919783208844,0.123779591648677
"3110002H16Rik",2.65448387996376,4.81510964213825
"3110009E18Rik",0.737813487589049,1.17727406686704
"3110031N09Rik",0.229189164561814,0.464005945802828
"3110039M20Rik",0.611218566204138,0.426083023088482
"3110040N11Rik",2.80957885425334,3.81792642217964
"3110043J17Rik",0.101624918372172,1.51040248475734
