Gene,Category,sample_1,sample_2,value_1_Pro,value_2_Qui,FC
IL11RA,QuiBYPro_FC_,Pro,Qui,0.00347851,0.00601086,1.727998482
TTC14,QuiBYPro_FC_,Pro,Qui,0.0039369,0.00679731,1.726564048
COBLL1,QuiBYPro_FC_,Pro,Qui,0.00199196,0.00343327,1.723563726
ATP6AP2,QuiBYPro_FC_,Pro,Qui,0.000202758,0.00034945,1.723483167
SCMH1,QuiBYPro_FC_,Pro,Qui,7.57E-05,0.000130325,1.721457424
NUTM2A-AS1,QuiBYPro_FC_,Pro,Qui,2.91E-05,4.99E-05,1.716655025
ATG9B,QuiBYPro_FC_,Pro,Qui,0.000205059,0.000351831,1.715754978
CSNK2A1,QuiBYPro_FC_,Pro,Qui,0.00331895,0.00569367,1.715503397
BANF1,QuiBYPro_FC_,Pro,Qui,0.006704,0.0114991,1.715259547
CHD3,QuiBYPro_FC_,Pro,Qui,0.0020296,0.00347888,1.714071738
C1S,QuiBYPro_FC_,Pro,Qui,0.00157531,0.00269901,1.713319918
FLT3LG,QuiBYPro_FC_,Pro,Qui,0.0047928,0.00820024,1.710949758
PTPN6,QuiBYPro_FC_,Pro,Qui,0.00124741,0.00212952,1.707153221
RHOBTB3,QuiBYPro_FC_,Pro,Qui,0.00100593,0.0017165,1.70638116
PJA1,QuiBYPro_FC_,Pro,Qui,0.000463586,0.000790867,1.705976885
CCNC,QuiBYPro_FC_,Pro,Qui,0.000896062,0.00152781,1.705027107
KIAA1109,QuiBYPro_FC_,Pro,Qui,0.0278253,0.0473378,1.701250301
TRIT1,QuiBYPro_FC_,Pro,Qui,0.019149,0.0325763,1.701201107
PTPRK,QuiBYPro_FC_,Pro,Qui,3.50E-05,5.95E-05,1.700786771
NCALD,QuiBYPro_FC_,Pro,Qui,9.28E-06,1.58E-05,1.699135202
IP6K2,QuiBYPro_FC_,Pro,Qui,0.00119245,0.00202604,1.699056564
COL11A2,QuiBYPro_FC_,Pro,Qui,0.00114112,0.00193418,1.694983875
AC114488.2,QuiBYPro_FC_,Pro,Qui,0.00188497,0.003193,1.693926163
NEK1,QuiBYPro_FC_,Pro,Qui,7.00E-05,0.000118468,1.69345478
AFG3L1P,QuiBYPro_FC_,Pro,Qui,0.0053876,0.00912042,1.692853961
AC127024.2,QuiBYPro_FC_,Pro,Qui,0.00073943,0.00125145,1.692452294
CBWD5,QuiBYPro_FC_,Pro,Qui,0.000388375,0.000656006,1.689104603
SLC7A8,QuiBYPro_FC_,Pro,Qui,1.25E-05,2.11E-05,1.687815204
CRAT,QuiBYPro_FC_,Pro,Qui,0.0444137,0.0748945,1.686292743
PIK3R1,QuiBYPro_FC_,Pro,Qui,0.00677419,0.0114193,1.685707073
DNM1L,QuiBYPro_FC_,Pro,Qui,0.000242817,0.000409035,1.684540209
DDR1,QuiBYPro_FC_,Pro,Qui,0.00221868,0.00373333,1.682680693
S1PR5,QuiBYPro_FC_,Pro,Qui,0.000217531,0.000365665,1.680978803
AURKC,QuiBYPro_FC_,Pro,Qui,5.03E-06,8.44E-06,1.680359872
SLC24A5,QuiBYPro_FC_,Pro,Qui,0.000639876,0.00107457,1.679340997
EIF4G1,QuiBYPro_FC_,Pro,Qui,0.123606,0.207576,1.679335955
PKP4,QuiBYPro_FC_,Pro,Qui,0.0106652,0.0179081,1.679115253
ADA,QuiBYPro_FC_,Pro,Qui,0.000808153,0.00135639,1.678382682
TUFT1,QuiBYPro_FC_,Pro,Qui,0.000701244,0.00117598,1.676991176
MICU2,QuiBYPro_FC_,Pro,Qui,0.0131426,0.0220326,1.676426278
ERMARD,QuiBYPro_FC_,Pro,Qui,1.20E-05,2.00E-05,1.674873758
CHIC1,QuiBYPro_FC_,Pro,Qui,0.000103926,0.000173913,1.673431095
CTRL,QuiBYPro_FC_,Pro,Qui,0.00197741,0.00330874,1.67326958
PLA1A,QuiBYPro_FC_,Pro,Qui,4.20E-06,7.02E-06,1.672348449
SLC41A3,QuiBYPro_FC_,Pro,Qui,0.00345662,0.00578045,1.672283907
HTATIP2,QuiBYPro_FC_,Pro,Qui,8.29E-05,0.000138616,1.671750082
ZBBX,QuiBYPro_FC_,Pro,Qui,0.00100253,0.00167508,1.670852743
TMPRSS2,QuiBYPro_FC_,Pro,Qui,0.00156198,0.00260966,1.670738422
HPSE,QuiBYPro_FC_,Pro,Qui,6.13E-06,1.02E-05,1.670725258
FDX2,QuiBYPro_FC_,Pro,Qui,0.000263814,0.000440314,1.669031969
CWF19L2,QuiBYPro_FC_,Pro,Qui,0.00336669,0.00561454,1.66767359
SETDB2,QuiBYPro_FC_,Pro,Qui,0.000144106,0.000240316,1.667633548
TRIT1,QuiBYPro_FC_,Pro,Qui,0.00904264,0.0150798,1.667632461
CTSH,QuiBYPro_FC_,Pro,Qui,0.00363759,0.00606421,1.667095522
ZNF254,QuiBYPro_FC_,Pro,Qui,3.70E-05,6.16E-05,1.665856257
PTGDS,QuiBYPro_FC_,Pro,Qui,2.78E-05,4.63E-05,1.664816347
AK8,QuiBYPro_FC_,Pro,Qui,3.17E-05,5.28E-05,1.664608917
CACNA1C,QuiBYPro_FC_,Pro,Qui,0.000387107,0.000644137,1.663976627
TLR6,QuiBYPro_FC_,Pro,Qui,0.000582427,0.000969127,1.663945868
AMPD2,QuiBYPro_FC_,Pro,Qui,0.00173288,0.00288271,1.663537002
RAB31,QuiBYPro_FC_,Pro,Qui,0.0138566,0.0230405,1.662781635
AL121985.1,QuiBYPro_FC_,Pro,Qui,4.61E-05,7.67E-05,1.662631883
TMEM64,QuiBYPro_FC_,Pro,Qui,0.00120856,0.00200897,1.662284041
LEF1,QuiBYPro_FC_,Pro,Qui,0.0102753,0.0170643,1.660710636
FDXR,QuiBYPro_FC_,Pro,Qui,0.0478535,0.0794372,1.66000815
TAZ,QuiBYPro_FC_,Pro,Qui,0.00934676,0.0155143,1.659858603
KIF1BP,QuiBYPro_FC_,Pro,Qui,0.132772,0.220296,1.659205254
AMZ1,QuiBYPro_FC_,Pro,Qui,0.000933113,0.00154812,1.659091664
INTS2,QuiBYPro_FC_,Pro,Qui,0.0098777,0.0163801,1.658290898
CEP78,QuiBYPro_FC_,Pro,Qui,0.00947715,0.0157071,1.657365347
