Gene,Category,sample_1,sample_2,value_1_Pro,value_2_Qui,FC
ZC3H7A,QuiBYPro_FC_,Pro,Qui,0.0983087,0.151163,1.537636038
COL6A3,QuiBYPro_FC_,Pro,Qui,2.08E-07,3.20E-07,1.537615323
TTC12,QuiBYPro_FC_,Pro,Qui,0.00786719,0.0120967,1.537613811
HOOK2,QuiBYPro_FC_,Pro,Qui,0.0181415,0.0278912,1.53742524
ZNF324B,QuiBYPro_FC_,Pro,Qui,0.00223098,0.0034299,1.537396122
SZT2,QuiBYPro_FC_,Pro,Qui,0.0228218,0.0350819,1.537210036
ZFAT,QuiBYPro_FC_,Pro,Qui,0.0118474,0.0182108,1.537113628
IFT46,QuiBYPro_FC_,Pro,Qui,0.00148878,0.00228836,1.537070622
ZNF566,QuiBYPro_FC_,Pro,Qui,0.0226239,0.0347737,1.537033845
TFEC,QuiBYPro_FC_,Pro,Qui,0.000147851,0.000227215,1.536783654
KIAA0586,QuiBYPro_FC_,Pro,Qui,3.11E-05,4.78E-05,1.536769689
FBXL2,QuiBYPro_FC_,Pro,Qui,0.0034947,0.00537049,1.536752797
ZNF195,QuiBYPro_FC_,Pro,Qui,1.66E-05,2.54E-05,1.536545142
FAM98A,QuiBYPro_FC_,Pro,Qui,7.72E-05,0.000118544,1.536529251
PDP2,QuiBYPro_FC_,Pro,Qui,0.0102458,0.0157422,1.536453962
ZNF226,QuiBYPro_FC_,Pro,Qui,0.0555376,0.0853293,1.536423972
CLN6,QuiBYPro_FC_,Pro,Qui,0.0631554,0.097031,1.536384854
GABRG2,QuiBYPro_FC_,Pro,Qui,7.27E-07,1.12E-06,1.536353958
ACAT1,QuiBYPro_FC_,Pro,Qui,0.53783,0.826285,1.536331183
MFAP5,QuiBYPro_FC_,Pro,Qui,0.00228631,0.00351228,1.536222122
SDC1,QuiBYPro_FC_,Pro,Qui,0.00888101,0.0136424,1.536131589
CS,QuiBYPro_FC_,Pro,Qui,0.0380044,0.0583659,1.535766911
TMEM116,QuiBYPro_FC_,Pro,Qui,0.134118,0.205972,1.535752099
FAM122C,QuiBYPro_FC_,Pro,Qui,6.31E-05,9.70E-05,1.53573861
AC016727.1,QuiBYPro_FC_,Pro,Qui,0.0066077,0.0101465,1.535557002
PLCL1,QuiBYPro_FC_,Pro,Qui,5.69E-07,8.73E-07,1.535343589
MTUS1,QuiBYPro_FC_,Pro,Qui,0.00858427,0.0131785,1.535191694
RAD51D,QuiBYPro_FC_,Pro,Qui,0.00266824,0.00409567,1.534970617
CLIP4,QuiBYPro_FC_,Pro,Qui,5.17E-05,7.94E-05,1.534917122
C11orf74,QuiBYPro_FC_,Pro,Qui,6.94E-05,0.000106553,1.534580742
ZCCHC8,QuiBYPro_FC_,Pro,Qui,8.12E-05,0.000124606,1.534418704
NSMCE2,QuiBYPro_FC_,Pro,Qui,0.0726837,0.111523,1.534360524
PRMT3,QuiBYPro_FC_,Pro,Qui,0.0589545,0.0904476,1.534193319
TTC23L,QuiBYPro_FC_,Pro,Qui,0.000527352,0.000809008,1.534094874
TOM1L1,QuiBYPro_FC_,Pro,Qui,0.000283827,0.000435388,1.533990776
ARHGAP18,QuiBYPro_FC_,Pro,Qui,0.0934576,0.143355,1.533904145
FPGS,QuiBYPro_FC_,Pro,Qui,0.000124287,0.000190637,1.533845052
C17orf62,QuiBYPro_FC_,Pro,Qui,0.1355,0.207818,1.533712177
TCTA,QuiBYPro_FC_,Pro,Qui,0.00743696,0.0114058,1.533664293
LINC01619,QuiBYPro_FC_,Pro,Qui,0.000252013,0.000386424,1.53334947
SIPA1L1,QuiBYPro_FC_,Pro,Qui,0.00220693,0.00338381,1.533265668
SERPINB8,QuiBYPro_FC_,Pro,Qui,8.38E-06,1.28E-05,1.533118976
KCNJ13,QuiBYPro_FC_,Pro,Qui,0.0022921,0.003514,1.533091924
SPG7,QuiBYPro_FC_,Pro,Qui,0.0494697,0.0758356,1.532970687
CENPN,QuiBYPro_FC_,Pro,Qui,0.0309798,0.0474911,1.532969871
PHF3,QuiBYPro_FC_,Pro,Qui,1.69E-05,2.60E-05,1.532750627
RASGRP2,QuiBYPro_FC_,Pro,Qui,0.000688393,0.00105502,1.532583858
AGBL2,QuiBYPro_FC_,Pro,Qui,0.0102444,0.015699,1.532446995
ERCC6,QuiBYPro_FC_,Pro,Qui,0.0122712,0.0188048,1.532433666
AMD1,QuiBYPro_FC_,Pro,Qui,0.0001678,0.000257139,1.532413588
TRIP10,QuiBYPro_FC_,Pro,Qui,4.33E-05,6.63E-05,1.532257282
ANO7,QuiBYPro_FC_,Pro,Qui,1.44E-05,2.21E-05,1.532242487
CLCC1,QuiBYPro_FC_,Pro,Qui,9.70E-05,0.000148632,1.531833847
ZSCAN31,QuiBYPro_FC_,Pro,Qui,0.0207191,0.0317357,1.531712285
ARNTL,QuiBYPro_FC_,Pro,Qui,0.000806743,0.0012356,1.531590606
KLHDC9,QuiBYPro_FC_,Pro,Qui,1.36E-06,2.08E-06,1.531588986
SOX30,QuiBYPro_FC_,Pro,Qui,2.09E-07,3.21E-07,1.531474812
PINLYP,QuiBYPro_FC_,Pro,Qui,0.00057826,0.00088557,1.531439145
RAD54L,QuiBYPro_FC_,Pro,Qui,0.00366622,0.0056145,1.531413827
ZC3H7A,QuiBYPro_FC_,Pro,Qui,9.78E-05,0.000149717,1.531402982
GLRX2,QuiBYPro_FC_,Pro,Qui,0.0419611,0.0642501,1.531182452
ZNF789,QuiBYPro_FC_,Pro,Qui,0.0263288,0.0403103,1.531034457
SELENOP,QuiBYPro_FC_,Pro,Qui,7.82E-06,1.20E-05,1.530996718
IL24,QuiBYPro_FC_,Pro,Qui,2.13E-07,3.26E-07,1.530866342
PRDX4,QuiBYPro_FC_,Pro,Qui,0.932167,1.42691,1.530745027
CCDC146,QuiBYPro_FC_,Pro,Qui,0.0112833,0.0172711,1.530678082
ARRB2,QuiBYPro_FC_,Pro,Qui,0.0110433,0.0169036,1.530665652
POLR1B,QuiBYPro_FC_,Pro,Qui,0.0146501,0.0224224,1.530528802
PRPSAP2,QuiBYPro_FC_,Pro,Qui,0.178463,0.273141,1.530518931
DDX39A,QuiBYPro_FC_,Pro,Qui,0.0317567,0.0486038,1.530505374
SKP1,QuiBYPro_FC_,Pro,Qui,0.713142,1.09141,1.530424516
DARS,QuiBYPro_FC_,Pro,Qui,0.21474,0.328612,1.530278476
ABHD5,QuiBYPro_FC_,Pro,Qui,0.0555397,0.0849865,1.530193717
ADAM9,QuiBYPro_FC_,Pro,Qui,0.0257844,0.0394541,1.530153892
AP3S2,QuiBYPro_FC_,Pro,Qui,0.000604418,0.000924816,1.530093412
MED21,QuiBYPro_FC_,Pro,Qui,0.0639053,0.0977754,1.530004554
ARMCX4,QuiBYPro_FC_,Pro,Qui,0.000223144,0.000341404,1.529971677
TUSC3,QuiBYPro_FC_,Pro,Qui,0.0453009,0.0693057,1.529896757
TGM1,QuiBYPro_FC_,Pro,Qui,0.0156986,0.0240093,1.529391156
ALDH3A2,QuiBYPro_FC_,Pro,Qui,0.404937,0.619261,1.529277394
SH2B1,QuiBYPro_FC_,Pro,Qui,6.57E-05,0.000100517,1.52924316
ANLN,QuiBYPro_FC_,Pro,Qui,0.119201,0.182287,1.529240527
CSNK2A1,QuiBYPro_FC_,Pro,Qui,0.0135834,0.0207688,1.528983907
LINC01278,QuiBYPro_FC_,Pro,Qui,0.0585153,0.0894597,1.528825794
HMGCLL1,QuiBYPro_FC_,Pro,Qui,0.000432985,0.000661946,1.52879661
NPIPB2,QuiBYPro_FC_,Pro,Qui,0.000429268,0.000656233,1.528725645
CYP20A1,QuiBYPro_FC_,Pro,Qui,8.93E-05,0.00013644,1.528272024
SMARCE1,QuiBYPro_FC_,Pro,Qui,0.000696886,0.00106502,1.528255697
LRRC75A-AS1,QuiBYPro_FC_,Pro,Qui,0.360791,0.551239,1.527862391
TAF1B,QuiBYPro_FC_,Pro,Qui,0.0605844,0.0925629,1.527833898
HSD11B1L,QuiBYPro_FC_,Pro,Qui,0.0559985,0.085555,1.527808781
PTPRM,QuiBYPro_FC_,Pro,Qui,0.0191965,0.0293279,1.527773292
ZBTB7C,QuiBYPro_FC_,Pro,Qui,0.000270612,0.0004134,1.527648441
DOCK9,QuiBYPro_FC_,Pro,Qui,0.101007,0.1543,1.527616898
FILIP1L,QuiBYPro_FC_,Pro,Qui,0.00394742,0.00602912,1.527357109
CHEK2,QuiBYPro_FC_,Pro,Qui,0.0124362,0.0189933,1.527259131
MFAP1,QuiBYPro_FC_,Pro,Qui,0.13086,0.199855,1.527242855
TXNDC11,QuiBYPro_FC_,Pro,Qui,0.158755,0.242456,1.527233788
ALG13,QuiBYPro_FC_,Pro,Qui,1.16E-05,1.78E-05,1.527175596
PCP2,QuiBYPro_FC_,Pro,Qui,0.00772146,0.0117918,1.52714642
KCNQ3,QuiBYPro_FC_,Pro,Qui,3.76E-09,5.74E-09,1.527142846
ZNF461,QuiBYPro_FC_,Pro,Qui,0.000170506,0.000260363,1.527001982
CHD8,QuiBYPro_FC_,Pro,Qui,8.40E-05,0.000128323,1.526991248
EXOSC1,QuiBYPro_FC_,Pro,Qui,0.0102512,0.0156509,1.526738333
ANO6,QuiBYPro_FC_,Pro,Qui,6.87E-05,0.000104951,1.526679914
HHAT,QuiBYPro_FC_,Pro,Qui,0.00483671,0.0073841,1.526678259
ITIH4,QuiBYPro_FC_,Pro,Qui,3.78E-05,5.77E-05,1.52660026
MFSD6,QuiBYPro_FC_,Pro,Qui,0.169052,0.258042,1.526406076
ALAS2,QuiBYPro_FC_,Pro,Qui,7.29E-05,0.00011132,1.526236125
TPRA1,QuiBYPro_FC_,Pro,Qui,3.44E-05,5.24E-05,1.526082389
DTWD2,QuiBYPro_FC_,Pro,Qui,1.56E-05,2.38E-05,1.525989607
IDE,QuiBYPro_FC_,Pro,Qui,0.00242204,0.00369597,1.525973972
RBPMS,QuiBYPro_FC_,Pro,Qui,0.46422,0.708374,1.525944595
MUTYH,QuiBYPro_FC_,Pro,Qui,0.0643131,0.0981369,1.525923956
DDX42,QuiBYPro_FC_,Pro,Qui,0.512999,0.782738,1.525808043
SAAL1,QuiBYPro_FC_,Pro,Qui,7.75E-06,1.18E-05,1.525765695
ATP6V1C2,QuiBYPro_FC_,Pro,Qui,0.00229889,0.00350744,1.525710234
PFKM,QuiBYPro_FC_,Pro,Qui,0.0177561,0.0270887,1.525599653
CCDC88A,QuiBYPro_FC_,Pro,Qui,0.0571866,0.0872349,1.525443023
CCDC148,QuiBYPro_FC_,Pro,Qui,0.0069513,0.0106029,1.525311812
IAH1,QuiBYPro_FC_,Pro,Qui,0.552341,0.84249,1.525307736
CDK5RAP1,QuiBYPro_FC_,Pro,Qui,0.0863079,0.131646,1.52530649
FAS,QuiBYPro_FC_,Pro,Qui,0.0137278,0.0209382,1.525240752
CHD8,QuiBYPro_FC_,Pro,Qui,0.0774957,0.118198,1.525220109
HEXB,QuiBYPro_FC_,Pro,Qui,1.72169,2.62593,1.525204886
COL4A3,QuiBYPro_FC_,Pro,Qui,0.00244681,0.00373173,1.525140898
CEP85,QuiBYPro_FC_,Pro,Qui,0.0638571,0.0973758,1.524901695
NDRG2,QuiBYPro_FC_,Pro,Qui,0.0451703,0.068875,1.524785091
SCML1,QuiBYPro_FC_,Pro,Qui,4.70E-05,7.17E-05,1.524682255
HLA-DQB2,QuiBYPro_FC_,Pro,Qui,0.0016274,0.00248116,1.524615952
NPLOC4,QuiBYPro_FC_,Pro,Qui,0.104976,0.160028,1.52442463
MSX1,QuiBYPro_FC_,Pro,Qui,0.0272331,0.041513,1.524358226
AMDHD2,QuiBYPro_FC_,Pro,Qui,0.0867981,0.132308,1.524319081
RABGEF1,QuiBYPro_FC_,Pro,Qui,0.0583927,0.089009,1.524317252
NIT1,QuiBYPro_FC_,Pro,Qui,0.350401,0.534075,1.524182294
ELF2,QuiBYPro_FC_,Pro,Qui,0.102397,0.15606,1.524068088
TTC39C,QuiBYPro_FC_,Pro,Qui,0.287269,0.437771,1.523906165
WDR26,QuiBYPro_FC_,Pro,Qui,0.0322152,0.0490909,1.523842782
IBTK,QuiBYPro_FC_,Pro,Qui,0.000278952,0.000425073,1.523821303
DBNL,QuiBYPro_FC_,Pro,Qui,0.0878477,0.133858,1.523750764
PHKA2,QuiBYPro_FC_,Pro,Qui,0.00236756,0.00360742,1.523686834
ACSM3,QuiBYPro_FC_,Pro,Qui,0.00627966,0.00956772,1.523604781
AP003557.1,QuiBYPro_FC_,Pro,Qui,0.0138141,0.0210457,1.523494111
ABI3BP,QuiBYPro_FC_,Pro,Qui,0.010138,0.0154425,1.523229434
FZD6,QuiBYPro_FC_,Pro,Qui,0.000310702,0.000473266,1.523215171
DDX3X,QuiBYPro_FC_,Pro,Qui,0.0214534,0.0326748,1.523059282
NSMCE2,QuiBYPro_FC_,Pro,Qui,0.0125962,0.0191844,1.523030755
OXNAD1,QuiBYPro_FC_,Pro,Qui,0.0321609,0.0489771,1.522877158
AARSD1,QuiBYPro_FC_,Pro,Qui,0.116674,0.17768,1.522875705
FIG4,QuiBYPro_FC_,Pro,Qui,0.153285,0.233424,1.522810451
PPFIA1,QuiBYPro_FC_,Pro,Qui,0.601552,0.916031,1.522779411
CYP2R1,QuiBYPro_FC_,Pro,Qui,0.00466217,0.00709943,1.52277373
AP002748.4,QuiBYPro_FC_,Pro,Qui,6.32E-05,9.62E-05,1.522752845
NIFK,QuiBYPro_FC_,Pro,Qui,0.112234,0.170903,1.522738208
PHF11,QuiBYPro_FC_,Pro,Qui,0.0629898,0.0959045,1.522540157
SPIN3,QuiBYPro_FC_,Pro,Qui,0.00713608,0.0108648,1.522516564
PHLPP2,QuiBYPro_FC_,Pro,Qui,0.00324365,0.00493776,1.52228508
CREBZF,QuiBYPro_FC_,Pro,Qui,0.18916,0.28795,1.522256291
ROCK2,QuiBYPro_FC_,Pro,Qui,0.164711,0.250729,1.522235916
NOP16,QuiBYPro_FC_,Pro,Qui,0.133581,0.203333,1.522170069
ZSCAN30,QuiBYPro_FC_,Pro,Qui,0.0326218,0.0496504,1.522000625
DMKN,QuiBYPro_FC_,Pro,Qui,0.00105715,0.00160892,1.521941068
GIGYF2,QuiBYPro_FC_,Pro,Qui,0.0219626,0.0334254,1.521923634
APP,QuiBYPro_FC_,Pro,Qui,2.88312,4.38743,1.521764616
ATP11B,QuiBYPro_FC_,Pro,Qui,0.513359,0.781208,1.521757678
PPM1B,QuiBYPro_FC_,Pro,Qui,0.213844,0.325412,1.521726118
LINC00511,QuiBYPro_FC_,Pro,Qui,0.00651062,0.00990728,1.521710682
CMSS1,QuiBYPro_FC_,Pro,Qui,0.165773,0.252249,1.521653104
IDH3A,QuiBYPro_FC_,Pro,Qui,0.525953,0.800232,1.521489563
ZNF2,QuiBYPro_FC_,Pro,Qui,7.50E-06,1.14E-05,1.521333285
CLEC2D,QuiBYPro_FC_,Pro,Qui,1.40E-05,2.12E-05,1.521279112
CEP95,QuiBYPro_FC_,Pro,Qui,0.0966476,0.146988,1.520865495
SEMA6C,QuiBYPro_FC_,Pro,Qui,5.37E-06,8.16E-06,1.52080678
TCF12,QuiBYPro_FC_,Pro,Qui,0.12582,0.191335,1.520704181
TBC1D31,QuiBYPro_FC_,Pro,Qui,0.0238539,0.0362733,1.520644423
MGLL,QuiBYPro_FC_,Pro,Qui,0.00318508,0.00484223,1.520285205
PDZRN3,QuiBYPro_FC_,Pro,Qui,0.0016192,0.0024616,1.520256917
PLA2G4C,QuiBYPro_FC_,Pro,Qui,0.0391623,0.0595348,1.520206934
SCG5,QuiBYPro_FC_,Pro,Qui,0.00126245,0.00191918,1.52020278
DNAH6,QuiBYPro_FC_,Pro,Qui,2.56E-06,3.89E-06,1.520144289
GRM8,QuiBYPro_FC_,Pro,Qui,0.00639772,0.00972515,1.520096222
CCDC150,QuiBYPro_FC_,Pro,Qui,3.75E-05,5.70E-05,1.52005055
ABI2,QuiBYPro_FC_,Pro,Qui,0.028388,0.0431467,1.519892208
ZNF85,QuiBYPro_FC_,Pro,Qui,0.00587048,0.00892232,1.51986209
GMPR2,QuiBYPro_FC_,Pro,Qui,0.0245207,0.0372675,1.519838341
MIA3,QuiBYPro_FC_,Pro,Qui,0.119967,0.18232,1.519751265
TRNAU1AP,QuiBYPro_FC_,Pro,Qui,0.00826085,0.0125542,1.519722547
TCTN1,QuiBYPro_FC_,Pro,Qui,0.0379157,0.0576182,1.519639622
PCOLCE2,QuiBYPro_FC_,Pro,Qui,0.00616191,0.00936356,1.519587271
SLTM,QuiBYPro_FC_,Pro,Qui,0.0669988,0.101804,1.519489901
SYT14,QuiBYPro_FC_,Pro,Qui,0.00288658,0.00438602,1.519452085
KIAA1841,QuiBYPro_FC_,Pro,Qui,4.71E-05,7.15E-05,1.519410568
ANAPC10,QuiBYPro_FC_,Pro,Qui,0.175675,0.266918,1.519385228
HHLA3,QuiBYPro_FC_,Pro,Qui,0.0384439,0.0584075,1.519291747
CHFR,QuiBYPro_FC_,Pro,Qui,0.0230922,0.035081,1.519170975
TBC1D5,QuiBYPro_FC_,Pro,Qui,0.0201166,0.0305583,1.519058887
RPS10,QuiBYPro_FC_,Pro,Qui,2.23334,3.39245,1.519002928
IPO5,QuiBYPro_FC_,Pro,Qui,0.315842,0.479732,1.51889869
DDX39B,QuiBYPro_FC_,Pro,Qui,0.000786594,0.00119471,1.518839452
CUL4A,QuiBYPro_FC_,Pro,Qui,0.0180383,0.0273968,1.518812748
LDAH,QuiBYPro_FC_,Pro,Qui,0.00800536,0.0121573,1.518645008
CXorf40A,QuiBYPro_FC_,Pro,Qui,0.041032,0.0623112,1.518600117
PASK,QuiBYPro_FC_,Pro,Qui,0.0133456,0.0202662,1.518567918
PPP3CC,QuiBYPro_FC_,Pro,Qui,0.0233208,0.0354099,1.518382731
CDC25C,QuiBYPro_FC_,Pro,Qui,0.00601324,0.00912923,1.518188198
AC127521.1,QuiBYPro_FC_,Pro,Qui,7.66E-07,1.16E-06,1.518050629
MPV17,QuiBYPro_FC_,Pro,Qui,0.00271084,0.00411495,1.517961222
ITGA9-AS1,QuiBYPro_FC_,Pro,Qui,0.0172428,0.0261724,1.517874127
RAB34,QuiBYPro_FC_,Pro,Qui,0.0682742,0.103627,1.517806141
GDI1,QuiBYPro_FC_,Pro,Qui,0.000898984,0.00136434,1.517646588
IL24,QuiBYPro_FC_,Pro,Qui,0.00215404,0.00326903,1.517627342
MAP3K13,QuiBYPro_FC_,Pro,Qui,0.410925,0.623621,1.517602969
HDAC9,QuiBYPro_FC_,Pro,Qui,0.000121366,0.000184184,1.517591418
ZNF365,QuiBYPro_FC_,Pro,Qui,0.00463263,0.00703016,1.517531078
EBLN3P,QuiBYPro_FC_,Pro,Qui,0.000931513,0.00141342,1.517337922
NTPCR,QuiBYPro_FC_,Pro,Qui,1.31018,1.98793,1.517295333
LITAF,QuiBYPro_FC_,Pro,Qui,0.868583,1.31787,1.517264326
ACY1,QuiBYPro_FC_,Pro,Qui,0.00702847,0.0106636,1.517200756
PSD,QuiBYPro_FC_,Pro,Qui,4.48E-06,6.79E-06,1.517150637
AL157938.2,QuiBYPro_FC_,Pro,Qui,0.0705563,0.107038,1.517058009
NPL,QuiBYPro_FC_,Pro,Qui,4.65E-05,7.06E-05,1.51691737
TSSK4,QuiBYPro_FC_,Pro,Qui,0.0171113,0.0259561,1.51689819
MLN,QuiBYPro_FC_,Pro,Qui,2.26E-06,3.43E-06,1.516803132
GAS5,QuiBYPro_FC_,Pro,Qui,1.45404,2.20547,1.516787709
IL7,QuiBYPro_FC_,Pro,Qui,0.027508,0.0417216,1.516707867
NME6,QuiBYPro_FC_,Pro,Qui,0.000106337,0.000161282,1.51670632
TFG,QuiBYPro_FC_,Pro,Qui,0.482189,0.731284,1.516592042
SLC6A8,QuiBYPro_FC_,Pro,Qui,0.221963,0.336614,1.516532035
SNAP23,QuiBYPro_FC_,Pro,Qui,0.475867,0.721661,1.516518271
ZBTB21,QuiBYPro_FC_,Pro,Qui,0.059918,0.0908608,1.516419106
STAU1,QuiBYPro_FC_,Pro,Qui,0.115371,0.174948,1.516394935
MEGF11,QuiBYPro_FC_,Pro,Qui,1.19E-05,1.81E-05,1.516333194
DROSHA,QuiBYPro_FC_,Pro,Qui,3.30E-05,5.00E-05,1.516273445
RANBP3,QuiBYPro_FC_,Pro,Qui,0.00515771,0.00782018,1.516211652
EIF4A1,QuiBYPro_FC_,Pro,Qui,0.421201,0.638592,1.516121757
TUBA1B,QuiBYPro_FC_,Pro,Qui,0.00106084,0.00160828,1.51604389
THRB-AS1,QuiBYPro_FC_,Pro,Qui,0.00156596,0.00237391,1.51594549
MAGEA12,QuiBYPro_FC_,Pro,Qui,2.53E-06,3.84E-06,1.515910274
SAV1,QuiBYPro_FC_,Pro,Qui,0.089824,0.136163,1.515886623
GAS5,QuiBYPro_FC_,Pro,Qui,1.32727,2.01187,1.51579558
IL1RAP,QuiBYPro_FC_,Pro,Qui,0.000207926,0.000315169,1.515774843
RNF165,QuiBYPro_FC_,Pro,Qui,0.00970571,0.0147104,1.515643884
LINC01260,QuiBYPro_FC_,Pro,Qui,7.92E-06,1.20E-05,1.515619296
POLE2,QuiBYPro_FC_,Pro,Qui,0.00405938,0.00615211,1.515529465
KIAA1217,QuiBYPro_FC_,Pro,Qui,0.0423144,0.0641276,1.515502997
WFDC3,QuiBYPro_FC_,Pro,Qui,0.00767107,0.0116254,1.515486106
NRP1,QuiBYPro_FC_,Pro,Qui,0.00513551,0.00778259,1.515446372
ARHGEF25,QuiBYPro_FC_,Pro,Qui,0.0475533,0.0720637,1.515430054
AKIP1,QuiBYPro_FC_,Pro,Qui,0.00786175,0.0119131,1.515324196
SMARCE1,QuiBYPro_FC_,Pro,Qui,0.0653282,0.0989901,1.515273649
CPS1,QuiBYPro_FC_,Pro,Qui,0.00426513,0.00646275,1.515252759
EVL,QuiBYPro_FC_,Pro,Qui,0.0224251,0.0339761,1.515092463
SGO1,QuiBYPro_FC_,Pro,Qui,0.00333022,0.00504557,1.51508609
PALM,QuiBYPro_FC_,Pro,Qui,5.98E-06,9.05E-06,1.515071601
PCBP1-AS1,QuiBYPro_FC_,Pro,Qui,0.002472,0.00374523,1.51506068
UBAP2L,QuiBYPro_FC_,Pro,Qui,0.00090947,0.00137789,1.515047225
RASAL1,QuiBYPro_FC_,Pro,Qui,0.00214039,0.00324267,1.514990259
NPAS2,QuiBYPro_FC_,Pro,Qui,0.4084,0.618716,1.514975514
PPP6R3,QuiBYPro_FC_,Pro,Qui,0.140376,0.212665,1.514966946
COPS3,QuiBYPro_FC_,Pro,Qui,0.236349,0.358054,1.514937656
RASGRP2,QuiBYPro_FC_,Pro,Qui,0.00316776,0.00479892,1.514925373
PHLDB2,QuiBYPro_FC_,Pro,Qui,0.00908894,0.0137684,1.514852117
TOMM7,QuiBYPro_FC_,Pro,Qui,4.57381,6.92864,1.514850857
SMARCA4,QuiBYPro_FC_,Pro,Qui,0.0763582,0.115668,1.51480784
TTC27,QuiBYPro_FC_,Pro,Qui,0.0234446,0.0355139,1.51480085
HPS3,QuiBYPro_FC_,Pro,Qui,7.73E-05,0.000117128,1.514792532
RMC1,QuiBYPro_FC_,Pro,Qui,0.628235,0.951578,1.514684792
ACYP1,QuiBYPro_FC_,Pro,Qui,0.371027,0.561988,1.51468222
USP8,QuiBYPro_FC_,Pro,Qui,0.342966,0.519471,1.514642851
VEZT,QuiBYPro_FC_,Pro,Qui,0.0105954,0.0160481,1.51462899
AC093019.2,QuiBYPro_FC_,Pro,Qui,0.15578,0.235937,1.514552574
WASHC2A,QuiBYPro_FC_,Pro,Qui,1.58E-05,2.40E-05,1.514542674
EMC9,QuiBYPro_FC_,Pro,Qui,0.00231594,0.00350758,1.514538373
FCRLB,QuiBYPro_FC_,Pro,Qui,8.55E-07,1.30E-06,1.514300545
PLSCR4,QuiBYPro_FC_,Pro,Qui,0.00863978,0.013081,1.514043182
ADH5,QuiBYPro_FC_,Pro,Qui,0.145897,0.220893,1.514033873
KTN1,QuiBYPro_FC_,Pro,Qui,0.0492667,0.0745912,1.514028746
ZNF517,QuiBYPro_FC_,Pro,Qui,0.000207717,0.000314483,1.51399741
ATP13A4,QuiBYPro_FC_,Pro,Qui,0.00344392,0.00521389,1.51394051
AL928654.3,QuiBYPro_FC_,Pro,Qui,0.0403422,0.0610714,1.513834149
PFKM,QuiBYPro_FC_,Pro,Qui,0.0951366,0.144013,1.513749703
KLC1,QuiBYPro_FC_,Pro,Qui,0.000480721,0.000727563,1.513482873
FAM49B,QuiBYPro_FC_,Pro,Qui,0.0122116,0.0184814,1.513429854
IBTK,QuiBYPro_FC_,Pro,Qui,0.0062985,0.00953209,1.51339049
MRPS27,QuiBYPro_FC_,Pro,Qui,0.328358,0.49689,1.513256872
PIGP,QuiBYPro_FC_,Pro,Qui,0.0428625,0.064851,1.513000875
ATG16L1,QuiBYPro_FC_,Pro,Qui,2.12E-05,3.21E-05,1.512995522
EXOC6,QuiBYPro_FC_,Pro,Qui,9.51E-06,1.44E-05,1.512981294
KDM4C,QuiBYPro_FC_,Pro,Qui,5.67E-06,8.58E-06,1.512891158
SERAC1,QuiBYPro_FC_,Pro,Qui,0.0230553,0.0348796,1.51286689
ZNF691,QuiBYPro_FC_,Pro,Qui,0.0505533,0.0764747,1.512753866
TCTN1,QuiBYPro_FC_,Pro,Qui,4.05E-05,6.13E-05,1.512722097
PSMD6,QuiBYPro_FC_,Pro,Qui,0.206894,0.312964,1.51267799
GGCT,QuiBYPro_FC_,Pro,Qui,0.231867,0.350719,1.512586957
NR4A2,QuiBYPro_FC_,Pro,Qui,0.0285656,0.043207,1.512553561
DLEU2,QuiBYPro_FC_,Pro,Qui,0.0328804,0.0497315,1.512496807
CLK4,QuiBYPro_FC_,Pro,Qui,0.048063,0.0726948,1.512489857
EIPR1,QuiBYPro_FC_,Pro,Qui,0.0640199,0.0968252,1.512423481
SPTY2D1OS,QuiBYPro_FC_,Pro,Qui,0.0224788,0.0339952,1.512322722
RCSD1,QuiBYPro_FC_,Pro,Qui,7.83E-06,1.18E-05,1.512304827
GPR19,QuiBYPro_FC_,Pro,Qui,0.0127625,0.0193004,1.512274241
KIAA0930,QuiBYPro_FC_,Pro,Qui,0.0919395,0.139036,1.512255342
TAMM41,QuiBYPro_FC_,Pro,Qui,0.036924,0.0558374,1.512225111
DNAJC7,QuiBYPro_FC_,Pro,Qui,0.637676,0.964285,1.51218644
ASPA,QuiBYPro_FC_,Pro,Qui,0.00302693,0.00457717,1.512149273
DMAP1,QuiBYPro_FC_,Pro,Qui,0.104785,0.158444,1.512086654
FAM3A,QuiBYPro_FC_,Pro,Qui,0.0128879,0.0194873,1.512061701
CFAP69,QuiBYPro_FC_,Pro,Qui,0.0363015,0.0548898,1.512053221
LINC00571,QuiBYPro_FC_,Pro,Qui,0.0053318,0.00806171,1.512005327
ATP2A2,QuiBYPro_FC_,Pro,Qui,0.222858,0.336957,1.511980723
ADSL,QuiBYPro_FC_,Pro,Qui,0.0814107,0.123091,1.511975699
TMEM14B,QuiBYPro_FC_,Pro,Qui,0.0155013,0.0234366,1.511911904
LYPLA1,QuiBYPro_FC_,Pro,Qui,6.50E-05,9.83E-05,1.511881519
PYCR1,QuiBYPro_FC_,Pro,Qui,0.364754,0.551452,1.51184634
ITPK1,QuiBYPro_FC_,Pro,Qui,0.107879,0.163087,1.511758544
BNIP1,QuiBYPro_FC_,Pro,Qui,0.0344712,0.0521116,1.511743136
IQCH,QuiBYPro_FC_,Pro,Qui,0.000123266,0.000186345,1.511730729
SLC37A4,QuiBYPro_FC_,Pro,Qui,0.0161959,0.0244836,1.511715928
