"GeneHu","Category"
"ALDOA","QSVZbyPSVZ_Morizur_FC5_"
"ALDOC","QSVZbyPSVZ_Morizur_FC5_"
"ALG12","QSVZbyPSVZ_Morizur_FC5_"
"ALG14","PSVZbyQSVZ_Morizur_FC5_"
"ALG6","QSVZbyPSVZ_Morizur_FC5_"
"ALG8","PSVZbyQSVZ_Morizur_FC5_"
"ALKBH1","PSVZbyQSVZ_Morizur_FC5_"
"ALKBH2","PSVZbyQSVZ_Morizur_FC5_"
"ALKBH8","PSVZbyQSVZ_Morizur_FC5_"
"ALMS1","PSVZbyQSVZ_Morizur_FC5_"
"ALS2CL","QSVZbyPSVZ_Morizur_FC5_"
"ALYREF","PSVZbyQSVZ_Morizur_FC5_"
"AMACR","QSVZbyPSVZ_Morizur_FC5_"
"AMBRA1","PSVZbyQSVZ_Morizur_FC5_"
"AMD1","PSVZbyQSVZ_Morizur_FC5_"
"AMIGO2","QSVZbyPSVZ_Morizur_FC5_"
"AMMECR1","PSVZbyQSVZ_Morizur_FC5_"
"AMMECR1L","PSVZbyQSVZ_Morizur_FC5_"
"AMOT","PSVZbyQSVZ_Morizur_FC5_"
"AMOTL1","PSVZbyQSVZ_Morizur_FC5_"
"AMPH","PSVZbyQSVZ_Morizur_FC5_"
"AMZ2","PSVZbyQSVZ_Morizur_FC5_"
"ANAPC1","PSVZbyQSVZ_Morizur_FC5_"
"ANAPC13","PSVZbyQSVZ_Morizur_FC5_"
"ANAPC4","PSVZbyQSVZ_Morizur_FC5_"
"ANAPC5","PSVZbyQSVZ_Morizur_FC5_"
"ANGEL2","PSVZbyQSVZ_Morizur_FC5_"
"ANGPT1","QSVZbyPSVZ_Morizur_FC5_"
"ANGPT2","PSVZbyQSVZ_Morizur_FC5_"
"ANGPTL6","PSVZbyQSVZ_Morizur_FC5_"
"ANKDD1B","QSVZbyPSVZ_Morizur_FC5_"
"ANKHD1","PSVZbyQSVZ_Morizur_FC5_"
"ANKHD1-EIF4EBP3","PSVZbyQSVZ_Morizur_FC5_"
"ANKLE1","PSVZbyQSVZ_Morizur_FC5_"
"ANKRD11","PSVZbyQSVZ_Morizur_FC5_"
"ANKRD13A","PSVZbyQSVZ_Morizur_FC5_"
"ANKRD13B","PSVZbyQSVZ_Morizur_FC5_"
"ANKRD13D","QSVZbyPSVZ_Morizur_FC5_"
"ANKRD16","QSVZbyPSVZ_Morizur_FC5_"
"ANKRD29","QSVZbyPSVZ_Morizur_FC5_"
"ANKRD34A","QSVZbyPSVZ_Morizur_FC5_"
"ANKRD39","PSVZbyQSVZ_Morizur_FC5_"
"ANKRD44","PSVZbyQSVZ_Morizur_FC5_"
"ANKRD49","PSVZbyQSVZ_Morizur_FC5_"
"ANKRD50","QSVZbyPSVZ_Morizur_FC5_"
"ANKRD52","PSVZbyQSVZ_Morizur_FC5_"
"ANKRD54","PSVZbyQSVZ_Morizur_FC5_"
"ANKRD6","PSVZbyQSVZ_Morizur_FC5_"
"ANKS1A","PSVZbyQSVZ_Morizur_FC5_"
"ANKS3","PSVZbyQSVZ_Morizur_FC5_"
"ANLN","PSVZbyQSVZ_Morizur_FC5_"
"ANO3","QSVZbyPSVZ_Morizur_FC5_"
"ANO6","QSVZbyPSVZ_Morizur_FC5_"
"ANP32A","PSVZbyQSVZ_Morizur_FC5_"
"ANP32D","PSVZbyQSVZ_Morizur_FC5_"
"ANP32B","PSVZbyQSVZ_Morizur_FC5_"
"ANP32E","PSVZbyQSVZ_Morizur_FC5_"
"ANTXR2","PSVZbyQSVZ_Morizur_FC5_"
