Gene,Category,sample_1,sample_2,value_1_npc,value_2_nsc,FC5
Clec2i,nscBYnpc_FC5_,npc,nsc,0.0590594,4.54149,76.89698846
Ccl8,nscBYnpc_FC5_,npc,nsc,2.80089,211.571,75.53706143
Gbgt1,nscBYnpc_FC5_,npc,nsc,0.0635454,4.6797,73.64341085
Tfec,nscBYnpc_FC5_,npc,nsc,0.0501376,3.63451,72.49070558
Usp43,nscBYnpc_FC5_,npc,nsc,0.00233077,0.165899,71.17776529
AC154528.2,nscBYnpc_FC5_,npc,nsc,0.00278654,0.198189,71.12368744
Ugt3a1,nscBYnpc_FC5_,npc,nsc,0.00539092,0.378303,70.17410757
Col6a4,nscBYnpc_FC5_,npc,nsc,0.000957552,0.0667316,69.6897923
Mmp9,nscBYnpc_FC5_,npc,nsc,1.5205,100.924,66.37553436
Gm29291,nscBYnpc_FC5_,npc,nsc,0.193288,12.4523,64.42355449
Gm43109,nscBYnpc_FC5_,npc,nsc,0.018165,1.14434,62.9969722
2900092N22Rik,nscBYnpc_FC5_,npc,nsc,0.00653232,0.40443,61.91215372
Stk19-ps1,nscBYnpc_FC5_,npc,nsc,0.0320538,1.98117,61.80764839
Tnfrsf4,nscBYnpc_FC5_,npc,nsc,0.0095452,0.580677,60.83445082
Gm18212,nscBYnpc_FC5_,npc,nsc,0.0115226,0.695905,60.39478937
Gm43323,nscBYnpc_FC5_,npc,nsc,0.00825322,0.495759,60.06855506
Gapt,nscBYnpc_FC5_,npc,nsc,0.011542,0.692551,60.00268584
Gm42615,nscBYnpc_FC5_,npc,nsc,0.00613887,0.3585,58.39836973
Hlx,nscBYnpc_FC5_,npc,nsc,0.11087,6.41831,57.89041219
Gm11427,nscBYnpc_FC5_,npc,nsc,0.031718,1.82361,57.49448263
Aoah,nscBYnpc_FC5_,npc,nsc,0.665781,38.2657,57.47490541
Pik3r5,nscBYnpc_FC5_,npc,nsc,0.0147705,0.840792,56.92373312
1700082M22Rik,nscBYnpc_FC5_,npc,nsc,0.0260858,1.45521,55.78552316
Ifi209,nscBYnpc_FC5_,npc,nsc,0.0342011,1.90586,55.72510826
