"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"Glrp1",2.3363456256947,0.956294127492888,6.85321309339202,1.57893387506183e-07,1.0714955250918e-05,7.3026998630554,"microgliaBYo",5.05021786158093
"Il1a",3.63958632472143,1.09564522557697,6.85091350223557,1.5886474466551e-07,1.07479044227373e-05,7.29663282296515,"microgliaBYo",12.4630591313542
"Rab20",2.46683432657169,1.79101688495455,6.84000243293364,1.63556948635453e-07,1.09647587110974e-05,7.26783859869255,"microgliaBYo",5.52829394211264
"St3gal6",3.59817116800732,2.61833536362643,6.70023852384567,2.37725656134308e-07,1.48543579332343e-05,6.89794036408904,"microgliaBYo",12.1103710889201
"Pdgfb",3.9276295141432,2.67024305251985,6.69819264754852,2.39034101352954e-07,1.48543579332343e-05,6.8925114183155,"microgliaBYo",15.2171841279463
"Snn",2.43833014782463,4.21020739218086,6.66573672958155,2.60796224455076e-07,1.58942007537731e-05,6.80633223693415,"microgliaBYo",5.42014011849887
"Rgs10",2.8716787689152,4.37636081311128,6.63670711948494,2.81959494755336e-07,1.70431418100336e-05,6.72916551659677,"microgliaBYo",7.31916347555754
"Thrsp",4.46829229025572,3.382844483037,6.6028137628508,3.0888394869017e-07,1.82712288686434e-05,6.63896949119374,"microgliaBYo",22.1355342728421
"Ctc1",2.46835018037594,4.08728734836433,6.58669681063409,3.22587240577764e-07,1.87805197981628e-05,6.59604202402231,"microgliaBYo",5.53410562734529
"Adgrg1",4.09929040325758,4.56596604034104,6.56460986055851,3.42373308257707e-07,1.97248039025657e-05,6.53717468075698,"microgliaBYo",17.1399429606567
"Slc46a1",4.0982047628375,4.10037134840771,6.54503358387086,3.6093664217015e-07,2.06330783843158e-05,6.48496177688443,"microgliaBYo",17.1270498579328
"Snta1",2.79532584965481,2.84375681563676,6.52544868975165,3.8052929036332e-07,2.15305613573088e-05,6.43269132290348,"microgliaBYo",6.94187722483878
"Bcl2a1a",2.7346486728425,1.42878195137013,6.49372198548105,4.14582711216842e-07,2.30974038168541e-05,6.34794292357463,"microgliaBYo",6.65596880928412
"Pon3",2.39768459797028,2.48206353794172,6.47733572125084,4.33363495942612e-07,2.37898278430233e-05,6.30413725279299,"microgliaBYo",5.26956764797378
"Pde3b",2.33933006720171,2.22581023615212,6.47443445723121,4.36777434009322e-07,2.39079752351033e-05,6.296378818149,"microgliaBYo",5.06067584446477
"Adap2",2.33895504367245,1.69871663580733,6.47367373752089,4.37677076807703e-07,2.39079752351033e-05,6.29434441353467,"microgliaBYo",5.05936051044714
"Gm11545",2.39857484543247,1.01509995342632,6.45822386301749,4.5636006705686e-07,2.46847280281147e-05,6.25301574257067,"microgliaBYo",5.27282035682867
"Cd209f",3.08804310869866,1.15881892276061,6.39993131340484,5.34426415418366e-07,2.79506278683227e-05,6.09689897836768,"microgliaBYo",8.5034194789686
"Rnu12",3.94048569422044,1.76893094446322,6.34028056010624,6.28352675393264e-07,3.20493162983362e-05,5.93685281190985,"microgliaBYo",15.3533938756573
"Plekho1",3.28497473128435,5.59596246223279,6.34005935217968,6.28730428670519e-07,3.20493162983362e-05,5.93625876324163,"microgliaBYo",9.747111387845
"C1qb",6.04119927737522,7.37245606552392,6.2437529950234,8.17096072510191e-07,3.98334590092823e-05,5.67726717966813,"microgliaBYo",65.8540049952605
