PSID Gene Module kTotal kWithin kOut kDiff rank
SDHA SDHA HuAgeMSNDsplitRnaseq_01 30.7077582773654 16.246885192517 14.4608730848485 1.78601210766851 93
CMPK1 CMPK1 HuAgeMSNDsplitRnaseq_01 33.9527505122729 16.1923229354272 17.7604275768457 -1.56810464141853 94
MIEF1 MIEF1 HuAgeMSNDsplitRnaseq_01 31.4295759279393 16.1407666710935 15.2888092568458 0.85195741424771 95
COPG1 COPG1 HuAgeMSNDsplitRnaseq_01 34.1054371072836 16.10702919467 17.9984079126136 -1.89137871794357 96
CHP1 CHP1 HuAgeMSNDsplitRnaseq_01 33.6945136386865 16.0353128421796 17.6592007965069 -1.6238879543273 97
ALAS1 ALAS1 HuAgeMSNDsplitRnaseq_01 29.8781598885605 15.9730572685921 13.9051026199684 2.06795464862366 98
PSMD3 PSMD3 HuAgeMSNDsplitRnaseq_01 29.2395452966137 15.955007476953 13.2845378196607 2.67046965729238 99
SF3B2 SF3B2 HuAgeMSNDsplitRnaseq_01 29.1224507161562 15.8908422876674 13.2316084284888 2.65923385917862 100
APBB1 APBB1 HuAgeMSNDsplitRnaseq_01 36.640575058894 15.8898321549132 20.7507429039808 -4.86091074906766 101
DHPS DHPS HuAgeMSNDsplitRnaseq_01 35.9504192011979 15.8686792267091 20.0817399744887 -4.21306074777964 102
PSME3 PSME3 HuAgeMSNDsplitRnaseq_01 33.5457845396905 15.8573912379305 17.68839330176 -1.83100206382954 103
SAP30L SAP30L HuAgeMSNDsplitRnaseq_01 33.0971752599288 15.8526035511965 17.2445717087323 -1.39196815753584 104
RRM1 RRM1 HuAgeMSNDsplitRnaseq_01 31.8188405295958 15.7890040768167 16.029836452779 -0.240832375962315 105
OPTN OPTN HuAgeMSNDsplitRnaseq_01 30.6871553882141 15.7880436182578 14.8991117699563 0.88893184830156 106
SAFB SAFB HuAgeMSNDsplitRnaseq_01 31.8451146777829 15.7261810737654 16.1189336040175 -0.39275253025207 107
TLK2 TLK2 HuAgeMSNDsplitRnaseq_01 33.3190472250513 15.7187391569605 17.6003080680907 -1.88156891113019 108
USP32 USP32 HuAgeMSNDsplitRnaseq_01 32.0857724607228 15.6620530875478 16.423719373175 -0.761666285627166 109
CD2BP2 CD2BP2 HuAgeMSNDsplitRnaseq_01 35.4212651917685 15.6101502461363 19.8111149456323 -4.200964699496 110
SF3A3 SF3A3 HuAgeMSNDsplitRnaseq_01 29.2050788854469 15.5845595202545 13.6205193651925 1.96404015506201 111
PURB PURB HuAgeMSNDsplitRnaseq_01 34.4567968697797 15.553071333582 18.9037255361977 -3.35065420261563 112
FEM1B FEM1B HuAgeMSNDsplitRnaseq_01 32.6629172857552 15.5487837303518 17.1141335554034 -1.56534982505161 113
POLG POLG HuAgeMSNDsplitRnaseq_01 31.4476435827233 15.530281162019 15.9173624207043 -0.387081258685271 114
NRBP1 NRBP1 HuAgeMSNDsplitRnaseq_01 30.9371076577732 15.5143270014127 15.4227806563605 0.091546345052226 115
AFTPH AFTPH HuAgeMSNDsplitRnaseq_01 32.0784072872731 15.4506977200966 16.6277095671765 -1.17701184707999 116
PPP1R3F PPP1R3F HuAgeMSNDsplitRnaseq_01 31.4434902116445 15.4405604587549 16.0029297528896 -0.562369294134644 117
TOP2B TOP2B HuAgeMSNDsplitRnaseq_01 34.6547834946283 15.433413977424 19.2213695172043 -3.78795553978023 118
EPB41 EPB41 HuAgeMSNDsplitRnaseq_01 35.5380279303312 15.4326356129926 20.1053923173386 -4.67275670434599 119
ARCN1 ARCN1 HuAgeMSNDsplitRnaseq_01 33.9086368964575 15.4310527507026 18.4775841457549 -3.04653139505226 120
FUNDC2 FUNDC2 HuAgeMSNDsplitRnaseq_01 35.5407030968317 15.4193113810773 20.1213917157544 -4.70208033467714 121
SUPT6H SUPT6H HuAgeMSNDsplitRnaseq_01 29.2208812683541 15.3621560557399 13.8587252126142 1.50343084312564 122
COPS3 COPS3 HuAgeMSNDsplitRnaseq_01 27.8458404966647 15.1871246049267 12.658715891738 2.52840871318877 123
RSL24D1 RSL24D1 HuAgeMSNDsplitRnaseq_01 35.1127849679815 15.1813315385279 19.9314534294536 -4.7501218909257 124
FAM219A FAM219A HuAgeMSNDsplitRnaseq_01 34.54956477205 15.169840893068 19.379723878982 -4.20988298591398 125
GAPVD1 GAPVD1 HuAgeMSNDsplitRnaseq_01 30.2691985995674 15.1527244215653 15.1164741780021 0.0362502435632521 126
FAM168B FAM168B HuAgeMSNDsplitRnaseq_01 33.2343739241154 15.0499988168731 18.1843751072423 -3.13437629036927 127
GCN1 GCN1 HuAgeMSNDsplitRnaseq_01 29.4578157809577 14.9962362068174 14.4615795741403 0.534656632677144 128
LRRC59 LRRC59 HuAgeMSNDsplitRnaseq_01 27.9787727860964 14.9893736110171 12.9893991750793 1.99997443593776 129
RNASEH1 RNASEH1 HuAgeMSNDsplitRnaseq_01 30.3501845795757 14.9767691024165 15.3734154771592 -0.396646374742726 130
PITPNA PITPNA HuAgeMSNDsplitRnaseq_01 29.4581604784407 14.934503295207 14.5236571832337 0.410846111973257 131
CHMP7 CHMP7 HuAgeMSNDsplitRnaseq_01 29.0960816948908 14.9238854091302 14.1721962857606 0.751689123369644 132
RNF168 RNF168 HuAgeMSNDsplitRnaseq_01 28.2512974934419 14.9175223060134 13.3337751874285 1.58374711858487 133
DHX38 DHX38 HuAgeMSNDsplitRnaseq_01 29.1194899792103 14.8827313187264 14.2367586604838 0.645972658242581 134
ZFYVE9 ZFYVE9 HuAgeMSNDsplitRnaseq_01 33.5886124425049 14.8691464104594 18.7194660320455 -3.8503196215861 135
SSRP1 SSRP1 HuAgeMSNDsplitRnaseq_01 31.1623200556973 14.8602456351719 16.3020744205255 -1.44182878535356 136
