GSM509547	GSM509548	GSM509549	GSM509550	GSM509551	GSM509552	GSM509553	GSM509554	GSM509555	GSM509556	GSM509557	GSM509558
202742_s_at	175	256.4	279.1	264	127.8	134.4	124	102	148.8	72.9	134.6	107
202743_at	265.8	222.1	326.4	205.8	192	293.1	212.2	231.9	190.9	209.6	422.1	233
202744_at	79.1	75.7	30.2	37.5	63.5	48.7	64.1	39.8	49.8	15.5	16.5	9.6
202745_at	107.7	107	138.8	156.6	115.4	90.8	120.4	70.3	81.3	93.1	53.4	90.8
202746_at	275	483.5	289.7	564.9	443.1	378.6	596	361.2	429.7	164.9	573.7	523.2
202748_at	232	51	19.6	60	50.8	199.3	394.6	33.6	75.8	88.6	125.2	131.4
202749_at	740.8	592	983.9	733.7	426.7	388.8	404	524.9	392.2	278.4	264.7	381.4
202756_s_at	214.4	171.6	103.6	123.1	290.4	261.1	164.8	174.8	223	327.2	213.9	191
202758_s_at	121.7	61.9	56.2	28.5	92	147.9	165.3	134.1	119.7	43.7	78.9	65.3
202760_s_at	115.9	173.6	247.5	166.1	70.4	112	145.1	98.7	106.4	11.9	136.8	120.1
202762_at	113.9	126.7	157.9	155.2	154.4	114.3	138.1	90.2	117.1	61.5	120.5	138.9
202763_at	72.4	88	40.2	65	89.5	59.7	71.5	66.2	70.4	200.7	59.1	76.6
202764_at	85.9	67.8	46.2	5.5	55.5	65.2	48.7	63.6	38.9	154.9	128.8	78.8
202766_s_at	111	105	96.4	131.4	126.5	93.8	70.4	98	104	153.1	94.1	84.9
202767_at	169.6	160.1	154.2	128.4	141.8	132.2	97.6	138.1	127	285.2	160.2	137.8
202768_at	16.9	5.7	9.5	7.1	12.5	7.6	9.8	5.4	4.9	9.3	15.2	8.9
202769_at	223.7	90.5	79.9	99.3	134.9	146.5	229.1	101.4	122.3	92.5	129.8	157.6
202772_at	219.1	177.9	162.8	213.1	202	267.8	214.7	229.6	214.9	271.4	173.7	379
202774_s_at	146.5	124.1	118.3	243.9	232.2	180.2	179.1	161.3	151.5	338.2	418.3	275.7
202776_at	234.4	275.9	410.6	252	220.6	321.8	253	333.7	351	195.1	182.6	259.4
202777_at	223.1	330.1	452.2	290.8	198.3	191.1	225.8	275.9	301	135.3	327.7	204.6
202778_s_at	254.7	273.5	169.5	206.4	263.1	355	215.9	202.5	203.6	266	180.3	255.7
202779_s_at	66.7	96.7	56.5	63.9	53	52.1	42	70.6	69.6	133	43.7	55.6
202780_at	235.3	195.3	323.3	220.6	208	202.5	173.5	160.7	147.8	82.3	117.1	125.2
202781_s_at	44.8	52.9	51.5	59.3	12.9	71.9	62.6	41.7	47.3	144.1	180.1	57.4
202783_at	49.8	36.3	50	51.6	40.6	37.9	38.8	48.9	27.7	12	46.9	15.1
202785_at	148.3	190.6	337.9	213.8	134.3	252.7	236.5	193.7	346.8	19.4	21.9	133.1
202786_at	253.3	361.1	449.6	311.7	443.6	189.1	181.7	293.4	302.1	470.9	168.6	262.6
202787_s_at	43.4	42.5	29.8	17.5	49.3	27.3	25.8	19.5	31.4	74.5	15.2	26.7
202789_at	146.4	135.9	59.1	149.8	149.4	117.9	139.4	102	108	94.7	175.5	142
202790_at	42.1	25	24.4	17.4	22.5	31.5	49.5	9.9	24.4	22	11	6.6
202793_at	5.4	5.4	2.6	16.7	6	5.7	4.3	42	23.7	16.7	8.6	43.8
202794_at	330.5	439.2	500.1	423.3	456.7	427.5	373.9	555.6	349.4	288.7	337.5	459.7
202796_at	65.6	46	18.4	31.8	55.1	55.3	84.6	62.8	31.5	98.3	179.8	89.7
202798_at	149.7	160.9	182.5	135.2	156.5	230.6	147.8	140.5	125.5	63.8	122.3	137.5
202799_at	113.3	149.6	104.5	123.5	144.2	142.8	125.8	140.4	87.9	16	48.3	260.1
202800_at	1267.2	1487	1389.8	1713.5	1548.8	1668.6	1836.8	1830.4	1724.9	480.3	771.3	1474.2
202801_at	191.3	232.5	180.1	208	165.5	162.1	133.4	201.2	174.9	290.4	342.6	257.9
202803_s_at	218.6	117.5	56.1	103.6	72.6	127.3	220.5	114.4	126.3	172.6	138.2	235
202804_at	84.6	94	72.9	138.4	147.2	155.6	82.3	117.9	113.5	163.3	125.6	109.1
202806_at	85.6	72.5	106.5	97.1	86.4	120	140.8	121.9	96.2	35.5	162.6	119.7
202807_s_at	107.4	108.9	49.9	63.8	92.3	99.4	72.9	94.7	98.7	170.5	133.2	137.9
202810_at	429.8	434.3	458.9	391.1	304.5	277.2	212.7	348.4	307.6	542	360.2	383.8
202811_at	333.7	347.3	422	384.2	357.4	269.1	330.7	381.4	414.5	326	274.8	290.8
202812_at	127.4	117.5	85.9	137.7	154.6	122.7	103.4	136	108.4	172.9	105.3	178.6
202813_at	85	104.8	129	122.4	108	88.9	57.2	96.5	153.3	42.8	56.7	144.4
202814_s_at	122.3	139.1	142.9	148.8	103.2	91.5	181.7	162.6	117.8	127.7	136.9	70.6
202816_s_at	41.1	41	19.3	33.6	32.9	34.7	42.5	22.8	35.6	124.4	74.3	54.2
202818_s_at	274.7	197.6	148.7	251.7	256.5	219.2	236.8	157.7	166.1	412.8	341.8	351.8
202820_at	30.5	36.9	42.8	39.6	50.8	34.6	48.9	37.5	37.5	56.6	12.9	29.2
202822_at	296.4	159.6	141.4	198.7	223	283	297.4	269.9	156	176.8	552.3	309.7
202824_s_at	242.4	308.3	607.3	202.9	210.8	333.1	316.3	322.8	335.5	146.8	263.7	191.5
202825_at	157.6	271.1	520.4	286.4	134	199.5	150.1	271.7	190.5	122.4	128.4	182.3
202826_at	8.4	5.7	7.1	8.2	5.9	1.5	6.6	9.6	11.7	50.2	20.4	18.5
202829_s_at	249.5	340.8	472.3	341.8	291.8	271.1	272.6	285.7	299.4	94.9	416.8	268.4
202831_at	21	91.5	39.7	88	49.5	84.7	75	41.1	50.9	22.5	124.7	63.3
202834_at	732.7	587.6	921.8	858.3	1850.3	1771.8	1593.8	1902.5	1874.5	556.4	438.2	775
202836_s_at	591.9	567	1132.4	668.6	826.5	694.4	773.2	835.9	911.7	572.6	453.1	465.4
202838_at	118.4	126.4	145.3	126.9	113.5	155.8	75.9	145.7	156.1	26.4	109.7	154.1
202839_s_at	186.4	116.9	106.1	123.2	194.1	198	293.5	216	154.6	188	11.8	143.1
202840_at	94.1	121.1	106.3	149.5	181.8	133.4	82.2	113.7	101.9	253.5	153.6	118.2
202842_s_at	452.1	443.8	829.4	334.3	414.7	435.7	339.6	381.5	455.6	201.7	233.5	273.7
202845_s_at	438.3	556.9	319.7	556	302.4	280.1	384.4	408.7	348.1	148.5	388.1	459.2
202846_s_at	78.9	88.5	92.8	95.7	117.2	114.6	86.6	57.5	88.5	42.8	148.9	101
202847_at	85.2	45.1	66.9	75.1	36.1	96.5	81.3	55.9	39.1	43.6	97	89.4
202850_at	191.8	244.7	206.8	263.3	295.2	202	266.3	208.8	255.8	168.9	293.8	235
202853_s_at	98.1	109.5	95.1	83.1	93.3	81	197.9	55.9	111.2	142.6	165.9	146.7
202854_at	273.6	460.9	858.6	297.9	123.7	181.3	190.3	308.4	309.3	94.3	121.5	147.2
202855_s_at	5.3	7.5	2.6	1.7	4	3.7	2	2.4	3.4	12.3	15.6	4.4
202857_at	335	483.5	297.9	314	300	315.1	334	276.8	281.8	87.6	103.8	273.1
202858_at	463.8	480.1	510.5	681.3	619.8	607.2	605.6	547.2	674.1	452.6	270.7	562.5
202862_at	57	75.7	56.8	63	63.4	102.7	69.4	62.3	100.1	138.3	69.6	48.9
202863_at	40	43.1	71	59.7	39	75.1	112.7	51.7	45.1	19.1	155	100.2
202868_s_at	142	185.4	188.2	155.5	115	127.7	139.8	133.5	131.8	135.6	163.5	132.7
202870_s_at	3.1	29.1	3.8	15.8	24.7	4.6	45.8	2.3	16	6.5	30.1	18.5
202871_at	77.6	65.3	57.5	100.1	105.5	112.7	82.3	94.3	84.5	85.9	118.5	151.5
202872_at	87.5	109.9	121.9	46.5	84.1	78.8	110.6	138.8	73.6	25.9	37.1	82.5
202876_s_at	111.4	113.3	98.1	146.1	72.6	99.9	98.3	88.7	47	238.4	136.6	218.9
202878_s_at	235.2	70.4	48	115.4	54.2	221.2	203.9	62.6	73.9	137.9	318.4	102.6
202880_s_at	162.5	208.1	106.1	183.8	127.3	130.2	112.1	126.9	86.4	213.5	125	172.8
202886_s_at	78.6	53.7	27.3	30.7	56.6	51.3	40.4	44.5	37.6	56.1	93.5	35.7
202888_s_at	14.6	15.2	3.1	1.9	5	16.8	27.1	34.9	20.2	12.8	80.9	39
202890_at	242.6	428.7	316.8	458	694	370.5	300.6	362.7	343.2	350.5	398.6	269.8
202891_at	262.4	250.2	201.4	261.7	313.4	237.8	235.9	263.8	270.4	397.4	366.1	269.2
202892_at	60.6	78	63.2	74.4	57.2	75.5	84.4	70.1	74	80	83.9	54.9
202893_at	137.4	123.7	114.1	156.5	140.2	110.2	163.8	130.4	124.3	178.6	79.8	127.4
202894_at	40.1	10.3	32.3	35	36.8	58.5	48.7	82.2	37.7	178	79.8	65.5
202896_s_at	248.1	114.3	129.9	135.4	203.7	264.4	201.1	80.7	165.8	381.5	151.7	148.5
2028_s_at	56.3	59.9	61.2	46.7	44.4	41.7	40.3	40.1	32.6	176.5	163.7	93
202900_s_at	25.5	25.1	25.1	55.9	36.2	57.4	40.9	46.4	56.9	61.1	19.6	46.2
202902_s_at	58	23.4	29.7	59.3	44.9	48.8	66.1	51.9	51	25.8	72.6	129.5
202904_s_at	15.4	14.9	20	11.3	17.1	7.1	14.4	3.6	18.9	34	13.2	1
202907_s_at	181.6	179.1	220	170.8	260.2	204.9	187.3	222.8	249.1	220.4	208.7	216.6
202908_at	278.7	268.5	275.4	246.6	300.6	393.7	325.9	472.4	338.7	423.6	202.4	362.1
202910_s_at	21.5	30.4	18.2	66.2	25.2	48.4	22.4	38.9	33.8	122.3	27.6	70.1
202911_at	152.3	140.5	159.6	163.1	207.7	198.3	139.8	175.5	171.3	262.5	89	164.8
202912_at	314.5	250.4	367.5	246.2	438.7	559.1	409.2	194.6	142.1	265.3	240.9	160.1
202917_s_at	1217.6	320.5	1017.5	119.1	94.2	887.4	520.6	1129.6	34.4	2.8	2793.1	236.1
202920_at	876.8	1214.5	1453.8	956.9	1090.8	746.1	774.6	1094.4	971.6	507.3	335.5	704.1
202922_at	137.7	156.5	213.9	193.5	161	180	130.7	201	128.3	123.5	163.2	148.3
202924_s_at	32.3	39.4	41.2	42.4	39.5	63.3	33	44.3	29.4	7.3	86.1	51
202926_at	181	208.1	125.2	189.3	158.8	174.2	132.4	191	151.7	259.7	131.8	150
202927_at	174.5	165.4	161.1	75.2	237.5	153.4	163.2	298	176.7	281.8	44.3	152
202929_s_at	123.3	108.4	108.5	137.3	81.5	125.7	100.6	79.7	106.8	78.1	120	100
202930_s_at	166.4	293.8	429.3	189.3	164.4	130.5	135.5	215.5	181.5	112.8	104.9	113.1
202933_s_at	86.9	109.5	90.2	118.3	158	131.6	142.4	90.3	113.2	115.2	78.1	146.9
202934_at	42.5	44.3	73.4	51.3	116	70.7	95.9	73.8	94.4	109.1	85.2	65.9
202936_s_at	564.9	367.2	314.6	319.9	424	564.5	421.1	481.9	366.9	229.2	330.3	442.8
202939_at	549.8	388.1	465.4	334.4	315.2	312.4	368	440.9	400.2	128	192.2	336.3
202941_at	291.8	488.6	746	426.4	325.2	459.1	308.9	453.5	422	112.6	164.2	310.3
202942_at	240.1	336.7	278.2	403.5	457.8	529.4	313.6	456.6	455.2	905.8	271.8	235.1
202943_s_at	122.9	71.7	62	86.3	108.3	91.1	104.2	83.9	95.5	191.3	196.1	126
202945_at	99.1	85.6	42.8	91.3	134.1	124	54.7	94.6	106.2	185.6	157.3	114
202947_s_at	248.1	179	66.3	203.5	214.5	235.4	197.7	146.5	250	202.5	318.1	344.6
202948_at	113.8	61.8	64.1	95.2	25.6	130.3	250.9	69.2	57.1	83.6	288.7	119.6
202949_s_at	20.6	8.7	37	45.7	15.5	60.3	11.5	53.2	16.5	31.1	79.8	41.1
202950_at	91.1	114.4	114.5	105.2	104.6	77.3	124.5	133.4	66.6	19.2	98.5	129.4
202951_at	54	52	32.9	54.9	63	85.6	91.6	59	52.6	87	45.9	57.2
202953_at	659.5	130.8	152.9	133.9	127.9	445.7	807.5	148.2	99.2	231.9	226.4	110.8
202954_at	98	74.6	46.7	50.1	56.7	74.1	78.1	67.1	50.5	153.5	137.4	119.6
202957_at	194.3	103.5	63.7	100.1	75.2	216.3	120.7	151.6	116	160.3	346.1	157.2
202958_at	211	142.6	114	29.2	153.1	174.8	159.7	119.7	90.9	218.6	252.3	148.2
202959_at	115.4	103.5	133.6	162.7	94.5	112.2	98.1	107.3	103.8	158.5	98.9	96.7
202961_s_at	822	976	1775.5	924.1	873.9	925.8	1183.9	1165.7	962.4	535.6	341.5	746.2
202962_at	291.6	267.1	163.8	334.2	333.7	257.7	282.8	285.6	262.6	394.2	297	364.9
202963_at	95.6	116.6	194.7	118.5	68	80.8	77.4	153.3	171.1	19.9	25.1	80
202965_s_at	6.1	5.6	2.4	4.5	18.6	7.4	17.9	1.4	4.1	11.4	17	16.5
202967_at	332.4	422.2	638	390.5	323.1	362.3	251	491.8	377.8	247	298.1	354.6
202969_at	40.9	33.6	13.3	38.7	18.2	28	29.4	18	24.5	12.5	15.6	23.8
202974_at	120.1	198.3	168	154.5	132.7	158.8	70	173.6	147	18.7	34	111.6
202979_s_at	32	41.1	38.5	36.2	43.1	43.7	22.8	38.3	28.9	36.2	29.3	34.4
202980_s_at	28.4	19.6	13.7	19.4	23.4	22	14.8	3.5	9.4	3.2	59.1	19.5
202982_s_at	76.2	57.4	82.2	68.5	116.8	101.2	72.6	76.8	137.7	25.2	21.8	52.8
202983_at	276.8	296.5	322.9	310.3	245.2	226.3	166.7	213.8	288.9	93.4	182.7	207.9
202984_s_at	19.9	55.3	13	58.2	34.2	30	36.2	16.3	47.7	33.5	49.3	46.5
202990_at	72.1	62.8	62.8	76.3	37.9	73.3	67.6	78.6	39.4	102.9	101.1	50.6
202991_at	44.5	40.5	22.6	36.3	41.5	10.2	37.7	40.1	43.1	87.2	20.7	43.6
202992_at	37.3	13.7	25.9	56.7	72.6	43.8	55.3	25	16.8	15.1	38.4	7.3
202995_s_at	44.3	28.3	29.6	49.2	38.3	28.3	43.1	29.5	31.8	109.5	70.3	68.7
202996_at	34.8	20.1	7.6	17.5	12.8	8.7	12.2	14.2	19.5	18.9	45.5	21.8
202998_s_at	78.7	57.3	33.8	69.4	63.2	80.4	94.5	48.3	32.8	81.9	160.2	63
203001_s_at	636.2	1566.5	2549.8	1356.4	496.5	475.3	382.6	1438.7	1220.1	666	114.7	326.9
203002_at	240.3	262.4	126.5	332.6	303.2	117	217.7	204	269.7	464.4	323.1	266.2
203003_at	35.9	9.2	34.9	21.8	60.1	36.3	20	44	52.6	77.8	44.5	53.3
203005_at	66.5	40.1	23.8	77.4	79.6	69.3	87.8	59.2	58.4	64.7	52.1	115.6
203006_at	191.2	291.3	233.7	291.4	236.9	194.9	228.4	288.8	281.4	237.2	276.5	256.8
203008_x_at	147.9	116	151.5	161.7	126.9	113.6	101.9	222.6	148.6	184.6	117.1	67
203010_at	85.1	99.7	94.4	53.2	118	130.3	71.8	109.1	109.9	168	241.6	121.3
203011_at	285	427.2	855.8	303.5	311.4	362.1	174.9	471.6	327.6	33.8	232	220.3
203013_at	98	111.5	105.5	48	80.1	84.4	43.9	102.3	69	123.1	178	63.6
203021_at	109.3	35.5	38.9	90.7	39.1	48.1	75.7	26	23.5	117	151.8	72.5
203022_at	104	58.5	61.1	59.5	91.6	97.2	122.1	76.3	73.3	73.5	86.8	80.6
203025_at	150.9	159.1	61.5	133.6	126.7	110.8	168.6	77.5	121.2	279.7	173.3	123.4
203027_s_at	14.3	7.2	8.4	11.6	3.5	9	1.7	2.7	2.6	10.8	11.4	3
203028_s_at	93.8	56.5	26.2	79.9	47.7	78.6	111	19.4	16.3	33.5	88.3	99
203029_s_at	210.1	289.3	315.4	348.6	243.5	225	134.4	239.9	182	125.2	62.2	223.6
203031_s_at	195	334.6	136.5	164.2	149.8	153.9	120.6	155.1	168.4	241.4	167.7	213.2
203032_s_at	12.8	15.6	8.4	23.5	2	1.4	16.5	19.8	5	7.4	4.4	34.2
203034_s_at	5080.5	4783.4	4057.4	5746.6	6100.8	5760.5	6211.8	4437.3	6046.2	4416.2	8594.6	6211.2
203035_s_at	85.7	60.4	52.4	76.3	96.6	66.3	87.1	63	83	113.9	132	19.9
203038_at	516.2	443.7	406.9	558.5	678.5	444.8	543.6	483.8	457.5	499.8	465.9	578.2
203039_s_at	137.1	259.9	284.7	212.8	115	248.3	117.3	185.4	189.8	132.3	78.8	174
203040_s_at	104.1	111.3	107.8	159.2	131.5	126.1	143.1	169.7	137.9	455.3	290.5	152.5
203043_at	146.2	214.5	136	127.1	159.2	124.1	192.3	141.2	193.1	72.1	167	245.4
203045_at	130.1	103.1	110.1	160.8	126.3	200.7	260.1	237.1	217.6	46.2	63.4	333.9
203046_s_at	75.1	39.4	51.7	53.6	57.6	66.3	72.8	64.4	53.8	223.4	104.2	28.4
203050_at	231.1	176.6	211.4	157.3	151.6	128.7	245.2	203	181.7	310.6	128.5	194.7
203052_at	92.8	33	54.4	66.2	90.2	98.3	140.4	46.8	67	72.3	132.7	106.3
203053_at	253.8	361.2	592.9	294.7	276.9	283.1	229	239.8	293.1	192.8	99.2	150.8
203054_s_at	232.7	281.6	162	297.2	181.1	247.9	224.3	256.3	220.3	268.3	256.9	262.4
203055_s_at	103.4	94.6	51.2	77.6	67.5	86.4	108.5	122.9	86.4	133.1	122.4	115.9
203057_s_at	153.4	132.2	89.7	138.2	83.5	116.7	85.6	138.5	104.2	56.1	138.4	133.5
203058_s_at	123.8	62	15.5	57.5	36.8	108.4	54.2	52.6	26.8	91.3	110.5	56.2
203064_s_at	111.7	83.7	71.5	105.6	120.1	113.9	69.9	52.4	84.7	93.3	101.2	110
203065_s_at	42.9	49.8	14	53	54.9	54.2	48.8	36.2	47.4	11.6	131.2	40.9
203067_at	177.5	221.9	410.5	199.2	149.2	218	158.5	198.7	222.4	98	178.9	89.1
203071_at	234.8	205.7	88.3	256.1	257.4	175.8	109.7	135.1	179.9	335.3	215.5	279
203072_at	55.5	50.4	24.3	68.9	88.8	67.8	62.4	67.3	29.7	108.9	20.6	90.8
203073_at	138.2	127	152.3	156.8	161.8	155.9	144.8	168.8	141.6	195.8	192.5	179.3
203074_at	105.7	60.4	57.5	76.9	86.2	77.3	90.5	87.1	64.3	207.7	127.9	72.3
203075_at	301.2	242.3	308	245.2	344.5	292.9	287.3	309.2	298.1	214.3	214.6	233.5
203078_at	2	20.8	32.8	15.6	27.3	19.5	10.4	15.9	15.7	5.5	18	8.3
203080_s_at	200.4	165.8	134.8	248.8	254.4	185.7	186	206.8	196	234.9	230.3	197.2
203081_at	100.4	205.1	118.6	161.9	156	124.2	71.7	181.3	139.4	103.9	183.7	218.2
203083_at	260.9	336.9	329.9	289	518.4	317	408.4	286.6	360	529	264.4	341.1
203085_s_at	99.7	70.9	41.7	48.2	50.5	83.3	73.3	79.9	29	11.2	19.7	116
203087_s_at	188.4	208.9	228.2	127.8	148.5	104.5	105.3	103.2	112.7	34.8	63.2	136.1
203088_at	51.3	76.8	24.3	56.4	49.3	66.9	43.7	40.8	55.9	8.5	71.7	21.2
203090_at	125.4	80.3	92.5	86.3	89.4	92.3	97.2	84.9	84.9	107.9	123.8	79.3
203091_at	118.1	90	58.8	76.5	59.5	71.8	105.9	70.4	63.3	35.5	72.3	69.1
203093_s_at	64.6	47	39.4	50.8	40.8	54.7	48.9	71.3	30.3	53.6	49.3	20.9
203095_at	130.8	182.3	175.4	203.9	156.2	164.5	186.3	188	157.9	153.2	134.4	213.1
203097_s_at	516.3	627.3	663.9	544.2	763.5	596.6	653.5	783.9	576.6	228.3	370.5	521.7
203098_at	63.1	74.4	71	102.1	97.7	77.2	90.5	57	59.3	16.8	20.9	58.1
203102_s_at	57.5	49.9	87.1	58	50.3	51.3	100.7	54.9	65.1	81.1	73.7	34.6
203103_s_at	341.8	428.9	214.8	231.3	258.1	323.4	257.1	349	314.5	819.8	265.2	334.4
203104_at	242	133.4	110.9	183.7	230.1	266.9	247.8	198.6	248.3	309.7	347	457.3
203105_s_at	71.9	147.9	102.7	59.7	89.7	52.5	62.5	58.9	62.1	88.3	22.5	67
203108_at	6.9	4.4	5.5	5.9	6.3	3.9	3.7	5.8	3.7	10.7	13.1	5.1
203109_at	109	242.6	113.7	56.5	60.5	69.8	56.4	82.9	98.8	13.5	25.5	35.1
203110_at	8.7	19.3	12.5	35.9	93.7	58.6	6.7	50.5	59.9	96.7	89.6	11.7
203113_s_at	473.8	541.5	201.5	325.5	568.5	402.6	619.1	518.5	447.9	711.3	624.7	622.1
203114_at	48	7.9	68.2	56.1	5.2	13.4	6.5	42.1	9.6	20.1	9.1	6.1
203116_s_at	150.4	140.6	130.7	182.5	159	151.2	123.9	119	137.6	164.3	160.5	160.4
203118_at	153	128	103.6	116.3	114.8	40.2	92.6	118.3	80.3	61.2	29.9	173.3
203120_at	167.6	136.7	128.1	241.1	178	225.6	159.7	223.2	157.8	93	151.5	198.3
203123_s_at	150.7	176.6	151.9	209.7	169.1	189.8	147.2	204.7	124.4	254.5	297.9	192.1
203126_at	17.5	3	11.8	11	29.4	50.3	22.9	2.8	10.9	3.6	4.7	3.9
203130_s_at	2010.1	2152.3	2119.6	2163	2696	1414.7	2113.3	2562.1	2799.2	2097	1807.4	1938.9
203131_at	136.4	262.4	301.5	388.4	275.1	204.2	221.5	227.7	387.5	111.4	206.8	304.6
203132_at	103	77.1	53.1	59	96.5	64.2	126	82.6	73	50.9	61.8	60.1
203133_at	443.5	322.1	420.1	339	422.5	462.3	536.2	302.8	414.6	378.9	464.5	402.7
203135_at	89.4	70	88.3	72.4	58.5	81.6	73	72.6	71.4	58.2	66	78.8
203136_at	552.4	600	359.4	521.8	447.9	490.9	568.4	654.5	526	492.9	229.5	445.6
203138_at	77	76.9	83.7	56.5	82.9	83	75.1	72.3	62.6	46.6	83.2	59.3
203139_at	125.2	117.8	235.5	179.2	99.4	118.4	94.9	208.7	146.4	187	215	147.4
203140_at	613.8	305.2	472.4	244.8	452.6	883.6	938.8	600.5	315.2	238.2	300.7	399.4
203142_s_at	230.1	189.3	122.5	190.5	120.4	183.5	104.2	92.4	138.9	58.9	274.2	234.8
203145_at	37.7	23.3	31.1	14.4	21.5	27	44.9	34.3	24.7	9.7	18.9	29.3
203146_s_at	298.6	608.4	324.9	322.5	420.9	334.6	308	503	445.7	23.3	193.6	379.1
203149_at	99.1	92.4	85.9	90.2	120.8	170.4	135.3	103.9	122.3	161	229.2	117.8
203150_at	176.9	96.1	220.1	162	91.6	162.3	91.7	145.9	150.6	189.1	169.7	185
203151_at	1831.8	2440.8	1207.4	1640	1691.6	1013.2	1083.2	1617.9	1603.8	1818	1353.1	1919.1
203152_at	316.5	208.4	277.6	226.6	254.8	348.5	336.2	311.9	284.1	190.7	146.7	172
203153_at	137.4	266.6	2321	159.1	134	220.1	230	261.7	155.2	14.3	17.9	247
203155_at	58.3	55.5	34.1	25.6	68.5	62.3	26.1	43.2	62.6	7.4	53.9	80.3
203156_at	493.6	719.8	850.2	753.5	498.5	399.6	331.9	647.1	623	157	342.8	387
203160_s_at	118	112.2	134.3	106.1	174.6	155.2	118.9	132.4	137.5	178.6	124.7	79.8
203162_s_at	170.4	185	261.1	172.3	186.8	237.5	158.8	245.1	237.4	254.4	208.9	181
203164_at	77.1	53.9	69.2	73.3	70.9	46.6	62.7	101.1	90.6	115.1	96.1	100
203166_at	313.3	353.2	314.8	269.8	437.6	331.9	343	306.7	366.6	299.3	199.3	272.8
203167_at	66.1	88.9	42.8	129	133.4	53.6	85.5	83.7	127.5	114.6	23.6	130.9
203168_at	16.2	63.1	47.6	61.4	11.4	13.8	61.8	18.7	52.2	57.9	127.6	17
203174_s_at	108.3	114.5	88.9	110.2	105.9	136.7	105.4	109.2	136.8	173.7	233.7	118
203175_at	458.7	434.5	309.2	436.3	587.9	466.7	444.4	479	399.4	434.6	612.6	555.9
203176_s_at	43.7	35	51.7	72.4	29.4	51.4	46.4	59.2	29.1	118	20.7	61.9
203179_at	115.6	166.9	177.5	145.5	128.4	124.9	93.1	166.5	146.1	249.7	182.3	170.3
203180_at	24.2	53.4	38.1	15.8	50.3	48	44.6	32.2	68.1	32.7	26.1	11.5
203182_s_at	394.7	586.2	823	486.7	327.1	290.8	246.9	419.5	283.5	98.6	105.8	281.3
203183_s_at	62.9	58.9	53.5	26.3	60.6	44.8	41.1	34.7	43	166.4	133.9	79.4
203184_at	17.7	14	16.7	23.6	33.7	5.4	15.1	26.6	23.4	202.6	83.4	18.1
203185_at	930.3	867.6	767	1353.8	1167.3	932.9	590.1	994.6	1223.4	631.3	1450.9	1314.5
203186_s_at	8.3	13.7	27.4	54.1	74.7	42.1	204.7	118.3	20.9	28.5	113.8	26.8
203187_at	232.9	326.9	172.1	239.6	216.4	193.3	211.3	207.5	255.1	183.6	391.7	294.1
203188_at	419.9	700.6	1146.1	594.7	565.2	349.6	489.8	757.8	859.5	890.7	277.5	297.2
203190_at	242	335.1	237.3	258.3	276.2	284	322.5	297	281.1	446.6	194.4	366.9
203192_at	102.7	63.8	42.3	82.5	68.5	76.2	87.5	101.2	95	35.6	128.1	51.5
203196_at	60	46	27.4	9.9	40.3	56	76.2	33.5	59.2	18.9	14.8	36.2
203198_at	54.4	70.8	32.1	44.8	35.2	49.6	68.8	46.4	56.4	9.4	48.7	26.4
203200_s_at	190.2	160.1	242.3	320.8	237.2	115.3	212.1	247	204.3	185.3	156.9	179.6
203201_at	18.7	18.9	5.2	30.9	23.2	25.9	41.7	17.8	4.5	28	41.6	51.8
203202_at	127.5	92.2	81	151.9	99.5	90.7	138.2	105.1	125.6	146.6	49.7	122.4
203209_at	26.5	35	29.2	66.5	40.9	49.2	37.8	57.8	43.2	11.8	36.7	30.3
203213_at	7.7	3.7	7.6	1.5	20.6	3	19.9	8.2	8.8	7.7	52.2	2.3
203216_s_at	146.3	137.6	140.6	200.4	269.9	157.9	144.7	107.8	149.1	170.6	131.1	170.5
203217_s_at	295.4	423.9	404.1	522.6	474.6	399.5	344.4	360.3	438.2	324.9	300.3	460.7
203218_at	148.3	208	365.9	153.4	142	126.9	134.7	142.2	178.2	106.6	7.4	61
203221_at	221	180.3	126.9	190.1	249.3	198	209.2	184.5	176.5	244.4	338.6	311.8
203226_s_at	172.1	160.4	126.3	198.4	157.1	165.1	115.8	130	200.7	276.6	238.3	176.9
203228_at	22.9	74.9	65.8	60.3	26.4	85.2	98.2	61	42.1	13	67.1	12.4
203229_s_at	134.6	135.2	71.7	163.6	140.3	132.5	179.8	144.5	135.7	181.5	193.9	166.5
203230_at	156.9	149	126.7	224.2	193.9	167.5	172.5	186.6	103	382.9	152.8	166.7
203232_s_at	186.5	194.6	209.6	171.5	236.4	119.5	188.7	254.8	189.6	124	176.3	212.2
203233_at	244.5	101.5	83.2	81.7	104.2	217.9	174.5	95	89.5	133.2	537	177.9
203234_at	98.3	65.2	65.7	76.4	30.9	105.1	86.3	58.2	79.2	79.8	135.7	85.4
203235_at	69.5	43.5	27.9	45.1	57.2	42.6	46.7	54.5	38.8	67.6	98.6	25.9
203236_s_at	39	41.7	36.9	20	71.9	38.1	61.2	24.5	73.5	93.9	183.5	156.4
203238_s_at	112.1	182	75.2	148.6	155.6	163.7	169	130.5	166.2	213.8	388.6	287.2
203239_s_at	67.9	48.4	11.4	34	35.3	34	57.2	42.3	20.6	50.2	37.9	50.9
203240_at	453	17.4	6.3	36.1	11.3	84.4	465.3	38.5	68.2	31.9	23.8	33.6
