GSM506013	GSM506014	GSM506015	GSM506016	GSM506017	GSM506018	GSM506019	GSM506020	GSM506021	GSM506022	GSM506023
200059_s_at	1348.470196	1375.140989	1404.016315	1124.080681	1174.886247	1784.858924	1316.10249	943.3200429	1676.813461	1198.185491	1371.304871
200060_s_at	343.7345729	375.99851	427.638604	414.1010109	326.0731769	377.0080909	435.6871355	384.2985072	412.8180114	399.5105594	310.2942105
200061_s_at	2711.832786	3198.277997	3006.002722	2702.038621	2394.371395	3192.860236	3207.737693	3132.44018	3857.087095	2720.820641	2792.981454
200062_s_at	2222.701735	2684.11871	3195.489097	2292.933876	3210.59131	2920.464751	2879.752873	2665.965561	3273.926156	2812.08609	2572.594117
200063_s_at	729.0803862	778.9954313	933.8642672	877.8107613	894.4771272	1288.446974	939.2191725	786.217207	1131.449266	700.9396878	780.5450166
200064_at	2214.497068	2698.526151	2309.147181	2391.894121	2259.45426	1576.316601	2372.67025	2263.515129	4114.099797	1514.47708	2654.846271
200065_s_at	697.9204455	820.3135459	748.8458928	541.556459	929.5902595	782.0951618	924.8257029	987.9362763	736.8026013	527.6593309	662.3186467
200066_at	160.9655498	158.3048103	211.5552774	188.1867204	191.4830781	173.2898858	184.8727928	111.2112473	212.2017829	180.6696114	155.4813977
200067_x_at	789.58545	688.9404202	559.1977033	650.0285838	813.8639336	751.3690823	922.7510692	648.2260851	1126.978537	538.4429699	594.4243233
200068_s_at	1786.029991	1669.376816	1836.467481	1488.28882	1833.998157	1440.512946	2303.899403	1896.767366	1936.894946	1541.964874	1490.325956
200069_at	69.96746589	65.06843843	52.00305399	64.95934698	107.0322283	75.45210863	70.61762332	119.9364328	79.33079691	54.69617694	60.04374688
200070_at	149.4399246	111.2796593	98.3571289	145.2032631	138.1415489	152.5030951	141.4700767	122.5585729	134.3448305	171.235089	107.6028278
200071_at	82.79997462	92.5743932	79.80478838	95.68475358	92.40249087	111.8467783	80.43683635	52.18004948	118.8320099	76.94921832	82.54899656
200072_s_at	252.7696786	294.6714046	342.0921223	378.984352	348.1339231	304.6856607	524.4171048	197.9656454	451.059476	330.0362139	273.3214813
200073_s_at	166.1560715	123.3712323	139.2227592	116.8775313	150.6269577	132.2564278	148.4706704	86.95418327	108.8957025	101.9715514	173.0674315
