"","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"Fcgr3",4.59997409878329,9.19903090085627,2.30624560018765,8.61907388596141,4.57574346230597,8.69078305090977,2.30624560018765,8.74392681820812,9.69143555650585,7.39688869672092
"Fcrls",2.32908190649349,10.1529739769003,3.24901050799471,4.94709716098292,3.93245981328496,4.76569822442294,3.24901050799471,3.21289578193376,10.3451685718482,1.63006740497668
"Fgd2",2.5683455896032,7.37275958323373,2.06062953650528,5.11452825827723,3.95556032640015,2.95736730783829,2.06062953650528,2.22674912322504,7.42059274331841,6.27379873529867
"Fmnl3",2.42016701663294,5.41425933713926,3.76378706728175,2.55441486253674,3.80320808306307,1.2366348643931,3.76378706728175,0.678034611305997,5.12425268205498,2.2362333444954
"Fos",9.69571666412092,12.1913319598266,11.6040891286562,9.11772244952378,11.3900083480914,7.22007791694467,11.6040891286562,6.22834377013485,12.2006460488531,9.5020532654612
"Fosb",5.82871968782578,7.66131130922133,9.65219899312751,3.28493413004731,7.91529225335866,1.69416280133145,9.65219899312751,0.742306512971216,6.55954449972785,3.0614769008581
"Fscn1",5.13714821103452,7.78971276567813,7.78850479312476,3.97770819436214,5.98197887351659,5.134857874522,7.78850479312476,4.34084851095353,7.15004752033514,0.369600488479472
"Gadd45b",6.03977569702758,8.20042097043119,8.41397758891441,4.90763134874069,8.02195394523712,2.47935012867951,8.41397758891441,2.069318948964,7.04287110087687,6.17836647633653
"Gadd45g",5.76904426477582,7.92884195245294,8.3163021240482,4.48510512627123,7.68806074486347,2.38157192125226,8.3163021240482,1.50183271732929,7.5573525729055,4.99278457036728
"Galnt12",0.715183977872872,3.79546876436892,0.93132000325723,1.87368954975358,1.51458204660904,1.21208847703245,0.93132000325723,0.776916381423676,3.93350343525023,1.13000346625281
"Gas6",2.28520591441794,3.93273500088169,4.5053740667417,1.06335275646254,3.63810611052249,0.00631832578619625,4.5053740667417,0,3.10950094120276,0.293227879477369
"Gatm",4.48245911855554,6.86653977651762,6.65424030161955,3.62518587123295,5.72664109385202,3.14702926220706,6.65424030161955,2.25616340303208,6.61664419650389,2.27655450780305
"Gcnt1",1.29796999178352,5.03245234608579,0.935680676738261,3.24880917245537,2.50290392271488,1.25207374173677,0.935680676738261,0.369618456491515,5.70728135727828,4.24536584678907
"Gdf15",2.75680260810813,6.11860543722075,3.72148148774617,3.38349732616162,3.60843322230173,3.35639589454927,3.72148148774617,3.45165913285586,4.21229488259137,2.47290560169877
"Gem",3.30944824815538,6.6120182994264,5.65030745733667,2.70607083755283,5.18836929597168,1.03216416152268,5.65030745733667,0.550925910328315,6.09622647090209,1.90208911687297
"Ggt5",1.25063894425317,3.77726604100354,1.63995684298057,2.01538513769498,2.21859689495069,0.799553289491551,1.63995684298057,0.189974743505344,3.55976003661906,2.66150271179845
"Glrp1",0.396856297141127,2.79444699864867,0.773739589120084,1.11602934856909,1.09572592090996,0.572856695595945,0.773739589120084,0.443975778430745,2.55491654433347,0.483606436970729
"Glul",7.98003940547558,9.91803018407061,9.07995788001787,7.8654817058864,8.31770640193499,8.74719709648283,9.07995788001787,8.89981130179414,9.20990661656499,5.27986128011852
"Gm10134",1.16785419537742,5.00107704756866,1.66579898099035,2.40918750579976,2.44904584862845,0.9986471446044,1.66579898099035,0.883311669546755,4.4516364077036,2.19778960739954
"Gm10605",0.888098366681977,4.28107416147656,1.65120250691046,1.70480915420469,1.87164299522467,1.15220445863482,1.65120250691046,0.184408755183365,4.75008866645236,0.484010120782606
"Gm10790",0.260480034246915,4.22467077345399,0.667628095474354,1.638558929076,1.394796554292,0.609776500929126,0.667628095474354,0.0489837003973715,4.59271979572788,0.591888336838486
"Gm11545",0.423405100721035,2.95924018374368,0.896069503183029,1.1192515973892,1.38422720921771,0,0.896069503183029,0,2.63774503699227,0.943860074653166
"Gm12148",0.0119907533142573,2.60841587337439,0.193413291327008,0.98918202257941,0.796956427082044,0.125207130505464,0.193413291327008,0,3.16538247225411,0
"Gm13889",4.35544313117246,7.88663087567293,8.68682186743406,2.11038137516252,6.49994180715823,1.54786104864952,8.68682186743406,0,6.28456005467054,0.468660345849529
"Gm25008",0.17378188024112,2.92455702453992,0.161378942077084,1.38809857676538,0.605459535259961,1.39359658020076,0.161378942077084,0,3.64251879654005,0.799396649109152
"Gm25099",1.39699211081796,5.04505487905677,0.435754089380516,3.8341028406802,2.21023413291881,2.35263147224956,0.435754089380516,0.764991638405913,6.71099370483707,4.64014541925246
"Gm25360",1.08882827347511,3.88313304411843,1.81283282774973,1.67783262564127,2.18689419785307,0.514163655748623,1.81283282774973,0,4.59485326727457,0.774211134777506
"Gm27168",0.366586141066333,3.57640287458926,0.329241107492385,1.80355786635982,0.9121176874552,1.67496403032951,0.329241107492385,0.389653486774485,4.40573560528562,0.898065382936408
"Gm28872",0.40123164274739,3.55394506567984,0.623918265939455,1.58569296998728,1.11485323376915,1.19739651250345,0.623918265939455,0,4.48256530939534,0.591652194563954
"Gm29291",0.336446204695763,3.84055787659864,0.825159519406318,1.44187091078154,1.38614529294683,0.515871424920343,0.825159519406318,0.422211641290363,3.81992139460521,0.287411550347274
"Gm38843",1.25049658813222,5.36889884922709,0.674342087574501,3.55643276534923,2.22615344696054,2.17104220481234,0.674342087574501,0.961925729778602,6.16023663328338,4.06603734009982
"Gm4065",0.285503473002054,2.86391738816747,1.00538229463841,0.783665591955114,1.20972734528271,0,1.00538229463841,0,2.01265812737799,0.495071766878372
"Gm42944",0.710896934915241,3.7399455935647,1.1992343938893,1.60881044647207,1.65432271798087,0.766893607803039,1.1992343938893,0,4.26331367307017,0.884879755640465
"Gm43814",1.79063660587104,4.39165235712939,2.09000256820136,2.66663578000754,2.16747789558153,3.03021184151826,2.09000256820136,3.11422877649995,3.62398783469506,1.17217212952913
"Gm43936",0.786123124972067,4.91818442791039,0.991178117256177,2.41447682675899,2.21857220760863,0.462441787792559,0.991178117256177,0.616589050390078,5.12122951370487,1.8651894714558
"Gm5086",0.825515430942744,3.89640258777508,0.321102313483575,2.61039003983366,1.73287775525748,1.01729530130551,0.321102313483575,0.115064772842542,4.85362236719782,3.36154803285886
"Gm6277",0.639030527610569,3.6155202143981,1.10143440626022,1.53664137176167,1.44244328549402,1.03407391937016,1.10143440626022,0.366274358223887,3.84603313859973,0.631690021168961
"Gna15",1.63677143894481,5.98668216060308,1.32329938669961,3.81414542538485,2.76172156328141,2.34933047847013,1.32329938669961,2.10346146784443,5.76136716603708,3.91974443378112
"Golm1",2.29275072965415,5.74661243638294,3.47053659870116,2.77325259093186,3.97722332320222,0.682580090784647,3.47053659870116,0.407625086315966,5.67629198950326,2.70896619789954
"Gp9",2.83707623058055,7.26248525061855,2.4093592075854,5.14744507196793,4.65979259915121,1.69683910954449,2.4093592075854,0.214398022499453,7.02225216730483,9.1922944359932
"Gpr157",0.65417800419572,3.89383259365408,1.43926609854592,1.38457480452733,1.68690381407878,0.648879792793366,1.43926609854592,0.383771997830654,2.98358530199776,0.986527675092903
"Gpr165",1.52039261788926,5.32749898346289,3.12398515097397,1.7828581863786,3.20917677567911,0.207454253844082,3.12398515097397,0,5.12200848937596,0.583137707035553
"Gpr84",0.876813704497319,5.87362460989641,1.85166241348048,2.20992585524916,2.78554943057787,0,1.85166241348048,0,4.91532264384285,2.15644009295445
"Grap",1.88169197757116,4.9437653456996,2.69977585590313,2.50552568258688,3.18174176977309,0.985869246128242,2.69977585590313,0.783679097828868,4.30627386909646,2.77099339778692
"H2-K2",1.78610821402835,5.3758159007227,1.35962626554417,3.72977703188078,3.50938526614273,0.188090546571354,1.35962626554417,0,5.32904387247385,6.60624262954466
"H2-Ob",2.36467574189106,5.62057751007813,1.10329290888463,4.89284274435353,2.6984394994634,4.29573945573081,1.10329290888463,3.95105476918087,5.89047361176887,5.02535744714537
"Havcr2",1.35001957359303,5.92974311669216,0.99861266780139,3.66112966626658,2.86417592477451,1.19334770805571,0.99861266780139,0.144923136189428,6.58317643244982,4.95853073617593
"Hbegf",2.86456485310646,4.82873115861394,5.2051845323167,1.67584539245703,4.21436837200681,0.871250693449564,5.2051845323167,0.726596463206982,4.04763685198635,0.443152648027777
"Hexb",3.31335564884833,8.49935155669322,4.9508109437235,4.1494554755147,5.98306260060382,0.509407950885003,4.9508109437235,0.0884332670122952,7.88398954992017,5.2881480513121
"Hpgd",1.48953250456449,5.7076663177481,0.885215483854924,3.86374344095319,2.72853290902531,1.77314847883291,0.885215483854924,0.340368893530608,7.25793589612888,4.6976004426846
"Hpgds",0.954813161949087,6.25355181051608,1.46475117389609,2.82681556024352,2.50154341410049,1.33770128602884,1.46475117389609,0.279426065274459,6.99025774727707,1.72024076717285
"Hps4",2.1077972271502,5.18325471315754,2.95740220930777,2.70990551789053,3.23987863169729,1.68559866490212,2.95740220930777,1.25990807696543,5.12677828327646,2.03302968161472
"Hspa1a",4.49088196743696,8.5819774061317,5.27118497691635,5.59797108857143,5.61810423542971,4.97072923931478,5.27118497691635,4.13527724736717,8.49609395046743,4.45508083612055
