"","PSID","Gene","Module"
"FGF7","FGF7","FGF7","HuAgeMSNDsplit_01"
"COL1A2","COL1A2","COL1A2","HuAgeMSNDsplit_08"
"CCL15","CCL15","CCL15","HuAgeMSNDsplit_08"
"LOX","LOX","LOX","HuAgeMSNDsplit_02"
"KRT5","KRT5","KRT5","HuAgeMSNDsplit_15"
"FOSB","FOSB","FOSB","HuAgeMSNDsplit_01"
"PEX6","PEX6","PEX6","HuAgeMSNDsplit_02"
"MICA","MICA","MICA","HuAgeMSNDsplit_10"
"NTRK2","NTRK2","NTRK2","HuAgeMSNDsplit_01"
"QDPR","QDPR","QDPR","HuAgeMSNDsplit_21"
"COL6A3","COL6A3","COL6A3","HuAgeMSNDsplit_08"
"DDX43","DDX43","DDX43","HuAgeMSNDsplit_02"
"CEBPD","CEBPD","CEBPD","HuAgeMSNDsplit_02"
"MYBPC1","MYBPC1","MYBPC1","HuAgeMSNDsplit_10"
"RGR","RGR","RGR","HuAgeMSNDsplit_02"
"PLA1A","PLA1A","PLA1A","HuAgeMSNDsplit_14"
"PLXNB3","PLXNB3","PLXNB3","HuAgeMSNDsplit_05"
"TSPAN8","TSPAN8","TSPAN8","HuAgeMSNDsplit_06"
"MICB","MICB","MICB","HuAgeMSNDsplit_16"
"TF","TF","TF","HuAgeMSNDsplit_06"
"HOXD1","HOXD1","HOXD1","HuAgeMSNDsplit_06"
"CCKAR","CCKAR","CCKAR","HuAgeMSNDsplit_01"
"CD14","CD14","CD14","HuAgeMSNDsplit_04"
"GBP2","GBP2","GBP2","HuAgeMSNDsplit_22"
"LCN2","LCN2","LCN2","HuAgeMSNDsplit_01"
"BARX1","BARX1","BARX1","HuAgeMSNDsplit_02"
"KLF2","KLF2","KLF2","HuAgeMSNDsplit_02"
"TPM2","TPM2","TPM2","HuAgeMSNDsplit_02"
"FBXO40","FBXO40","FBXO40","HuAgeMSNDsplit_01"
"SLAMF8","SLAMF8","SLAMF8","HuAgeMSNDsplit_04"
"GADD45B","GADD45B","GADD45B","HuAgeMSNDsplit_04"
"MEOX2","MEOX2","MEOX2","HuAgeMSNDsplit_08"
"FAM107A","FAM107A","FAM107A","HuAgeMSNDsplit_10"
"AZGP1","AZGP1","AZGP1","HuAgeMSNDsplit_02"
"MYOT","MYOT","MYOT","HuAgeMSNDsplit_02"
"CNGA1","CNGA1","CNGA1","HuAgeMSNDsplit_01"
"STMN2","STMN2","STMN2","HuAgeMSNDsplit_03"
"RBM3","RBM3","RBM3","HuAgeMSNDsplit_01"
"ALDH1A1","ALDH1A1","ALDH1A1","HuAgeMSNDsplit_18"
"CALB1","CALB1","CALB1","HuAgeMSNDsplit_12"
"TNC","TNC","TNC","HuAgeMSNDsplit_03"
"PCDHGA9","PCDHGA9","PCDHGA9","HuAgeMSNDsplit_09"
"CFH","CFH","CFH","HuAgeMSNDsplit_08"
"CD36","CD36","CD36","HuAgeMSNDsplit_01"
"PCDH8","PCDH8","PCDH8","HuAgeMSNDsplit_03"
"CST7","CST7","CST7","HuAgeMSNDsplit_04"
"TLN1","TLN1","TLN1","HuAgeMSNDsplit_02"
"KCNC3","KCNC3","KCNC3","HuAgeMSNDsplit_01"
"FPR1","FPR1","FPR1","HuAgeMSNDsplit_04"
"IGFBP5","IGFBP5","IGFBP5","HuAgeMSNDsplit_08"
"SCG2","SCG2","SCG2","HuAgeMSNDsplit_03"
"IFNA21","IFNA21","IFNA21","HuAgeMSNDsplit_02"
"CLEC5A","CLEC5A","CLEC5A","HuAgeMSNDsplit_04"
"HAND2","HAND2","HAND2","HuAgeMSNDsplit_02"
"GLI1","GLI1","GLI1","HuAgeMSNDsplit_02"
"PCDHGB6","PCDHGB6","PCDHGB6","HuAgeMSNDsplit_09"
"UCHL1","UCHL1","UCHL1","HuAgeMSNDsplit_01"
"CD68","CD68","CD68","HuAgeMSNDsplit_04"
"PRELP","PRELP","PRELP","HuAgeMSNDsplit_08"
"FOLH1","FOLH1","FOLH1","HuAgeMSNDsplit_06"
"TIMP1","TIMP1","TIMP1","HuAgeMSNDsplit_04"
"ALX3","ALX3","ALX3","HuAgeMSNDsplit_08"
"DMBT1","DMBT1","DMBT1","HuAgeMSNDsplit_06"
"PTK2B","PTK2B","PTK2B","HuAgeMSNDsplit_09"
"NAT1","NAT1","NAT1","HuAgeMSNDsplit_02"
"CHORDC1","CHORDC1","CHORDC1","HuAgeMSNDsplit_16"
"PDK4","PDK4","PDK4","HuAgeMSNDsplit_02"
"ST14","ST14","ST14","HuAgeMSNDsplit_04"
"PDLIM4","PDLIM4","PDLIM4","HuAgeMSNDsplit_02"
"CCR5","CCR5","CCR5","HuAgeMSNDsplit_04"
"FCGR2B","FCGR2B","FCGR2B","HuAgeMSNDsplit_08"
"FOS","FOS","FOS","HuAgeMSNDsplit_04"
