"","other","preoligo"
"1700030E10Rik",0.340553799310243,0.054772624770813
"1700030J22Rik",1.13299433211025,1.17170448679505
"1700030K09Rik",1.85656581804373,2.99742366925964
"1700030N03Rik",0.175425319660641,0.039714773913029
"1700031L13Rik",0.0760009517137604,0
"1700031P21Rik",0.200334052781206,0
"1700034H15Rik",0.480340258848588,0.795926341310399
"1700036O09Rik",0.15581803666411,0
"1700037F03Rik",0.374136401967812,0.233255510500607
"1700037H04Rik",3.15145673204378,3.85915027497153
"1700039I01Rik",0.159776144523386,0
"1700039M10Rik",0.549843564631713,0.399838893853871
"1700040D17Rik",1.00204930368196,3.56940345930499
"1700040K01Rik",0.384762282605174,3.88566200235309
"1700040L08Rik",0.302355049382567,0.136797440647642
"1700041G16Rik",1.07749426149131,0.532268328920438
"1700041I07Rik",0.226689851591836,0
"1700042D02Rik",0.265677255138174,0
"1700047G07Rik",0.710247216561679,0
"1700047M11Rik",1.92181236189406,3.65171854357875
"1700052K11Rik",0.797705792332975,1.32641575782846
"1700054O05Rik",0.229047204324964,0
"1700054O19Rik",0.653127598986261,0.994369249566093
"1700055C04Rik",0.156815974090116,0
"1700055D18Rik",0.8938190575955,1.00766021190387
"1700056N10Rik",2.52774301751242,2.42048377184999
"1700061G19Rik",0.865411013611254,1.21679187582387
"1700061J23Rik",0.244539883363118,0
"1700063I16Rik",0.138348188471411,0
"1700064H15Rik",0.392864576699778,0.213897602522195
"1700064M15Rik",0.887743761607138,0.836234149410755
"1700065D16Rik",0.409529564297756,0.494096783967066
"1700066B17Rik",0.347271626071763,0.0322271705581409
"1700066B19Rik",0.398047651375783,0
"1700066J03Rik",0.304679416646972,0.312411884575013
"1700066M21Rik",3.26835539502264,6.17993302503022
"1700067K01Rik",1.0692917548695,1.37379691258096
"1700069B07Rik",0.615559453389227,2.26289204238076
"1700072G22Rik",0.283841674260015,0.123302911415582
"1700072O05Rik",0.198504764990738,0
"1700081N11Rik",0.540905988545221,1.12572536820921
"1700084C06Rik",0.294951937025569,0.10454154069332
"1700084E18Rik",0.924125946431147,1.45374505812693
"1700086L19Rik",1.28104268225045,6.5019349604541
"1700086O06Rik",0.960672340271127,0.905156032060097
"1700086P04Rik",0.495140159998843,0.522579624998915
"1700093J21Rik",1.16939766822863,2.10278572303649
"1700093K21Rik",0.446483209873941,0
