"GeneName","StudyGSE20164","StudyGSE20292","StudyGSE26927","StudyGSE33000","StudyGSE20333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissuecortex_brain","Tissuesubstantia_nigra_brain","p.value.StudyGSE20164","p.value.StudyGSE20292","p.value.StudyGSE26927","p.value.StudyGSE33000","p.value.StudyGSE20333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissuecortex_brain","p.value.Tissuesubstantia_nigra_brain"
"ARF3","-0.00404897908133987","0.00695578116895739","0.00262695381336885","-0.0270584924728156","0.00459066541003183","0.00209664289693159","0.130100652822765","-0.212958489523662","-0.168259024348049","-0.111936641989993","0.318477902676017","-0.00735421189863822","-0.0312436027119014","0.0331859472101488","0.909879140674294","0.84582082498059","0.941457999233348","0.449309042085407","0.897884487912769","0.953260836547399","0.00025965863175061","1.71701592820038e-09","2.16315694801566e-06","0.00169470245961592","6.11625890155843e-20","0.837109502748093","0.382315242735894","0.353418190408027"
"ULK1","0.0196698924602369","0.0130617610186304","0.0352054875808039","-0.0309040146588746","-0.0083091043921576","0.00312518469542633","-0.117171162624334","0.127009302332487","0.17008601730401","0.109873293750546","0.134740651132161","0.0215740129537098","-0.023824161693197","0.0274216844594404","0.58236640698796","0.71499097226454","0.324876603402922","0.387511999052964","0.816314550985301","0.930380780723952","0.00101301814264561","0.000363810093069841","1.66988071109318e-06","0.0020639278759003","0.000154335952701125","0.546389794293602","0.505342894400462","0.443244284004116"
"RAB35","-0.00304272392503055","0.00509880791570632","0.0164076951294022","-0.00724356542683125","-0.0188217281811305","-0.0120429811680895","0.0572208017912215","-0.0418383584154074","-0.118789676617405","0.0778913960391194","-0.271522827281476","0.00877021405348375","-0.012907193251474","0.0109392079039003","0.932213268119737","0.886653679465489","0.646440049070717","0.839526735797891","0.598739437629252","0.736359910445222","0.109390668981526","0.241953785965209","0.000860352788703897","0.0291987140877229","1.02346395397867e-14","0.806317918071579","0.718219204713028","0.759743028100805"
"FXYD2","-0.0167948777279246","-0.00645219520197405","0.0174197183197984","0.011326810802574","0.00312165247882164","0.00820007774514215","0.122230528354155","-0.0931090253128597","-0.193274774052749","-0.0871764631166303","-0.261315202195706","0.0137494608786402","0.00977551597730687","0.0170165456282894","0.638684149735155","0.856858111071933","0.626250657212045","0.751505528296799","0.930459268050998","0.818682627830506","0.000603887165331405","0.0090923654721426","4.90915173172557e-08","0.0146184431554791","1.04797089689254e-13","0.700690294119796","0.784634721683664","0.634261402781856"
"F8","0.00816983353098755","-0.00383984299824797","-0.00764400494873724","0.0287924733858022","-0.00335118574932323","-0.00383725209438423","0.156771630188611","-0.203868608082219","-0.206977221222459","-0.076859721919396","-0.0837025257033122","0.00301060803977109","0.0242631818718185","-0.00493553487920082","0.819339830767597","0.914515720472107","0.830785877985465","0.4207793772495","0.925360380977596","0.914573179759093","1.03419604630363e-05","8.42089143559181e-09","4.92840524603354e-09","0.0314113593777712","0.0190758299104877","0.932927062098021","0.497527624477705","0.890259923724147"
"POLR3D","-0.00337814231046699","-0.000188844737618753","0.0315665105770388","-0.0296035289741347","0.0258454462584792","-0.0133314840804895","0.00761403311685395","-0.0607963645723888","0.0428289310253229","-0.152171932659207","0.434844828653793","0.0122487337272299","-0.0181022653651626","0.0130754841948977","0.924761760487933","0.995787814673654","0.377413507720963","0.407807748548427","0.469901978927723","0.709369857549416","0.831439399128633","0.088913714618402","0.230976851183235","1.87769431318844e-05","1.67040886735572e-37","0.732027186901323","0.612789139687233","0.714704601009709"
"ZMYM3","0.0151177858007424","0.00409163598173964","-0.00803158829825068","-0.00773299552323877","0.00890589089546174","0.0105962410559211","-0.103242291541","0.149173670778744","0.0895577893220246","-0.0190859712148836","0.26335672721286","0.00379303460293113","-0.0161705765792277","0.00690606559589666","0.672553006058218","0.908933801311057","0.822345488374372","0.82884617183201","0.803382435576809","0.767054690174408","0.00380479375896402","2.74459773207896e-05","0.0121190192628165","0.593616148624619","6.63367877498408e-14","0.915553873373579","0.651208993909841","0.846909154577624"
"H2AFX","0.0132969431369445","-0.0196083785894138","0.00635206045035911","0.00194373666858985","0.00280030590011941","0.00406330523691055","-0.187802406664846","0.203806348620292","0.333531617902699","0.107809945511099","0.0653288005489266","0.00507688668596303","-0.00424386172667514","0.0101841447320823","0.710088828476584","0.583546830560278","0.859056208484479","0.956666001820399","0.937602452208981","0.909561637822629","1.1754010857183e-07","8.51099704074403e-09","7.97707681940259e-22","0.00250550318396878","0.0675133726680395","0.887137723617839","0.905561314237873","0.775867514339402"
"REM1","0.0377824852738046","-0.0098514004791116","-0.00714875955769229","-0.0105017714972013","0.00454475875593151","0.00541962409206845","0.0620802913440618","-0.109421004337914","-0.145702688237911","0.275972827026019","-0.189861826595318","-0.0208563350686535","-0.00158047264303764","0.00272559388851388","0.290694679907784","0.783004504920063","0.841599111240451","0.769072345727956","0.898900143204611","0.879574636137","0.0823606143175377","0.00215412596825896","4.22099088044603e-05","3.5975217351725e-15","8.4876111418168e-08","0.559819900041988","0.964758809475331","0.939263958363762"
"PPOX","-0.018519886567312","0.0255569878244045","0.0175704451779425","-0.00271284110580167","-0.0174904352122212","0.0206103952698369","0.186053490116266","-0.195806007762584","-0.223771502625333","-0.00361085941903203","-0.465467703911102","0.000480440422236767","-0.00778529116755577","0.0159299913078683","0.604616070627557","0.47487441617432","0.623267025815812","0.939547591631339","0.624850055124642","0.564458721000128","1.5454081803102e-07","3.24990397300589e-08","2.35619760081455e-10","0.919595648545133","2.08860818669332e-43","0.989284039468409","0.827706781115973","0.656062263663112"
"TNNC1","0.0307866160918446","0.00239203334317087","-0.00163646303127896","0.00149625772330298","-0.0184085682942276","0.0185759169871001","0.079806809790027","-0.0434571044255273","-0.0705851701639653","-0.0345610830107351","-0.485882954082642","0.00380276122682016","0.0129803632812443","-0.0105708844054525","0.389318514716886","0.946685065814789","0.963511196651768","0.966635500162059","0.606789855223509","0.603523248975518","0.0254442540706998","0.22420149546431","0.0481892141523504","0.333816545482589","1.09172674343219e-47","0.915338136871266","0.71669037861701","0.767596096628524"
"STT3A","-0.000982296700206714","-0.00484701493221465","0.0031437316127201","0.00374763616677756","-0.00114766635250796","0.00313648735255265","-0.153623580401167","0.125452815784294","0.0352398833620991","0.320334814174127","0.375640603156328","-0.00575039000644265","0.00545848422086147","-0.00631674799838015","0.97809250062467","0.892216034136406","0.929968671589618","0.916560892474007","0.974405544902166","0.930129635510518","1.55840342679544e-05","0.000429933180905423","0.324403837095609","3.62831596180897e-20","1.11561660180767e-27","0.872286095742087","0.878717799418773","0.859831627071971"
"CHRNA10","0.0156448718349996","-0.01262112329752","0.0020886436057113","-0.00418113139502422","0.0123029832988853","0.0108562021698264","0.0462026275351671","-0.057558872552149","-0.0821795485383349","-0.213040705722889","0.302145702538786","0.00227585563313754","-0.013463285477728","0.01648247655554","0.661832715162356","0.724207157991737","0.953438957243474","0.906950871732852","0.730886215603637","0.761510678828091","0.196253408773676","0.107307894841388","0.021377538606038","1.69194017659987e-09","5.17069180187596e-18","0.949270923275244","0.706628784598517","0.644939030016096"
"PSMD1","-0.00126979817343795","-0.016398018049895","0.00234703250538693","0.0120679478057053","-0.00449885210183119","0.0197061826997317","0.102492755877323","-0.0993661012365925","-0.103892657130336","-0.320334814174127","0.140865226183623","0.00182646319214961","0.0132876774062794","5.52485247671733e-05","0.971682932888384","0.64663439338677","0.947686619373645","0.735833715228485","0.899915963796","0.581670535869801","0.00406868620541673","0.00535762752362944","0.00358850140676766","3.62831596180897e-20","7.56802605397788e-05","0.959278177076137","0.710281738832481","0.998767675420473"
"PPP2R4","0.0102302607558114","0.000535060089919799","0.00148573617313484","0.00469852892551216","-0.0118898234119824","-0.0137722877084159","-0.0684763290074404","0.0854822412267177","0.190393746699118","0.020117645334607","-0.183737251543856","0.0348543666082425","0.0066731067150478","0.00136279694425694","0.774879851192778","0.988065863740674","0.96686998123515","0.895498736636746","0.739590545985264","0.70021738896131","0.0552979275446313","0.0166627003740744","7.79847619037202e-08","0.573807947143407","2.21171991689706e-07","0.329728309716885","0.852012735751852","0.96960998579555"
"MAGEA10","-0.0233115777878325","-0.0189474220077482","0.0467899232495944","-0.00388747333717971","-0.0134506496513932","-0.0194575242429527","0.0532607550347938","-0.019642860238186","-0.106633146564278","-0.200660616286208","0.0183737251543856","0.0142940521839146","0.013741331590855","-0.0271270256606821","0.514548725322093","0.596299920134962","0.190620972455664","0.913459487269406","0.706891407973919","0.586446358069712","0.136229670933671","0.582885006137234","0.00279442164262194","1.45089530641104e-08","0.607470975483207","0.689439899673291","0.700858737162908","0.448161058353457"
"B3GAT3","-0.00596565556954809","-0.00692430704602093","0.0150726858144115","-0.00599901461025214","0.00215761274271496","-0.0100424108567316","-0.0781578313299372","0.142667557007301","0.236349646437528","-0.0995565525533115","-0.287855027418708","0.0355555802208516","-0.00343899139920227","0.0120625945741662","0.867548411853414","0.846509794831725","0.673473417041209","0.8668146478828","0.951903294550334","0.778905276203718","0.0286495253220274","6.10173575044629e-05","2.05003223107974e-11","0.00526966469542692","2.00600702166558e-16","0.320085513658312","0.923410650327092","0.735946529177837"
"HSF2","0.0244136667685522","-0.00723904827538552","0.00736408364075531","-0.01367607526533","0.00509563860513533","-0.0416785481532897","0.0219426565541492","0.129530810540558","-0.0393857519929343","-0.383266935477256","-0.20619402673255","-0.012983535950119","-0.0108730664238608","0.00241251891483323","0.494863607959321","0.839625451806424","0.83689391438954","0.702211413213133","0.886723658620649","0.243758469550908","0.539553751266632","0.000276468581160892","0.270692645402394","7.77676724876772e-29","5.64501283858466e-09","0.71662411394935","0.761151444777935","0.946229159901092"
"CAD","0.0124344387172508","0.0162721215581492","0.0232980657874188","-0.0335049860283546","0.00220351939681528","-0.0331337393657949","-0.0485761571368114","0.0921751333839443","0.136356916578571","0.0056742076584789","-0.0694118505832345","-0.0158249430780383","-0.0475312513387615","0.0489501929437156","0.728123926829432","0.649164955276515","0.514792567755114","0.348807012858925","0.950881238176684","0.354176414364436","0.174221252396832","0.00981485154225999","0.000128245710100062","0.873963864174538","0.05204342009804","0.658185945489599","0.183682065579818","0.170924454254615"
"CAST","0.0017010503832848","-0.0136282952314867","0.031717237435183","-0.0269046715853732","0.00215761274271496","0.0035320803519737","-0.0491008321013855","0.124176496814777","0.018305064039535","-0.331683229491085","0.353183827967634","0.017995698866106","-0.0227266112466431","0.0053775230773382","0.962072131850577","0.70320242684844","0.375138773092471","0.451891712532671","0.951903294550334","0.92134410526489","0.169609955582758","0.000492338129194004","0.608814171512393","1.3771116235399e-21","1.90204899284202e-24","0.614882479153307","0.52515983666084","0.88050309080169"
"ABCB7","0.00299480701282535","0.0323868725016161","0.0437323212700995","-0.0580324257168913","0.00560061180023883","0.00712632531814214","-0.292425093053118","0.402600810555404","0.500631204413311","-0.416280507308406","0.641038855386342","0.0457737535570928","-0.0573945713517927","0.0453958711836941","0.933278268783164","0.365135376242677","0.221278170289923","0.104443305808931","0.875585207592185","0.842089665447256","6.36751221542085e-17","6.57964649371702e-32","5.75347572540555e-51","3.29925901268449e-34","6.0610578134402e-92","0.200442728149305","0.108316166085648","0.204187622567903"
"SUPT16H","-0.00764274749673029","0.0124637526828377","0.0122950051428985","-0.0191157411939736","0.024238713364968","-0.00451541152196318","0.135047588203035","-0.251528226187866","-0.19404773261104","0.110904967870269","0.100034725840544","-0.0154722190808744","-0.0182047034068409","0.0107734623295988","0.830813293767871","0.727508427740202","0.731053974148893","0.593040209391077","0.497961506821066","0.899549518659246","0.000149026253268088","8.8848342925786e-13","4.33068049696238e-08","0.00187098088155114","0.0050545235851384","0.665336783078401","0.61077986531907","0.763273904276493"
"PJA1","-0.00816983353098755","0.0149187342718815","0.0284658437809313","-0.0243176839329335","0.00651874488224519","0.012630719338658","0.254748433692279","-0.275062302796532","-0.285397380409104","-0.290416264702147","-0.226609276904089","-0.00679137538978201","-0.0116486687394255","0.00836094341476556","0.819339830767597","0.676618966637418","0.426070869738006","0.496561901443486","0.85539786438303","0.724006020124179","4.44148957286646e-13","4.46263110014254e-15","3.68636298591663e-16","1.05717912804456e-16","1.37518913714923e-10","0.84942096028288","0.744686634207024","0.815189184332099"
"PEF1","0.00179688420769521","-0.00812032371760637","0.00792392625671916","-0.00742535374835404","0.00569242510843946","0.0103475825991422","0.175447560475234","-0.17448214205235","-0.301980854932445","-0.142886865581696","0.0142906751200777","-0.00353136226678222","-0.00406825365522651","0.00239410273991084","0.959937095919456","0.820415945960466","0.824688027822126","0.835556114352461","0.873562608425868","0.772368820606579","7.68962802710307e-07","8.85750510057337e-07","5.39993387765739e-18","5.94287023041374e-05","0.689509456834931","0.921360044516739","0.909451972046182","0.946639010645473"
"TSTA3","-0.00548648644749604","-0.00834064257816158","-0.0108092689697636","0.00222341100939415","0.0166182087843152","0.00100028515567895","0.119869491013572","-0.2254103819092","-0.244992728498422","0.398742047273108","-0.179654201509548","-0.00401098072080301","0.00608774647688571","-0.0113259475772705","0.878100459127662","0.815629847380489","0.762510696656462","0.950438400318443","0.64221829088884","0.977691419678824","0.000770658109717427","1.72798568883885e-10","3.52275370601784e-12","2.80428965106815e-31","4.11532141496554e-07","0.910721347275764","0.86486346485433","0.751523842954117"
"NBN","0.00764274749673029","-0.0306872698630473","-0.0234057278289504","0.0388887170888373","-0.00321346578702228","-0.00500142577839476","0.0267896538459283","0.0262423632025211","0.0446559239812841","-0.331683229491085","-0.112283875943468","-0.00561213744332861","0.0420874011238541","-0.0261509683897954","0.830813293767871","0.390851231047072","0.512851324590474","0.276790230841244","0.928419359512526","0.888804301201999","0.453828335115826","0.463107130211265","0.211667290635991","1.3771116235399e-21","0.00163889049568249","0.875331258898199","0.239160171201746","0.464666862655783"
"KCNJ1","0.00721149528688344","0.0135968211085502","0.00900054667203427","-0.0131307103007617","-0.00615149164944264","-0.00231139338233159","0.0359839579870349","0.0131678761977063","0.00221347223510692","-0.122253383187227","-0.212318601784011","0.01780972233021","-0.00917552173319073","0.0204787865136989","0.840227638186822","0.703855512074982","0.801336113696685","0.713552564293715","0.863462237263667","0.948479874135647","0.314286132729657","0.712777636759012","0.950659660796266","0.000602450692999392","1.92492700594405e-09","0.618543210439694","0.797556993547807","0.566948635038122"
"EIF1","0.0211553167385983","0.0318518124116963","0.0110030606445204","0.00285267827620381","-0.0093190507823646","0.0270303045175843","-0.0536605073887549","0.0824315275922609","0.0218185120317683","0.102651574912482","0.00408305003430791","0.0073151435002517","0.00709749288771532","0.0255984831421236","0.55420559402682","0.373114959991326","0.758384101739896","0.936437914152283","0.794460573427237","0.44978169480673","0.133309384894959","0.0209808135518686","0.54185107769171","0.00401142399109812","0.909124068174213","0.837962834677591","0.842720214342258","0.474157350538132"
"CTDP1","-0.00524690188647001","0.0201749128022701","-0.0142329218904657","0.015368105027196","0.00564651845433914","-0.025120155463237","-0.0108495287317271","0.0644385430951586","0.00769445110299074","0.00670588177820233","-0.222526226869781","0.0243495256296485","0.0202680982463623","0.00125229989472259","0.88338472097066","0.572717627122238","0.690699401240586","0.667453363874222","0.874573805770492","0.482459094328829","0.761652847299622","0.0713450695729052","0.829686188169781","0.85129433208799","2.97744287293097e-10","0.495998159796653","0.570945562805308","0.972072992132563"
"B4GALT7","0.0034739761348774","0.0192621632371128","0.0143405839319972","-0.017451678866188","-0.000459066541003182","-0.0323086453955738","0.012023801271488","0.0567806292780528","0.162637507560475","-0.35747508248417","-0.153114376286547","0.0344237424415194","-0.0101413661261582","0.0198526365663376","0.922633939076098","0.590211210033333","0.688481755249508","0.625617487120828","0.989760745455994","0.366295325588362","0.736764228538087","0.112150122524808","4.71485237103513e-06","4.80164149135182e-25","1.66401610387253e-05","0.335742179297","0.776784023885035","0.578866209339086"
"CKAP4","0.00059896140256507","-0.035471336549389","0.0181518202022127","0.0325820607037004","-0.00114766635250796","0.0120429811680895","0.0897506495948108","-0.128752567266462","-0.270359823002346","0.101619900792758","0.095951675806236","-0.00799087609816555","0.0335118736347795","-0.0222835716560932","0.986640716078642","0.321234171104949","0.611816780659297","0.362251129006442","0.974405544902166","0.736359910445222","0.0119342053352706","0.000301074739488556","1.3408207769187e-14","0.00439681981482067","0.0071759691043674","0.823231130666853","0.348707886426731","0.533270173580891"
