"","InputCategories","UserDefinedCategories","Type","CorrectedPvalues","StudyGSE20164","StudyGSE20292","StudyGSE26927","StudyGSE33000","StudyGSE20333","GenderM","DiseaseCON","DiseaseAD","DiseaseHD","DiseasePD","DiseaseMS","Age","Tissuecortex_brain","Tissuesubstantia_nigra_brain","p.value.StudyGSE20164","p.value.StudyGSE20292","p.value.StudyGSE26927","p.value.StudyGSE33000","p.value.StudyGSE20333","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseAD","p.value.DiseaseHD","p.value.DiseasePD","p.value.DiseaseMS","p.value.Age","p.value.Tissuecortex_brain","p.value.Tissuesubstantia_nigra_brain"
"21","HuAgeMSNDsplit_14","endoBYoFC5__","User",5.43320903035588e-30,-1.96714931670339e-16,1.41596803726607e-16,-1.02267369919695e-16,1.12377555178123e-16,-7.13405029495462e-17,1.29453739394769e-16,-0.28832298716198,0.219763510705413,0.22551536769421,0.547091412071576,0.470438332225988,-1.71954464556201e-16,1.30917412327625e-16,-7.09610321891763e-17,0.999999999999996,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999997,1.78532829490589e-16,4.97942153770035e-10,1.69386034456335e-10,2.07359678124788e-62,2.01298226684262e-44,0.999999999999996,0.999999999999997,0.999999999999998
"22","HuAgeMSNDsplit_14","EndotheByothers_Zhang_Cuffdiff2FCover20__","User",1.07420313184236e-22,-1.96714931670339e-16,1.41596803726607e-16,-1.02267369919695e-16,1.12377555178123e-16,-7.13405029495462e-17,1.29453739394769e-16,-0.28832298716198,0.219763510705413,0.22551536769421,0.547091412071576,0.470438332225988,-1.71954464556201e-16,1.30917412327625e-16,-7.09610321891763e-17,0.999999999999996,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999997,1.78532829490589e-16,4.97942153770035e-10,1.69386034456335e-10,2.07359678124788e-62,2.01298226684262e-44,0.999999999999996,0.999999999999997,0.999999999999998
"23","HuAgeMSNDsplit_14","MicroByMacro_Zhang_Cuffdiff2FCover20__","User",0.0124544700694341,-1.96714931670339e-16,1.41596803726607e-16,-1.02267369919695e-16,1.12377555178123e-16,-7.13405029495462e-17,1.29453739394769e-16,-0.28832298716198,0.219763510705413,0.22551536769421,0.547091412071576,0.470438332225988,-1.71954464556201e-16,1.30917412327625e-16,-7.09610321891763e-17,0.999999999999996,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999998,0.999999999999997,1.78532829490589e-16,4.97942153770035e-10,1.69386034456335e-10,2.07359678124788e-62,2.01298226684262e-44,0.999999999999996,0.999999999999997,0.999999999999998
"24","HuAgeMSNDsplit_15","neuronBYoFC5__","User",0.000200157735323386,1.2093597607718e-16,-9.22656048785164e-17,-8.18979216041238e-17,3.66894015169095e-16,-1.1097148048568e-16,-9.84455572616838e-17,0.405711156964969,-0.553396456308484,-0.601769640043981,0.286706116128423,-0.417093290905213,2.26706674266719e-16,3.29841405924403e-16,-2.42048135007389e-17,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999992,0.999999999999998,0.999999999999998,2.01668448376388e-32,4.1866357390343e-64,2.11815163970142e-78,2.66806763081181e-16,2.38997761596259e-34,0.999999999999995,0.999999999999993,0.999999999999999
"25","HuAgeMSNDsplit_15","NeuronByothers_Zhang_Cuffdiff2FCover20__","User",0.00055419608282988,1.2093597607718e-16,-9.22656048785164e-17,-8.18979216041238e-17,3.66894015169095e-16,-1.1097148048568e-16,-9.84455572616838e-17,0.405711156964969,-0.553396456308484,-0.601769640043981,0.286706116128423,-0.417093290905213,2.26706674266719e-16,3.29841405924403e-16,-2.42048135007389e-17,0.999999999999997,0.999999999999998,0.999999999999998,0.999999999999992,0.999999999999998,0.999999999999998,2.01668448376388e-32,4.1866357390343e-64,2.11815163970142e-78,2.66806763081181e-16,2.38997761596259e-34,0.999999999999995,0.999999999999993,0.999999999999999
"26","HuAgeMSNDsplit_19","QGBObyPGBO_GSE114574_Tejero_FC5___","User",0.000288072835059892,-2.50044126029469e-16,-9.47050597666088e-17,2.83356237779087e-16,-4.44739731153554e-16,-8.64515707285629e-17,3.76868675155961e-16,-0.104550399752066,0.031965458987591,0.0564102900649127,0.116980487854123,0.666624869971853,-5.16513914972094e-16,-2.86988315056913e-16,1.78459677591114e-16,0.999999999999994,0.999999999999998,0.999999999999994,0.99999999999999,0.999999999999998,0.999999999999992,0.00338116709565652,0.371411145947965,0.114513978760728,0.00103256454723597,6.85661076275692e-102,0.999999999999988,0.999999999999994,0.999999999999996
"27","HuAgeMSNDsplit_20","MicroByMono_Zhang_Cuffdiff2FCover20__","User",0.00238678249765163,-2.02921989107818e-16,-2.60371151722394e-16,6.46184494801361e-17,3.68845579079569e-16,-2.37535143464418e-16,-1.40187340902376e-16,-0.139645634202605,0.22095373132277,0.227211896009728,-0.253478527195961,0.253270745309204,1.93855348440408e-16,4.90601483049691e-16,-4.02455846426619e-16,0.999999999999995,0.999999999999994,0.999999999999999,0.999999999999992,0.999999999999995,0.999999999999997,8.74252422653961e-05,3.99322521308902e-10,1.22546221649587e-10,5.84494874134514e-13,6.11265989988805e-13,0.999999999999996,0.999999999999989,0.999999999999991
"28","HuAgeMSNDsplit_20","AstroByothers_Zhang_Cuffdiff2FCover20__","User",3.37414241702073e-14,-2.02921989107818e-16,-2.60371151722394e-16,6.46184494801361e-17,3.68845579079569e-16,-2.37535143464418e-16,-1.40187340902376e-16,-0.139645634202605,0.22095373132277,0.227211896009728,-0.253478527195961,0.253270745309204,1.93855348440408e-16,4.90601483049691e-16,-4.02455846426619e-16,0.999999999999995,0.999999999999994,0.999999999999999,0.999999999999992,0.999999999999995,0.999999999999997,8.74252422653961e-05,3.99322521308902e-10,1.22546221649587e-10,5.84494874134514e-13,6.11265989988805e-13,0.999999999999996,0.999999999999989,0.999999999999991
"29","HuAgeMSNDsplit_20","astroBYoFC5__","User",1.48882697774146e-19,-2.02921989107818e-16,-2.60371151722394e-16,6.46184494801361e-17,3.68845579079569e-16,-2.37535143464418e-16,-1.40187340902376e-16,-0.139645634202605,0.22095373132277,0.227211896009728,-0.253478527195961,0.253270745309204,1.93855348440408e-16,4.90601483049691e-16,-4.02455846426619e-16,0.999999999999995,0.999999999999994,0.999999999999999,0.999999999999992,0.999999999999995,0.999999999999997,8.74252422653961e-05,3.99322521308902e-10,1.22546221649587e-10,5.84494874134514e-13,6.11265989988805e-13,0.999999999999996,0.999999999999989,0.999999999999991
"30","HuAgeMSNDsplit_20","QSVZbyPSVZ_Morizur_FC5___","User",6.81178486015657e-12,-2.02921989107818e-16,-2.60371151722394e-16,6.46184494801361e-17,3.68845579079569e-16,-2.37535143464418e-16,-1.40187340902376e-16,-0.139645634202605,0.22095373132277,0.227211896009728,-0.253478527195961,0.253270745309204,1.93855348440408e-16,4.90601483049691e-16,-4.02455846426619e-16,0.999999999999995,0.999999999999994,0.999999999999999,0.999999999999992,0.999999999999995,0.999999999999997,8.74252422653961e-05,3.99322521308902e-10,1.22546221649587e-10,5.84494874134514e-13,6.11265989988805e-13,0.999999999999996,0.999999999999989,0.999999999999991
