"","endoBYo","AveExpr","F","P.Value","adj.P.Val"
"Ces2e",1.96218844628818,0.151843312534398,180.694595968993,5.62774689075095e-14,1.53706968474177e-11
"Lsr",5.43063071652944,1.54378993225936,179.610684383904,6.06865581405897e-14,1.63727893383447e-11
"Pla2g2f",2.20799925709371,0.184982685186876,178.950578255491,6.3551561591643e-14,1.69391710493002e-11
"Ptprb",5.40893852293914,0.95439175793559,178.377381151585,6.6156770263624e-14,1.74236455778828e-11
"Hrct1",5.42916419792653,0.935436048960708,178.044279398641,6.77230002009819e-14,1.76263050993685e-11
"Slc35f2",4.28476077284909,0.805542138766192,176.427970073751,7.59065889420699e-14,1.95265286879699e-11
"Foxq1",6.38215336259683,1.53776455907468,176.037723263352,7.80369245156311e-14,1.98438032305667e-11
"Gm24036",1.82709189357564,0.121806126238376,172.483089587722,1.00661790368888e-13,2.53061453219423e-11
"Ccdc152",4.30177286791838,1.26507760441283,168.840938248138,1.31282399448245e-13,3.2633264303298e-11
"Slc22a8",6.81124945019038,1.24833045124901,168.269688807906,1.36927557329168e-13,3.36583150088132e-11
"Gm26809",3.62336130104213,2.53065683012108,165.42942514258,1.69121822489234e-13,4.11151876805421e-11
"Flt1",6.14288585920022,1.11797323635891,163.983469126081,1.88541641805386e-13,4.53381167571801e-11
"Sox17",6.56141212687852,1.03244627830545,159.319871155686,2.69232877848135e-13,6.40455801788634e-11
"Rtp3",1.91976228680853,0.167609993891019,158.161056964087,2.94558605103688e-13,6.93246810713712e-11
"Ly6a",6.63082084466693,4.34411913536892,157.298906930354,3.15049048534615e-13,7.29980145366813e-11
"Gm8174",4.44413059479361,0.500466454419187,157.229413983967,3.16765782015161e-13,7.29980145366813e-11
"Gm23780",1.71456790945782,0.114304527297188,156.204320945945,3.43285485481493e-13,7.82938638691452e-11
"Zap70",3.23019047350348,0.510036384977692,155.586279114299,3.60413988859894e-13,8.13616191382391e-11
"Gkn3",3.57287028731951,0.501928298521038,154.615542159315,3.89188175952716e-13,8.69697981474942e-11
"Dlg4",-4.57037031344194,3.04037473503077,152.714329926442,4.52907885998337e-13,1.00196811619412e-10
"Pgm5",2.11516149195955,0.285110765568579,147.556350397003,6.88999209736612e-13,1.50918114029733e-10
"Kcnj8",4.85218498637448,0.915250671361882,140.127760195311,1.28911379129033e-12,2.79598670634471e-10
"Ppm1j",3.81024502850976,0.82560387143542,139.812686462714,1.32463296083163e-12,2.84513155266779e-10
"Nostrin",4.73892090779163,1.0015360745016,138.083883703208,1.53908784521151e-12,3.27396542303982e-10
"Adcy4",5.27974075166046,1.22547510430735,137.48812889386,1.62135535604409e-12,3.416118527787e-10
"Grrp1",5.30953282396051,0.995778326969765,133.310033393248,2.34860000956469e-12,4.90170547279243e-10
"Cldn6",2.62242122709252,0.333874384814317,131.713688855525,2.71270369145175e-12,5.6087050248586e-10
"Abcc9",2.35882011980721,0.368363043044904,131.375927749785,2.79721898079753e-12,5.72989588075775e-10
"Slc38a5",7.8991967014546,1.26316579861223,130.948808595247,2.9081458726776e-12,5.90246891204097e-10
"Gja4",6.02540938068435,1.09736801984477,130.534096192565,3.02036126381886e-12,6.07449565813315e-10
"Gm28527",6.44955447740101,0.743604344964742,130.264902676649,3.09567309013984e-12,6.16987169127601e-10
"Tm4sf1",6.28312952248543,1.27922208636668,130.102277880826,3.14214125911012e-12,6.20657063172261e-10
"Il1r1",2.25458112628278,0.392679602406356,129.322728229168,3.37548230225099e-12,6.60847743121227e-10
