"","monocytesBYo","AveExpr","F","P.Value","adj.P.Val"
"Tagap1",-0.564468797857647,3.46660142817472,0.712798685262668,0.405533830771707,0.641793042289326
"Zcchc24",0.866527153298105,3.66630762492496,0.712501056294609,0.405630690410241,0.641885029903576
"Zfp804a",0.24236672926472,0.247635449699315,0.712441783001151,0.405649984318668,0.641885029903576
"Bank1",-0.138449907634183,0.551440198520908,0.71232273268415,0.405688740273269,0.64190044350347
"Gm9267",0.396375865874741,2.02127704739822,0.712195996821288,0.405730004320312,0.641919823040711
"Gm8494",0.32753962211666,3.13416036484028,0.711437512804117,0.405977091829013,0.642219451248898
"Nes",-1.11251404851197,2.26963770266359,0.711436427788609,0.405977445451152,0.642219451248898
"Gm37700",0.215279177974168,0.0848375828059273,0.710993901689789,0.406121709710132,0.642396405094517
"Pacs2",0.896625294063056,3.78999447285525,0.71091517946409,0.406147381370384,0.642396405094517
"Ccdc112",-0.466962413810697,0.984355263211782,0.710562763667779,0.406262335635134,0.642488226312315
"Gm10797",-0.225395134942773,0.14513623671472,0.710407781617962,0.406312904624839,0.642488226312315
"Gm13392",0.62455303737963,2.50431199599273,0.710403013553657,0.406314460543571,0.642488226312315
"1700020I14Rik",0.721119223665333,5.60132340006375,0.710381132836055,0.406321600792641,0.642488226312315
"Gm15058",0.332896602776298,0.261596640764018,0.710013156405821,0.406441709404576,0.642619035903944
"Slc30a1",0.603519413419434,4.86028643435035,0.709949714792384,0.406462422338918,0.642619035903944
"Arid1a",0.4194064975225,3.60374929330171,0.709817833324405,0.40650548515939,0.642641192524024
"Fam126b",-0.535674008818757,1.58406696842639,0.709569452160865,0.406586606892594,0.642723508702027
"Ogt",0.769529553082031,4.35994282336289,0.709341020564207,0.406661234579351,0.642795548199412
"Snx15",-0.509415105489839,4.74033518492438,0.708810064164906,0.406834775616757,0.643023915193935
"Pts",-0.40493430845958,5.43271243420061,0.708455295080452,0.406950792682636,0.643154323811704
"Trpc1",0.683031429967403,1.32647708043348,0.708379984264426,0.406975427339874,0.643154323811704
"Defb48",0.16144514706576,0.169923086783706,0.707928007734648,0.407123319009265,0.643342084745854
"Nrg3",0.327251868402843,0.284969926315727,0.707350482177633,0.407312409563014,0.64355704874548
"Pole",0.4823247235311,0.995010757073753,0.707334837729201,0.407317533631705,0.64355704874548
"Cul3",0.567343707907503,3.05072669075147,0.70677169048783,0.407502047490889,0.643756785868777
