"","other","macrophages"
"C4a",0.846744084488503,3.20672305113125
"C4b",1.62468641255222,4.65480360823807
"CT009550.1",0.127804720773701,1.37754468238191
"CT025525.1",0,0.61078154527619
"CT030704.2",0.193616364881958,0.445043098155422
"Cacfd1",4.54110630017371,4.2368242993154
"Cald1",1.3466271709579,1.57560445915495
"Calm1",8.52145446519628,7.2029236272819
"Calml4",0.591673402953741,6.27803924339278
"Camkk2",3.23465228139783,2.67283000699198
"Capg",3.24430278824805,7.04315109451147
"Capn1",1.57621457461733,3.85859643215827
"Capn2",3.56999189674428,3.67777453623797
"Capn5",2.01004836235644,2.7627899498038
"Capns1",6.54505321189999,8.03011850912563
"Car5b",0.538238259881253,0.988711848082945
"Car6",0.115411162134585,2.83281694208303
"Card10",1.46974148272802,1.31154880969547
"Casp2",4.06430946875615,3.84089450666113
"Cbx2",1.61386835201436,1.7130083743056
"Cbx5",3.36403639999041,2.48603497120997
"Ccdc50",4.09878996737721,4.17311367249666
"Ccdc69",1.02184965037042,2.12646308571817
"Ccdc88c",1.96803288951856,0.821308202648214
"Ccl24",1.91234138051912,11.0229577750339
"Ccl26",0.0669897037799923,1.46054307534832
"Ccl9",5.24004304137951,10.5605575761938
"Ccm2l",0.844813735037338,3.17421673280924
"Ccna2",2.37325479824948,3.93947253928179
"Ccnb1",1.67417449032343,4.44804868835107
"Ccnb2",1.76071611549237,4.89956285173632
"Ccnf",1.16207274053279,1.95162211095954
"Ccr1",3.6764276254721,8.30990392354464
"Ccr2",2.74095106454987,4.82710777497033
"Cd163",1.28001425744361,3.59214204790524
"Cd19",1.42015888133681,3.48314739488614
"Cd2",1.02503484991914,3.23024252681777
"Cd209b",0.619587299801818,4.04229044760978
"Cd244",1.41877938979617,2.32086155205028
"Cd24a",4.2194777447324,8.60122119960954
"Cd300lb",2.33069381863291,4.36617396744458
"Cd300ld",2.25670621617298,5.86919855053668
"Cd300lg",1.35260243499027,4.33515700622542
"Cd36",0.867532582180314,4.92040894558177
"Cd38",1.23370910069128,4.1100827384786
"Cd40",1.74421132686697,3.73005317545279
"Cd44",2.13521553768992,3.91189105673817
"Cd55",1.39496402432326,2.14101264851144
"Cd5l",0.420434865983742,11.5364759919819
"Cd79a",1.94126590738025,5.60424950583954
"Cd93",3.62263288459695,7.03332403809113
"Cdc25b",2.58083486802938,3.67669649554898
"Cdc42bpg",2.07536661527758,2.2490156760681
"Cdc42ep2",3.71483733766123,5.22909670196854
"Cdc42ep3",2.68539300899772,3.17597912898102
"Cdc42ep4",4.26763755699411,3.85850281257211
"Cdc45",1.19756576407969,1.9429644454671
"Cdc6",1.12063653181659,2.09848353649339
"Cdc7",2.00677537139077,0.903499530089052
"Cdca2",0.935821268646475,1.49725393187097
"Cdca3",2.72659051876288,5.80329467718198
"Cdca5",1.61187247326485,3.56629413150896
"Cdca8",1.5508504994538,3.40725539127958
"Cdk1",2.09199893119301,4.59476659789286
"Cdkn1a",4.81764588124638,5.49494286162714
"Cdkn2a",0.154449361626993,3.95445628960704
"Cdkn2b",1.56054834490304,3.81803073686018
"Cdkn2c",3.28922093304466,5.1212484567401
"Cdkn2d",6.1083024027743,6.76770176101507
"Cdkn3",1.13481192512059,3.21619587764273
"Cdr2",2.39140986703131,1.82609173800671
"Cdv3",5.51458875917695,4.70352411537089
"Cebpb",6.66770918968764,12.0868417535971
"Celsr3",1.97857798929115,1.11723519465574
"Cenpa",3.57737972568137,5.79187016348421
"Cenpe",0.777182381354002,0.906326289838057
