"","Module","Gene"
"AC020765.4","HuAgeMSNDsplitRnaseq_08","AC020765.4"
"GALNT15","HuAgeMSNDsplitRnaseq_14","GALNT15"
"ADAMTS8","HuAgeMSNDsplitRnaseq_02","ADAMTS8"
"YBX2P1","HuAgeMSNDsplitRnaseq_10","YBX2P1"
"AL772155.3","HuAgeMSNDsplitRnaseq_04","AL772155.3"
"AC233702.5","HuAgeMSNDsplitRnaseq_01","AC233702.5"
"MAN1A2P1","HuAgeMSNDsplitRnaseq_17","MAN1A2P1"
"DOC2B","HuAgeMSNDsplitRnaseq_14","DOC2B"
"LINC01123","HuAgeMSNDsplitRnaseq_08","LINC01123"
"CD300A","HuAgeMSNDsplitRnaseq_06","CD300A"
"PIANP","HuAgeMSNDsplitRnaseq_14","PIANP"
"TRBV19","HuAgeMSNDsplitRnaseq_03","TRBV19"
"RNF122","HuAgeMSNDsplitRnaseq_01","RNF122"
"TRAJ26","HuAgeMSNDsplitRnaseq_21","TRAJ26"
"AC010320.5","HuAgeMSNDsplitRnaseq_10","AC010320.5"
"CABP1","HuAgeMSNDsplitRnaseq_08","CABP1"
"AC022893.2","HuAgeMSNDsplitRnaseq_08","AC022893.2"
"PCDHB2","HuAgeMSNDsplitRnaseq_03","PCDHB2"
"IL4R","HuAgeMSNDsplitRnaseq_18","IL4R"
"ATAD3C","HuAgeMSNDsplitRnaseq_11","ATAD3C"
"AC132192.2","HuAgeMSNDsplitRnaseq_25","AC132192.2"
"AC015909.3","HuAgeMSNDsplitRnaseq_14","AC015909.3"
"AC006946.2","HuAgeMSNDsplitRnaseq_11","AC006946.2"
"HSPA1L","HuAgeMSNDsplitRnaseq_15","HSPA1L"
"MIR572","HuAgeMSNDsplitRnaseq_05","MIR572"
"OR2T32P","HuAgeMSNDsplitRnaseq_03","OR2T32P"
"AC008507.3","HuAgeMSNDsplitRnaseq_28","AC008507.3"
"HCN2","HuAgeMSNDsplitRnaseq_22","HCN2"
"AC044849.1","HuAgeMSNDsplitRnaseq_01","AC044849.1"
"KCNK7","HuAgeMSNDsplitRnaseq_01","KCNK7"
"DSTNP4","HuAgeMSNDsplitRnaseq_13","DSTNP4"
"AL451165.2","HuAgeMSNDsplitRnaseq_12","AL451165.2"
"AL591848.3","HuAgeMSNDsplitRnaseq_11","AL591848.3"
"SOX7","HuAgeMSNDsplitRnaseq_18","SOX7"
"FEM1AP2","HuAgeMSNDsplitRnaseq_08","FEM1AP2"
"AC090515.2","HuAgeMSNDsplitRnaseq_08","AC090515.2"
"RNU6-560P","HuAgeMSNDsplitRnaseq_13","RNU6-560P"
"LRRC74B","HuAgeMSNDsplitRnaseq_04","LRRC74B"
"DMRT2","HuAgeMSNDsplitRnaseq_08","DMRT2"
"AL139384.2","HuAgeMSNDsplitRnaseq_11","AL139384.2"
"AC023157.3","HuAgeMSNDsplitRnaseq_10","AC023157.3"
"AC239800.1","HuAgeMSNDsplitRnaseq_02","AC239800.1"
"MUC1","HuAgeMSNDsplitRnaseq_05","MUC1"
"NFATC4","HuAgeMSNDsplitRnaseq_07","NFATC4"
"AC005618.1","HuAgeMSNDsplitRnaseq_08","AC005618.1"
"GHRH","HuAgeMSNDsplitRnaseq_27","GHRH"
"RPL34P18","HuAgeMSNDsplitRnaseq_03","RPL34P18"
"AC016590.1","HuAgeMSNDsplitRnaseq_02","AC016590.1"
"AC006449.6","HuAgeMSNDsplitRnaseq_06","AC006449.6"
"TNFRSF10A-AS1","HuAgeMSNDsplitRnaseq_17","TNFRSF10A-AS1"
"CCL8","HuAgeMSNDsplitRnaseq_09","CCL8"
"DYDC2","HuAgeMSNDsplitRnaseq_04","DYDC2"
"AL118508.4","HuAgeMSNDsplitRnaseq_15","AL118508.4"
"TPP1","HuAgeMSNDsplitRnaseq_07","TPP1"
"LILRB5","HuAgeMSNDsplitRnaseq_12","LILRB5"
"AC138932.4","HuAgeMSNDsplitRnaseq_24","AC138932.4"
"AC012400.1","HuAgeMSNDsplitRnaseq_08","AC012400.1"
"VSTM2B","HuAgeMSNDsplitRnaseq_22","VSTM2B"
"LFNG","HuAgeMSNDsplitRnaseq_07","LFNG"
"AC084809.1","HuAgeMSNDsplitRnaseq_02","AC084809.1"
"RPS4XP4","HuAgeMSNDsplitRnaseq_16","RPS4XP4"
"NEU4","HuAgeMSNDsplitRnaseq_07","NEU4"
"AL049780.3","HuAgeMSNDsplitRnaseq_07","AL049780.3"
"MIR496","HuAgeMSNDsplitRnaseq_03","MIR496"
"RNU2-62P","HuAgeMSNDsplitRnaseq_13","RNU2-62P"
"ZFAND2A","HuAgeMSNDsplitRnaseq_15","ZFAND2A"
"FOXD4L1","HuAgeMSNDsplitRnaseq_08","FOXD4L1"
"GALNT6","HuAgeMSNDsplitRnaseq_08","GALNT6"
"CSRP2","HuAgeMSNDsplitRnaseq_14","CSRP2"
"P2RX7","HuAgeMSNDsplitRnaseq_11","P2RX7"
"SERPING1","HuAgeMSNDsplitRnaseq_12","SERPING1"
"AL031432.4","HuAgeMSNDsplitRnaseq_08","AL031432.4"
"LINC01954","HuAgeMSNDsplitRnaseq_10","LINC01954"
"LBX2","HuAgeMSNDsplitRnaseq_01","LBX2"
"AL356583.2","HuAgeMSNDsplitRnaseq_15","AL356583.2"
"MT-TS2","HuAgeMSNDsplitRnaseq_06","MT-TS2"
"LINC01165","HuAgeMSNDsplitRnaseq_04","LINC01165"
"PLLP","HuAgeMSNDsplitRnaseq_08","PLLP"
"HIST1H2BD","HuAgeMSNDsplitRnaseq_01","HIST1H2BD"
"AC148477.8","HuAgeMSNDsplitRnaseq_08","AC148477.8"
"AC073488.7","HuAgeMSNDsplitRnaseq_09","AC073488.7"
"MX1","HuAgeMSNDsplitRnaseq_26","MX1"
"AC004847.1","HuAgeMSNDsplitRnaseq_01","AC004847.1"
"RPS12P18","HuAgeMSNDsplitRnaseq_17","RPS12P18"
"PNMA3","HuAgeMSNDsplitRnaseq_14","PNMA3"
"EIF4G2","HuAgeMSNDsplitRnaseq_03","EIF4G2"
"AL132709.1","HuAgeMSNDsplitRnaseq_14","AL132709.1"
"MYO1G","HuAgeMSNDsplitRnaseq_05","MYO1G"
"AC010323.2","HuAgeMSNDsplitRnaseq_05","AC010323.2"
"LRRC3","HuAgeMSNDsplitRnaseq_08","LRRC3"
"AL449403.1","HuAgeMSNDsplitRnaseq_07","AL449403.1"
"AC069544.1","HuAgeMSNDsplitRnaseq_25","AC069544.1"
"AC008543.4","HuAgeMSNDsplitRnaseq_04","AC008543.4"
"ZMYND15","HuAgeMSNDsplitRnaseq_06","ZMYND15"
"SLC9A3R1","HuAgeMSNDsplitRnaseq_07","SLC9A3R1"
"JAG1","HuAgeMSNDsplitRnaseq_24","JAG1"
"DEFA3","HuAgeMSNDsplitRnaseq_03","DEFA3"
"AC131235.1","HuAgeMSNDsplitRnaseq_01","AC131235.1"
"OR2L9P","HuAgeMSNDsplitRnaseq_03","OR2L9P"
"AC008496.1","HuAgeMSNDsplitRnaseq_02","AC008496.1"
"FAM231C","HuAgeMSNDsplitRnaseq_13","FAM231C"
"RNU6-694P","HuAgeMSNDsplitRnaseq_15","RNU6-694P"
"ECEL1P2","HuAgeMSNDsplitRnaseq_01","ECEL1P2"
"PCDH18","HuAgeMSNDsplitRnaseq_02","PCDH18"
"AC010501.1","HuAgeMSNDsplitRnaseq_25","AC010501.1"
"CNIH2","HuAgeMSNDsplitRnaseq_14","CNIH2"
"AP003721.3","HuAgeMSNDsplitRnaseq_01","AP003721.3"
"AC091932.4","HuAgeMSNDsplitRnaseq_09","AC091932.4"
"STK24-AS1","HuAgeMSNDsplitRnaseq_01","STK24-AS1"
"SLC2A5","HuAgeMSNDsplitRnaseq_06","SLC2A5"
"MT3","HuAgeMSNDsplitRnaseq_03","MT3"
"AC016717.2","HuAgeMSNDsplitRnaseq_14","AC016717.2"
"BEND3P1","HuAgeMSNDsplitRnaseq_04","BEND3P1"
"RNU6-756P","HuAgeMSNDsplitRnaseq_13","RNU6-756P"
"AC011978.2","HuAgeMSNDsplitRnaseq_01","AC011978.2"
"CHST2","HuAgeMSNDsplitRnaseq_03","CHST2"
"RPL17P25","HuAgeMSNDsplitRnaseq_23","RPL17P25"
"CLIC1","HuAgeMSNDsplitRnaseq_12","CLIC1"
"CITED4","HuAgeMSNDsplitRnaseq_01","CITED4"
"SLC30A1","HuAgeMSNDsplitRnaseq_07","SLC30A1"
"AC024288.1","HuAgeMSNDsplitRnaseq_11","AC024288.1"
"GLRXP3","HuAgeMSNDsplitRnaseq_05","GLRXP3"
"RSAD2","HuAgeMSNDsplitRnaseq_26","RSAD2"
"GNAI2P1","HuAgeMSNDsplitRnaseq_01","GNAI2P1"
"COL20A1","HuAgeMSNDsplitRnaseq_07","COL20A1"
"RNU6-297P","HuAgeMSNDsplitRnaseq_16","RNU6-297P"
"CASP1","HuAgeMSNDsplitRnaseq_06","CASP1"
"AC099521.1","HuAgeMSNDsplitRnaseq_10","AC099521.1"
"AC022211.2","HuAgeMSNDsplitRnaseq_14","AC022211.2"
"CBS","HuAgeMSNDsplitRnaseq_07","CBS"
"CPNE9","HuAgeMSNDsplitRnaseq_08","CPNE9"
"AP005121.2","HuAgeMSNDsplitRnaseq_10","AP005121.2"
"ALDH1B1","HuAgeMSNDsplitRnaseq_24","ALDH1B1"
"AC132872.1","HuAgeMSNDsplitRnaseq_01","AC132872.1"
"RASAL1","HuAgeMSNDsplitRnaseq_11","RASAL1"
"MIR3678","HuAgeMSNDsplitRnaseq_17","MIR3678"
"RPL23AP12","HuAgeMSNDsplitRnaseq_25","RPL23AP12"
"AC138761.1","HuAgeMSNDsplitRnaseq_12","AC138761.1"
"MTRF1LP1","HuAgeMSNDsplitRnaseq_02","MTRF1LP1"
"MRAS","HuAgeMSNDsplitRnaseq_07","MRAS"
"AC021028.1","HuAgeMSNDsplitRnaseq_03","AC021028.1"
"FGR","HuAgeMSNDsplitRnaseq_18","FGR"
"MEG9","HuAgeMSNDsplitRnaseq_14","MEG9"
"ITIH5","HuAgeMSNDsplitRnaseq_12","ITIH5"
"HRK","HuAgeMSNDsplitRnaseq_08","HRK"
"NAP1L2","HuAgeMSNDsplitRnaseq_14","NAP1L2"
"PPP1R32","HuAgeMSNDsplitRnaseq_04","PPP1R32"
"AC007036.1","HuAgeMSNDsplitRnaseq_03","AC007036.1"
"TAL1","HuAgeMSNDsplitRnaseq_06","TAL1"
"MEX3B","HuAgeMSNDsplitRnaseq_18","MEX3B"
"GDPD2","HuAgeMSNDsplitRnaseq_07","GDPD2"
"PSAT1","HuAgeMSNDsplitRnaseq_07","PSAT1"
"AL022313.4","HuAgeMSNDsplitRnaseq_14","AL022313.4"
"AL022069.1","HuAgeMSNDsplitRnaseq_14","AL022069.1"
"ACHE","HuAgeMSNDsplitRnaseq_14","ACHE"
"SLC7A3","HuAgeMSNDsplitRnaseq_27","SLC7A3"
"AC055874.1","HuAgeMSNDsplitRnaseq_07","AC055874.1"
"GHSR","HuAgeMSNDsplitRnaseq_27","GHSR"
"PLK3","HuAgeMSNDsplitRnaseq_05","PLK3"
"GRIN3B","HuAgeMSNDsplitRnaseq_14","GRIN3B"
"AC037459.2","HuAgeMSNDsplitRnaseq_03","AC037459.2"
"OGFOD1P1","HuAgeMSNDsplitRnaseq_04","OGFOD1P1"
"RNF144A-AS1","HuAgeMSNDsplitRnaseq_04","RNF144A-AS1"
"MTCO1P30","HuAgeMSNDsplitRnaseq_13","MTCO1P30"
"AC090152.1","HuAgeMSNDsplitRnaseq_11","AC090152.1"
"PMS2P5","HuAgeMSNDsplitRnaseq_25","PMS2P5"
"AC011840.2","HuAgeMSNDsplitRnaseq_03","AC011840.2"
"MTCO1P31","HuAgeMSNDsplitRnaseq_09","MTCO1P31"
"RSPH4A","HuAgeMSNDsplitRnaseq_04","RSPH4A"
"ARHGDIB","HuAgeMSNDsplitRnaseq_06","ARHGDIB"
"AC009237.14","HuAgeMSNDsplitRnaseq_14","AC009237.14"
"AC099811.3","HuAgeMSNDsplitRnaseq_02","AC099811.3"
"PABPC1L2A","HuAgeMSNDsplitRnaseq_27","PABPC1L2A"
"AL353746.1","HuAgeMSNDsplitRnaseq_02","AL353746.1"
"LINC02137","HuAgeMSNDsplitRnaseq_04","LINC02137"
"SMTN","HuAgeMSNDsplitRnaseq_01","SMTN"
"TRAJ33","HuAgeMSNDsplitRnaseq_26","TRAJ33"
"EIF1P2","HuAgeMSNDsplitRnaseq_04","EIF1P2"
"AC018868.2","HuAgeMSNDsplitRnaseq_02","AC018868.2"
"AL020994.2","HuAgeMSNDsplitRnaseq_04","AL020994.2"
"AL034379.1","HuAgeMSNDsplitRnaseq_05","AL034379.1"
"BX537318.1","HuAgeMSNDsplitRnaseq_08","BX537318.1"
"CTSS","HuAgeMSNDsplitRnaseq_06","CTSS"
"CHRM1","HuAgeMSNDsplitRnaseq_11","CHRM1"
"UBB","HuAgeMSNDsplitRnaseq_03","UBB"
"AC016168.2","HuAgeMSNDsplitRnaseq_02","AC016168.2"
"CLDN24","HuAgeMSNDsplitRnaseq_09","CLDN24"
"HMGB3P1","HuAgeMSNDsplitRnaseq_10","HMGB3P1"
"AC005498.2","HuAgeMSNDsplitRnaseq_11","AC005498.2"
"PRKAG2-AS1","HuAgeMSNDsplitRnaseq_05","PRKAG2-AS1"
"SOD2","HuAgeMSNDsplitRnaseq_05","SOD2"
"AC090192.1","HuAgeMSNDsplitRnaseq_21","AC090192.1"
"AC084757.4","HuAgeMSNDsplitRnaseq_17","AC084757.4"
"MARVELD1","HuAgeMSNDsplitRnaseq_12","MARVELD1"
"RAB3A","HuAgeMSNDsplitRnaseq_14","RAB3A"
"RPL7L1P9","HuAgeMSNDsplitRnaseq_01","RPL7L1P9"
"PLAC9","HuAgeMSNDsplitRnaseq_02","PLAC9"
"BCL2L12P1","HuAgeMSNDsplitRnaseq_08","BCL2L12P1"
"AL133467.1","HuAgeMSNDsplitRnaseq_09","AL133467.1"
"SLC16A3","HuAgeMSNDsplitRnaseq_06","SLC16A3"
"AC002467.1","HuAgeMSNDsplitRnaseq_01","AC002467.1"
"AC005837.1","HuAgeMSNDsplitRnaseq_25","AC005837.1"
"AC093162.2","HuAgeMSNDsplitRnaseq_05","AC093162.2"
"GDF15","HuAgeMSNDsplitRnaseq_12","GDF15"
"AC024067.1","HuAgeMSNDsplitRnaseq_05","AC024067.1"
"AL109945.1","HuAgeMSNDsplitRnaseq_23","AL109945.1"
"TCTEX1D1","HuAgeMSNDsplitRnaseq_04","TCTEX1D1"
"C6orf226","HuAgeMSNDsplitRnaseq_01","C6orf226"
"MARCKSL1","HuAgeMSNDsplitRnaseq_08","MARCKSL1"
"AC008115.4","HuAgeMSNDsplitRnaseq_07","AC008115.4"
"LINC02433","HuAgeMSNDsplitRnaseq_24","LINC02433"
"UBXN10","HuAgeMSNDsplitRnaseq_04","UBXN10"
"MT-ND2","HuAgeMSNDsplitRnaseq_23","MT-ND2"
"LILRB4","HuAgeMSNDsplitRnaseq_06","LILRB4"
"PNMA2","HuAgeMSNDsplitRnaseq_14","PNMA2"
"AC007906.2","HuAgeMSNDsplitRnaseq_04","AC007906.2"
"SLC38A3","HuAgeMSNDsplitRnaseq_07","SLC38A3"
"INHBB","HuAgeMSNDsplitRnaseq_07","INHBB"
"BATF2","HuAgeMSNDsplitRnaseq_26","BATF2"
"AC016745.2","HuAgeMSNDsplitRnaseq_16","AC016745.2"
"AP000797.2","HuAgeMSNDsplitRnaseq_13","AP000797.2"
"RNU4-58P","HuAgeMSNDsplitRnaseq_21","RNU4-58P"
"AC136944.2","HuAgeMSNDsplitRnaseq_04","AC136944.2"
"AL035409.1","HuAgeMSNDsplitRnaseq_04","AL035409.1"
"VWA3A","HuAgeMSNDsplitRnaseq_04","VWA3A"
"GAPDHP37","HuAgeMSNDsplitRnaseq_11","GAPDHP37"
"EPAS1","HuAgeMSNDsplitRnaseq_18","EPAS1"
"NCDN","HuAgeMSNDsplitRnaseq_04","NCDN"
"HMGN2","HuAgeMSNDsplitRnaseq_07","HMGN2"
"AP001505.1","HuAgeMSNDsplitRnaseq_16","AP001505.1"
"RPSAP11","HuAgeMSNDsplitRnaseq_10","RPSAP11"
"RXFP4","HuAgeMSNDsplitRnaseq_19","RXFP4"
"AL359715.3","HuAgeMSNDsplitRnaseq_10","AL359715.3"
"AC024896.1","HuAgeMSNDsplitRnaseq_13","AC024896.1"
"NKX1-2","HuAgeMSNDsplitRnaseq_06","NKX1-2"
"AC006557.6","HuAgeMSNDsplitRnaseq_03","AC006557.6"
"AL049838.1","HuAgeMSNDsplitRnaseq_07","AL049838.1"
"IGBP1P4","HuAgeMSNDsplitRnaseq_02","IGBP1P4"
"HLA-F","HuAgeMSNDsplitRnaseq_26","HLA-F"
"YBX1P4","HuAgeMSNDsplitRnaseq_06","YBX1P4"
"CSRP1","HuAgeMSNDsplitRnaseq_07","CSRP1"
"MAFK","HuAgeMSNDsplitRnaseq_15","MAFK"
"AC095052.1","HuAgeMSNDsplitRnaseq_11","AC095052.1"
"FAM87A","HuAgeMSNDsplitRnaseq_02","FAM87A"
"LINC01114","HuAgeMSNDsplitRnaseq_05","LINC01114"
"RPL11P5","HuAgeMSNDsplitRnaseq_02","RPL11P5"
"SMTNL1","HuAgeMSNDsplitRnaseq_02","SMTNL1"
"AC021106.1","HuAgeMSNDsplitRnaseq_08","AC021106.1"
"AL356489.2","HuAgeMSNDsplitRnaseq_08","AL356489.2"
"GAPDHP16","HuAgeMSNDsplitRnaseq_10","GAPDHP16"
"VCX3B","HuAgeMSNDsplitRnaseq_01","VCX3B"
"RPS15P9","HuAgeMSNDsplitRnaseq_04","RPS15P9"
"AC104623.2","HuAgeMSNDsplitRnaseq_10","AC104623.2"
"AC116165.3","HuAgeMSNDsplitRnaseq_02","AC116165.3"
"AC096921.2","HuAgeMSNDsplitRnaseq_18","AC096921.2"
"AC015813.6","HuAgeMSNDsplitRnaseq_01","AC015813.6"
"RN7SKP226","HuAgeMSNDsplitRnaseq_01","RN7SKP226"
"RN7SL385P","HuAgeMSNDsplitRnaseq_17","RN7SL385P"
"SEPT12","HuAgeMSNDsplitRnaseq_10","SEPT12"
"MYBPHL","HuAgeMSNDsplitRnaseq_02","MYBPHL"
"RN7SL769P","HuAgeMSNDsplitRnaseq_23","RN7SL769P"
"RNU1-57P","HuAgeMSNDsplitRnaseq_02","RNU1-57P"
"LINC02475","HuAgeMSNDsplitRnaseq_07","LINC02475"
"LENG9","HuAgeMSNDsplitRnaseq_05","LENG9"
"CCDC87","HuAgeMSNDsplitRnaseq_05","CCDC87"
"CRYGD","HuAgeMSNDsplitRnaseq_08","CRYGD"
"CTXND1","HuAgeMSNDsplitRnaseq_13","CTXND1"
"AC009310.1","HuAgeMSNDsplitRnaseq_17","AC009310.1"
"RF00571","HuAgeMSNDsplitRnaseq_03","RF00571"
"ENPP6","HuAgeMSNDsplitRnaseq_12","ENPP6"
"AC023232.1","HuAgeMSNDsplitRnaseq_17","AC023232.1"
"CALR","HuAgeMSNDsplitRnaseq_15","CALR"
"ALDOB","HuAgeMSNDsplitRnaseq_10","ALDOB"
"CU639417.3","HuAgeMSNDsplitRnaseq_06","CU639417.3"
"RNU6-927P","HuAgeMSNDsplitRnaseq_20","RNU6-927P"
"LSMEM1","HuAgeMSNDsplitRnaseq_05","LSMEM1"
"C2CD4A","HuAgeMSNDsplitRnaseq_05","C2CD4A"
"AC005674.2","HuAgeMSNDsplitRnaseq_18","AC005674.2"
"PLCB2","HuAgeMSNDsplitRnaseq_06","PLCB2"
"LINC02526","HuAgeMSNDsplitRnaseq_04","LINC02526"
"CCDC80","HuAgeMSNDsplitRnaseq_12","CCDC80"
"AL365475.1","HuAgeMSNDsplitRnaseq_12","AL365475.1"
"MIR4697HG","HuAgeMSNDsplitRnaseq_08","MIR4697HG"
"AOC2","HuAgeMSNDsplitRnaseq_05","AOC2"
"RNA5SP200","HuAgeMSNDsplitRnaseq_10","RNA5SP200"
"AC139792.1","HuAgeMSNDsplitRnaseq_16","AC139792.1"
"CAMK2N1","HuAgeMSNDsplitRnaseq_02","CAMK2N1"
"FAM110C","HuAgeMSNDsplitRnaseq_05","FAM110C"
"SYNJ2","HuAgeMSNDsplitRnaseq_22","SYNJ2"
"LINC00324","HuAgeMSNDsplitRnaseq_18","LINC00324"
"PART1","HuAgeMSNDsplitRnaseq_02","PART1"
"AP001094.1","HuAgeMSNDsplitRnaseq_17","AP001094.1"
"LINC01952","HuAgeMSNDsplitRnaseq_02","LINC01952"
"SOX8","HuAgeMSNDsplitRnaseq_08","SOX8"
"AL512329.1","HuAgeMSNDsplitRnaseq_08","AL512329.1"
"TCIRG1","HuAgeMSNDsplitRnaseq_06","TCIRG1"
"IGHD3-9","HuAgeMSNDsplitRnaseq_05","IGHD3-9"
"C2orf66","HuAgeMSNDsplitRnaseq_27","C2orf66"
"AC120024.2","HuAgeMSNDsplitRnaseq_01","AC120024.2"
"GDF7","HuAgeMSNDsplitRnaseq_05","GDF7"
"NPTXR","HuAgeMSNDsplitRnaseq_27","NPTXR"
"DTX3L","HuAgeMSNDsplitRnaseq_26","DTX3L"
"RRP7A","HuAgeMSNDsplitRnaseq_03","RRP7A"
"AC110771.1","HuAgeMSNDsplitRnaseq_16","AC110771.1"
"SNRPCP1","HuAgeMSNDsplitRnaseq_01","SNRPCP1"
"RNU2-23P","HuAgeMSNDsplitRnaseq_23","RNU2-23P"
"AC233263.6","HuAgeMSNDsplitRnaseq_28","AC233263.6"
"AC015909.5","HuAgeMSNDsplitRnaseq_01","AC015909.5"
"RNU1-21P","HuAgeMSNDsplitRnaseq_02","RNU1-21P"
"AC138356.1","HuAgeMSNDsplitRnaseq_11","AC138356.1"
"MROH6","HuAgeMSNDsplitRnaseq_05","MROH6"
"AF106564.1","HuAgeMSNDsplitRnaseq_04","AF106564.1"
"RN7SL310P","HuAgeMSNDsplitRnaseq_23","RN7SL310P"
"AL135791.1","HuAgeMSNDsplitRnaseq_10","AL135791.1"
"APOL3","HuAgeMSNDsplitRnaseq_26","APOL3"
"TTC9B","HuAgeMSNDsplitRnaseq_27","TTC9B"
"SPON2","HuAgeMSNDsplitRnaseq_16","SPON2"
"AC060766.6","HuAgeMSNDsplitRnaseq_18","AC060766.6"
"AC092121.1","HuAgeMSNDsplitRnaseq_11","AC092121.1"
"AC112200.1","HuAgeMSNDsplitRnaseq_23","AC112200.1"
"AC005229.4","HuAgeMSNDsplitRnaseq_03","AC005229.4"
"GATA2","HuAgeMSNDsplitRnaseq_18","GATA2"
"AC010997.5","HuAgeMSNDsplitRnaseq_12","AC010997.5"
"COL18A1","HuAgeMSNDsplitRnaseq_24","COL18A1"
"PANX2","HuAgeMSNDsplitRnaseq_14","PANX2"
"CDH5","HuAgeMSNDsplitRnaseq_18","CDH5"
"RN7SKP14","HuAgeMSNDsplitRnaseq_19","RN7SKP14"
"AL359885.1","HuAgeMSNDsplitRnaseq_26","AL359885.1"
"RNU6-502P","HuAgeMSNDsplitRnaseq_23","RNU6-502P"
"LINC01945","HuAgeMSNDsplitRnaseq_04","LINC01945"
"AL031777.3","HuAgeMSNDsplitRnaseq_06","AL031777.3"
"LRRC37A13P","HuAgeMSNDsplitRnaseq_17","LRRC37A13P"
"OR9A2","HuAgeMSNDsplitRnaseq_09","OR9A2"
"RNU1-96P","HuAgeMSNDsplitRnaseq_09","RNU1-96P"
"TAGLN2","HuAgeMSNDsplitRnaseq_24","TAGLN2"
"RN7SL211P","HuAgeMSNDsplitRnaseq_13","RN7SL211P"
"CYP2J2","HuAgeMSNDsplitRnaseq_07","CYP2J2"
"PEAR1","HuAgeMSNDsplitRnaseq_12","PEAR1"
"AIRE","HuAgeMSNDsplitRnaseq_02","AIRE"
"AC127002.1","HuAgeMSNDsplitRnaseq_10","AC127002.1"
"AL137077.2","HuAgeMSNDsplitRnaseq_16","AL137077.2"
"RPS27P12","HuAgeMSNDsplitRnaseq_01","RPS27P12"
"ETV5","HuAgeMSNDsplitRnaseq_12","ETV5"
"C10orf25","HuAgeMSNDsplitRnaseq_02","C10orf25"
"CYP4F11","HuAgeMSNDsplitRnaseq_07","CYP4F11"
"KRT18P37","HuAgeMSNDsplitRnaseq_19","KRT18P37"
"TNFRSF1B","HuAgeMSNDsplitRnaseq_06","TNFRSF1B"
"PARP14","HuAgeMSNDsplitRnaseq_26","PARP14"
"TRIM60P18","HuAgeMSNDsplitRnaseq_04","TRIM60P18"
"PPIAP48","HuAgeMSNDsplitRnaseq_05","PPIAP48"
"MTND6P25","HuAgeMSNDsplitRnaseq_13","MTND6P25"
"RNF182","HuAgeMSNDsplitRnaseq_07","RNF182"
"CPE","HuAgeMSNDsplitRnaseq_07","CPE"
"USP46-AS1","HuAgeMSNDsplitRnaseq_07","USP46-AS1"
"CNR1","HuAgeMSNDsplitRnaseq_14","CNR1"
"GAL3ST4","HuAgeMSNDsplitRnaseq_06","GAL3ST4"
"FGFBP3","HuAgeMSNDsplitRnaseq_07","FGFBP3"
"TRPV2","HuAgeMSNDsplitRnaseq_06","TRPV2"
"SYNGR3","HuAgeMSNDsplitRnaseq_14","SYNGR3"
"SURF1","HuAgeMSNDsplitRnaseq_09","SURF1"
"AL512303.1","HuAgeMSNDsplitRnaseq_04","AL512303.1"
"JAK3","HuAgeMSNDsplitRnaseq_05","JAK3"
"NIFKP8","HuAgeMSNDsplitRnaseq_02","NIFKP8"
"AC007541.1","HuAgeMSNDsplitRnaseq_11","AC007541.1"
"RNU6-311P","HuAgeMSNDsplitRnaseq_16","RNU6-311P"
"RN7SL546P","HuAgeMSNDsplitRnaseq_13","RN7SL546P"
"SRP14P1","HuAgeMSNDsplitRnaseq_05","SRP14P1"
"HSPA12B","HuAgeMSNDsplitRnaseq_18","HSPA12B"
"ADH1B","HuAgeMSNDsplitRnaseq_12","ADH1B"
"COL6A1","HuAgeMSNDsplitRnaseq_05","COL6A1"
"FNDC10","HuAgeMSNDsplitRnaseq_14","FNDC10"
"SLC6A1","HuAgeMSNDsplitRnaseq_07","SLC6A1"
"BPIFB9P","HuAgeMSNDsplitRnaseq_08","BPIFB9P"
"LINC02251","HuAgeMSNDsplitRnaseq_04","LINC02251"
"TRIB2","HuAgeMSNDsplitRnaseq_12","TRIB2"
"SIRPB3P","HuAgeMSNDsplitRnaseq_07","SIRPB3P"
"LDHA","HuAgeMSNDsplitRnaseq_03","LDHA"
"LINC01410","HuAgeMSNDsplitRnaseq_06","LINC01410"
"AC104115.1","HuAgeMSNDsplitRnaseq_11","AC104115.1"
"RSPH1","HuAgeMSNDsplitRnaseq_04","RSPH1"
"AC244131.1","HuAgeMSNDsplitRnaseq_19","AC244131.1"
"ANKRD40","HuAgeMSNDsplitRnaseq_03","ANKRD40"
"RPL29P19","HuAgeMSNDsplitRnaseq_12","RPL29P19"
"WASH5P","HuAgeMSNDsplitRnaseq_06","WASH5P"
"TRAJ28","HuAgeMSNDsplitRnaseq_10","TRAJ28"
"AL662890.1","HuAgeMSNDsplitRnaseq_15","AL662890.1"
"AL355338.1","HuAgeMSNDsplitRnaseq_12","AL355338.1"
"SEC14L5","HuAgeMSNDsplitRnaseq_22","SEC14L5"
"H2AFJ","HuAgeMSNDsplitRnaseq_12","H2AFJ"
"LINC01750","HuAgeMSNDsplitRnaseq_08","LINC01750"
"DBI","HuAgeMSNDsplitRnaseq_03","DBI"
"RF00432","HuAgeMSNDsplitRnaseq_02","RF00432"
"GOLGA6L10","HuAgeMSNDsplitRnaseq_12","GOLGA6L10"
"PRTN3","HuAgeMSNDsplitRnaseq_02","PRTN3"
"FAM189A2","HuAgeMSNDsplitRnaseq_07","FAM189A2"
"QDPR","HuAgeMSNDsplitRnaseq_08","QDPR"
