"","other","newoligo"
"Gm32507",0.151285159276563,0.803676036824514
"Gm32568",0.0795759594626067,1.29473579019586
"Gm32633",0.967451413798766,2.34954245871842
"Gm34144",0.548471714212252,3.81999398941971
"Gm37120",0.274139238081984,1.81909714529792
"Gm37599",0.458150077268329,1.116033456325
"Gm39164",0.0732249522524505,1.23078793496072
"Gm42492",0.171678480925847,1.8296235832542
"Gm42682",0.597462867015586,0.82030489463796
"Gm42966",0.271645394466999,2.15008894601208
"Gm42976",0.174026528542846,0.506540806757205
"Gm43206",0.938102973952729,4.23767518635699
"Gm43432",0.103175188638937,0.76005633211741
"Gm43520",0.155270804446888,2.87928227088559
"Gm44268",0,1.5745428398299
"Gm44470",0.350125644250745,0.68699419166145
"Gm47063",0.211035650309774,2.944450799633
"Gm47135",0.835406542524677,6.65287701435228
"Gm47317",0.201776652605902,1.3298125979037
"Gm4768",3.07614162450989,11.4531134757118
"Gm47776",0.122791096917965,0.933333028906245
"Gm48022",0.0647300369772351,1.2157997923327
"Gm48668",0.125336826982547,0.837818682176075
"Gm5228",0.243898370676528,0.9040121354291
"Gm5754",0.0503917791774038,0.666045665544796
"Gm6129",0.122636857629969,1.10345140182527
"Gm7802",0.1425813779972,1.16636377269403
"Gm7931",0.134602786418666,1.7231663487777
"Gm9945",0.128897275145072,1.34601037792787
"Gnb4",2.36153977914275,6.73533968453687
"Gp1bb",3.52955332584115,8.9675828519373
"Gpr15",1.46205949791884,6.0655024572495
"Hist1h2bf",1.07424392952001,3.82280929173659
"Hist1h2bp",0.704790264275225,3.40228572038481
"Hist1h4m",0.543048598451646,1.99557179528715
"Hr",1.51002377884173,6.58062388316285
"Ick",1.88075593451775,5.78791840724368
"Igsf9b",0.963760468337241,5.76081278143328
"Il12rb1",0.464746280504878,3.11201080207316
"Il23a",1.60823193280413,7.18359654387852
"Itgb7",3.73418925526159,4.04477674599718
"Itpr2",1.66411787815236,4.04655028399915
"Kazn",1.20664434462366,5.31423160407339
"Kif19a",1.24104521054711,6.94169783902699
"Kndc1",0.989542498068706,7.87157573684186
"Lgi3",1.98378380401747,10.3216205115947
"Lims2",1.46644473787398,7.55558479867602
"Mag",2.55201888865165,11.938041443743
"Map6d1",1.82899008814949,8.63079572425524
"Map7",0.603529922640075,3.26670241639394
"March8",3.08661660271394,7.08494451889299
"Matn1",0.351392242202367,5.14663047550168
"Mical3",0.958656090537654,4.60260788506485
"Mir219a-2",0.859017956114145,7.34615470753043
"Mir344f",0.518168862634957,4.33549874718941
"Mir344i",0.357367279804081,2.21479054738472
"Mir6338",0.0513715435269614,3.20854187068973
"Mx2",1.5582442109669,3.17934587814096
"Mycl",3.63597546933661,8.71031326121432
"Myrf",1.18579924170678,8.7803730870002
"Neu4",1.35531829792837,9.67231017334642
"Neurog2",0.622826245671558,4.01990552641761
"Nfasc",1.45116996589057,9.20589320754915
"Nipal4",0.9100979508937,5.65674501556335
"Nkx2-2",0.610899677158063,4.46892047907965
"Olfr279",0.18773486729084,1.87868589391371
"Parvb",2.46896794367401,6.74445774462426
"Pcdh17",1.27623095078034,5.47521347400755
"Phldb1",2.48598880306229,8.5225024320834
"Pik3r3",1.08909596220464,5.16305172140496
"Pla2g4a",1.66964682523959,2.51736619930666
"Plekhg3",2.04738686097027,4.69291479043858
"Plp1",3.21290348886706,13.843477117004
"Plxnb3",2.30928693049566,9.91596554053652
"Ppp1r16b",1.40682686138244,6.54195144269367
"Ppp1r17",0.107654505936907,1.15891198842384
"Prickle1",1.23561149247408,5.03594572558603
"Prima1",0.386816841250555,3.59977381918417
"Ptgds",2.83168719216726,8.13515925557926
"Ptpro",2.51600743447119,4.24607320453151
"Pycr1",1.77422823567932,6.71592090668419
"Rab33a",1.56868565119483,6.80085366989834
"Rap2a",3.60124019331555,7.99483813510913
"Rgs16",1.71526661067254,6.55863812826912
"Rhbdl2",0.455270139386205,2.75925296402273
"Rnd2",3.73112380011659,10.3726761748181
"Rnf122",2.78450178966509,7.01072217843462
"Rnf128",0.835757333681252,2.08083725338782
"Rras2",2.26739272532359,4.97140984505453
"Rtkn2",0.435809795565665,2.78354788304662
"S100a14",0.51683927411728,3.14492935226142
"Secisbp2l",3.93471512109881,7.23055676477462
"Sema3d",0.407719770076279,3.28040523509623
"Sema4d",3.31176770826678,7.64204103004312
"Sema4f",1.07791160777125,5.02376017986168
"Sema5a",0.589586918005764,4.16210802641299
"Sgk2",0.395450091979763,3.8272328571403
"Sirt2",5.08964366400938,11.1495873191449
"Slc12a2",2.97300931517177,6.58655061561758
"Slc1a1",0.65496860581877,3.20148762133257
"Slc22a21",1.48769396476134,4.45022567195916
"Slc44a1",2.34795024370974,6.84617279155841
"Snx30",2.03144261664207,4.57977627484746
"Srpk3",3.12071423519182,7.65389059434433
"Ssh3",3.14632966930383,8.40017986711226
"St18",0.230220395523578,1.76920601780402
"Strn",2.30085778314874,5.09382186320529
"Susd4",0.797635941736931,4.53539285648557
"Syde2",0.72191407275158,3.75082561889513
"Syne3",0.838938199176616,1.66324621702636
"Sytl2",0.571354497631805,3.52145952894018
"Tmem108",0.259119240141859,2.36555202056628
"Tmem163",1.03080741252582,5.32254783340204
"Tmem2",1.82525447163354,4.9110817655557
"Tmem40",0.968291142826373,2.37649307287087
"Tmprss3",0.201600330419,1.94529572216003
"Tmprss5",0.42250825984932,2.66931207669126
"Tnr",0.634079803587959,5.54399505161134
"Tns3",1.97615087643245,5.65147407141952
"Tppp",3.06920794208456,8.93770204552095
"Tspan15",1.23128137048545,6.2556188070907
"Tspan2",2.01073547370227,8.32606370772608
"Tubb4a",3.4540390613128,12.1398721219078
