"","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"Tm4sf5",0.357827605858409,0,0.255334843814445,0.402780321914576,0.331945943825008,0.33954527498566,0.255334843814445,0.391977564226909,0.0922966542098394,0.726227298844514
"Tmem102",0.558955267719853,1.11083728286558,1.14505172669537,0.115106118009495,0.812382820994866,0,1.14505172669537,0,0.368339577630384,0
"Tmem130",1.09978630198306,1.15118638564953,2.14460308711566,0.191996625450336,1.45091609642043,0.147029388196908,2.14460308711566,0.138987103102739,0.185415504240808,0.26218917347698
"Tmem132a",3.89161657799178,5.26943693758354,5.49595089304151,2.66005159727224,4.76280016326824,1.84031680837944,5.49595089304151,1.84495298681319,3.22573622548045,3.07248530161488
"Tmem132e",0.460092661349581,1.61124562252705,1.10497014854749,0.0397189801985938,0.721108522591427,0.0300872832288722,1.10497014854749,0.0401163776384962,0.00545617599060998,0.0735049074786946
"Tmem145",1.31348164899662,4.11216218532038,3.112483063407,0.0891904784279993,2.02643556361004,0.0525285178906544,3.112483063407,0,0.128899224513798,0.1565103064558
"Tmem151b",1.95299125911582,4.14024706847641,4.16937040621084,0.287066481577762,2.8620113360089,0,4.16937040621084,0,0.436816437928669,0.48179630312017
"Tmem158",3.97836379391561,6.57821045689158,5.43298859157751,3.03054792883344,4.9455709919058,1.96850566518658,5.43298859157751,1.83987587294738,1.92310019538959,5.56680212934057
"Tmem169",0.797707681250832,1.83424875932564,1.57173161099936,0.250004377480222,1.1628799612841,0.0526191806780468,1.57173161099936,0.0492060473244013,0.1408549133896,0.600111837757828
"Tmem178",0.789037108421091,2.24726943773461,1.60503462502627,0.257318322555749,1.1874475693629,0.0579664231595019,1.60503462502627,0.0658941641529679,0.143302468801324,0.601043166393512
"Tmem178b",0.64706175366768,1.98193960266868,1.41520099131484,0.141799651851538,0.976790653890932,0.07402674030399,1.41520099131484,0.0811086412323728,0.0555089298884773,0.300919586557597
"Tmem181c-ps",0.321602996448888,0.620507447205583,0.534912168482707,0.172320527263884,0.457997271289864,0.0212448533253778,0.534912168482707,0.0283264711005037,0.0911280818851776,0.426305840038646
"Tmem191c",3.26144889354264,6.05254978936737,5.30492279691603,1.82229684006901,4.59503203304975,0.291870483854251,5.30492279691603,0.170769572926867,2.30373171329344,3.32269468741516
"Tmem200a",0.293745228693549,0.247703719711857,0.469888117791074,0.133865012110504,0.366767926132083,0.0814224334921595,0.469888117791074,0.0906500729096652,0.0458811617887947,0.27370678947322
"Tmem210",0.560120954539596,0.280935132101985,1.16037549937947,0,0.738420772332393,0,1.16037549937947,0,0,0
"Tmem229b-ps",0.327488312845959,0.84657932193027,0.775916528824813,0,0.493765063797608,0,0.775916528824813,0,0,0
"Tmem240",1.50112257260438,2.67728273095596,2.80312037590976,0.508894514506111,1.97606275086461,0.489077121976631,2.80312037590976,0.612286223183283,0.240269069273721,0.653449909325895
"Tmem255a",0.982431446015584,2.81644925372009,2.05739479770173,0.271090739253274,1.48546969604687,0.057580710355666,2.05739479770173,0.0580933766647384,0.161233857928438,0.636544455684354
"Tmem28",0.649289162201577,1.72291839804334,1.47050221049713,0.0649313994231924,0.979224374277717,0.0103746379526328,1.47050221049713,0.0138328506035104,0.0229757591542215,0.168205298275782
"Tmem30c",0.368642082971922,0.129882008642712,0.426366901160781,0.28828785776552,0.445243783016367,0.098297389267397,0.426366901160781,0.0981951277845332,0.395240572794356,0.409446418713867
"Tmem35a",1.33443280346021,4.47622247172639,3.0861780738572,0.194379400396116,2.08404918312131,0.0584351764587319,3.0861780738572,0,0.247477716322883,0.374536364944687
"Tmem47",1.68958657790944,1.28754594975871,2.84726985972843,0.626358627798991,2.13670944717791,0.359488530383491,2.84726985972843,0.160002129864577,1.19820156629763,0.614143486821649
"Tmem56",0.995991662984552,1.59869645434051,1.92613515809679,0.257454203680843,1.3652399490616,0.13123507411166,1.92613515809679,0.131603920640132,0.139060552898336,0.526868194112202
"Tmem57",2.78439139512402,3.99329880047028,3.7548397726651,2.08636249044386,3.45350821062662,1.24654700382842,3.7548397726651,1.40509167385799,2.27314588489262,2.71710407589812
"Tmem59l",1.68102717961771,3.514509500927,3.50416263136507,0.314968949502434,2.4329046082553,0.0717348311916664,3.50416263136507,0,1.00790063840779,0
"Tmem63c",0.466313544722714,0.516020158392896,0.799642611586531,0.180863937925646,0.533032256379068,0.295263741085285,0.799642611586531,0.350047420861555,0.0613596683352715,0.0973480279929291
"Tmem74",0.73302524274662,2.6789661596373,1.52423174947847,0.283962163967587,1.08490164167913,0.251850374904874,1.52423174947847,0.269694082010751,0.0793277014348976,0.505718324848479
"Tmem74b",0.646173023176991,0.323160622684066,1.16612215489367,0.150840982863279,0.851780267923813,0,1.16612215489367,0,0.00949037720477396,0.47320076795772
"Tmem74bos",0.290102894357488,0.417059812033003,0.422091392719259,0.190482573000379,0.386025297661538,0.0580555146902317,0.422091392719259,0.077407352920309,0,0.516655410096842
"Tmod2",1.84339227187077,5.73100236059794,4.06137358753904,0.388609881751924,2.84045564381903,0.0733705211948428,4.06137358753904,0.0698333082847591,0.532980246912473,0.626771404751974
"Tmtc1",0.572742810769407,1.42573564073267,1.12818909921079,0.193351412128604,0.831162995411953,0.0753355104932212,1.12818909921079,0.0717101674964756,0.14875516641146,0.383917151404301
"Tmtc4",0.566035308819676,0.133163238860291,0.630084773469021,0.455883018506576,0.690383488715066,0.115859796617508,0.630084773469021,0.104888654639489,0.832456542450623,0.500502731203034
"Tnfaip8l3",0.294821865838715,0.0071871116310268,0.432991790805738,0.137968837216608,0.350476743075633,0.069862264885268,0.432991790805738,0.0594736158227811,0.0678294277476566,0.302302512358152
"Tnpo2",2.72058325350865,4.7514161615335,4.47430289976714,1.43993267653558,3.87353116571363,0.0576847219511758,4.47430289976714,0.0769129626015677,1.78428205673824,2.73120695305373
