"","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"A330041J22Rik",3.48842170268772,0.26390269830265,0.855091503210719,0.149677369556224,0.636082044326057,0.0465392478345497,0.855091503210719,0,0.112891157445359,0.366076425134557
"A330048O09Rik",3.70448812924464,0.370386475611873,1.19034010400202,0.06968975747459,0.808172617073716,0,1.19034010400202,0,0.223007223918688,0
"A430103D13Rik",6.0310502024112,3.67702708348289,3.70472670016618,3.94704280875106,4.32882466777568,2.4730895064098,3.70472670016618,2.60947944903586,4.23222580463354,5.26693584452681
"A430105I19Rik",5.72473631150269,2.00418585847503,2.75495882154661,1.81232832241586,2.28183776601141,2.1707807260069,2.75495882154661,2.86667677881176,0.935026518801271,1.42441197835536
"A430110L20Rik",3.23278839093151,1.12455075430526,1.14353011590687,1.37147351748213,1.70245859285226,0.0623636074575605,1.14353011590687,0,1.78360410118572,2.6051111547571
"AC112142.1",3.76039087834543,0.355760359673592,1.02467143263412,0.19604198566711,0.731119536070772,0.174680254249307,1.02467143263412,0.199822902578504,0.0531807116913913,0.334366159349156
"AC122018.1",2.90109611892356,0.167850776037125,0.683765689828348,0.0580808943306094,0.477364271222119,0,0.683765689828348,0,0,0.18585886185795
"AC122858.2",6.95007495356917,1.92536905586197,4.76093581905432,0.0723363752820575,3.0822947032397,0,4.76093581905432,0,0.0641984606300804,0.167277940272504
"AC130671.1",4.41686822281548,0.584173832685446,1.38993765917952,0.358217283269388,0.942818146768616,0.556075566489239,1.38993765917952,0.680727853988521,0.104039768283007,0.225382113392808
"AC139294.1",3.37789936286813,0.906295436955432,1.16725734034175,0.986904262231492,1.16748194232553,0.805933528665832,1.16725734034175,0.86243338454981,0.791287598287574,1.33188597939343
"AC139845.1",4.19622508641157,0.551984228913596,1.56485127330341,0.121255672259756,1.0642847007448,0.0542181457522924,1.56485127330341,0.0722908610030565,0.044097943942728,0.257171174084824
"AC140304.2",4.67326266874598,0.481081471026462,1.15651549272395,0.414099351756099,0.80786042002135,0.630484660720399,1.15651549272395,0.607739119896537,0.351931555093636,0.243899426650037
"AC153911.1",4.46677214736386,1.15613143346991,2.3065821917997,0.563317109168081,1.69809211282845,0.493399743707409,2.3065821917997,0.657866324943212,0.683891453986885,0.329283705419119
"AC154586.1",2.72637740271136,0.184571239715595,0.643685311072837,0.10057219765248,0.4827613417027,0,0.643685311072837,0,0.321831032487936,0
"AC154636.1",6.70582636370554,2.87650478716116,4.63963017881088,1.8124352665357,4.27062667126925,0,4.63963017881088,0,2.79681286715504,3.0029799857592
"AC154718.1",5.30224346611243,1.56350907308189,2.13514682496973,1.53066783930884,2.4719427717508,0,2.13514682496973,0,2.11529310257901,2.78284398320929
"AC160550.2",3.24995854610417,0.352199981606848,1.01204717495131,0.137053507992607,0.734739129119714,0.0246569670707974,1.01204717495131,0.0328759560943965,0.0139452040776413,0.385174874185427
"AC163667.1",4.04155059036263,0.830638148684079,1.81471353069206,0.370936244636913,1.42458951563089,0,1.81471353069206,0,0.523202945659554,0.663793037178568
"AI464131",9.31840221233957,2.05435905247894,4.50778438589549,0.815617280722026,3.10991084445047,0.967602414522373,4.50778438589549,1.09344571898397,1.03703908728629,0.260801348243431
"AI849053",6.25810739950203,0.821912721520889,2.39254033694048,0.127137892776392,1.5264565378617,0.243465896078947,2.39254033694048,0.217980955144944,0.145264110710522,0
"AL626769.3",4.77698616211467,0.937515699611443,2.28026395063131,0.242544787781965,1.60114170922534,0.072411788799022,2.28026395063131,0.0267616697114572,0.307329266429568,0.436700050818972
