"","astro","other"
"Ak3l2-ps",6.88664033922264,1.43437273052188
"Ak4",4.02300877253706,0.627038465652278
"Akap9",4.71805041816728,1.90960556808893
"Akr1b10",5.69515734277544,3.56002246579774
"Akt2",6.45757987251868,3.0147825970804
"Akt2-ps",10.4386738500584,3.46180312517253
"Alcam",4.54471612541932,1.91723585571293
"Aldh1l1",6.3867300967033,0.48326269932793
"Aldh6a1",3.2652247793468,0.498667117665325
"Aldoc",11.5827365022772,4.91244346262261
"Alms1",3.07981622436148,0.659629415692713
"Alms1-ps2",1.5039110366322,0.126499630153465
"Alpk1",2.74027378748552,1.03866715257763
"Alpk3",2.75585670088909,0.162600856580893
"Alpl",4.45799301732962,0.40810717194091
"Als2cl",6.48867221888016,1.49396049425893
"Amer2",7.21911730832928,2.25357911353965
"Amigo2",6.26339540236273,2.75922588719606
"Amot",5.39746573206246,0.804352653627809
"Ampd2",7.6100809739745,4.02986660267836
"Angptl4",7.84820097616211,2.11884558764288
"Ankrd16",7.07564102214531,3.56585504271114
"Ankrd9",5.69582413022309,2.93177845603119
"Aox1",3.22166968340464,0.224218619074928
"Apobec1",3.42421349749645,3.11185602087129
"Apoc1",3.2269013648968,2.32596070159331
"Apoe",14.2831316013929,11.3949036826888
"Appl2",7.16903446995388,2.90275968262937
"Aqp4",10.5697713576226,1.71212916043985
"Arap2",4.72961221655885,1.05885514155867
"Arglu1",7.6404347444474,4.39556070359677
"Arhgap21",5.96799193032883,2.26805347038719
"Arhgap42",2.14106912960398,0.378712053364899
"Arhgap8",2.57374666467156,0.290740830329081
"Arhgef12",5.32758054818117,2.2463070010536
"Arhgef17",4.52807602807819,0.917463442170403
"Arhgef25",7.22970271379431,2.55155033912035
"Arhgef26",5.01755519287199,0.615632608100583
"Arhgef33",1.29451076186339,0.165129019021318
"Arhgef4",4.39325476546468,0.830622927857662
"Arhgef40",7.43249221368163,2.9740849928765
"Arntl",3.85653631021649,1.26182828207649
"Arntl2",1.21678015359713,0.151187700013468
"Arrdc3",7.81316100616714,5.00194670178728
"Arx",6.01880823340847,0.824248965910354
"Arxes2",9.07871404981514,3.3308085073706
"Aspg",3.38313281154807,0.195679397471113
"Asrgl1",7.69198987511827,3.1534578252656
"Astn1",4.27298657779436,0.803513548078028
"Atad2",4.01475984502395,2.37699404837533
"Atl2",6.89664440372962,2.69794653407515
"Atp13a4",5.36657422900151,0.308417303712637
"Atp13a5",2.64070313704245,0.279967680838957
"Atp1b1",8.21077542109995,2.22015863708996
"Atp1b2",12.0123629511417,3.51477339710019
"Atp2a2",8.40992177403465,4.78671682806471
"Atp2b4",4.88600191448251,1.14282559268068
"Atxn7",4.3534675374769,1.54351718330359
"Atxn7l2",6.14376815246206,2.5613785630241
"Axdnd1",1.20892910224701,0.182314884216559
"Axin2",5.50103206098485,1.24007524077677
"Axl",6.80897044954397,2.9871259229337
"B230303O12Rik",3.47461878419784,0.784443409016472
"B230311B06Rik",3.06177923716596,0.68189064081187
"B3gnt5",5.24758961627449,1.77665526766453
"BC030499",1.82305118263025,0.508050047388589
"BC034090",4.46178376542943,0.941274766348895
"BC037032",3.02442189444334,0.914142009601342
"BC067074",2.12673700233159,0.25024467483124
"Baalc",7.39123775360748,1.46227651148832
"Bcan",12.0274597970421,3.47016381296678
"Bcar3",2.13033265383095,0.408488310477169
"Bcl2l12",4.24884829253322,1.20208321412693
"Bcl6",5.42380064586415,3.16335822137066
"Bdkrb2",3.83001973255035,0.500718172629802
"Bdnf",2.07544370485309,0.175292414254511
"Bhlhe40",11.5981135376072,5.94135845517656
"Birc7",2.76602721406481,0.236138272996143
"Bmp15",2.11516366928966,0.180513131786972
"Bmp7",4.16261300236007,0.793495344025147
"Bmpr1a",5.07503933963514,1.52096683972216
"Bmpr1b",3.42728892562937,0.181733972639688
"Bms1",5.16487086838037,2.43383997854341
"Boc",4.02875073703408,0.437580725488353
"Btaf1",5.02356624549025,2.41232655489541
"Btbd17",8.9664338856746,2.19978548400303
"Btg3",5.07044807800274,2.28732956262581
"Btnl7-ps",1.62507187130601,0.33257951212712
"C030018K13Rik",4.77271925330056,0.2971187229773
"C030037D09Rik",6.26532366345305,1.03119725284175
"C130071C03Rik",5.00618690353213,0.662963378633388
"C1s2",2.13135208066562,0.274631160889985
"C230035I16Rik",4.51528106424474,1.00264281127227
"C230037L18Rik",3.9850467885901,0.845583080159567
"C2cd4b",3.92141856739656,0.355618497428268
"C4b",5.46972002061622,1.99935198248033
"CR974586.6",1.95901916940094,0.128924701143675
"CT025533.1",4.9306233941622,0.537089279591999
"Cachd1",3.09204793238654,0.464764271984026
"Cacnb1",5.85335769917062,1.62384623565374
"Calr4",1.50215392704049,0.311164235466353
"Camk2g",7.27034145909258,2.12322372860699
"Cap2",2.15869873657582,0.299522803494763
"Capn11",1.82547495162795,0.303295952584836
"Car2",8.19681601908426,3.36003115954727
"Car3",1.41217702473022,0.205011493680061
"Car5b",2.21952538631864,0.514676376893231
"Car8",5.35669017982234,0.683067713623893
"Cartpt",3.77723663022604,0.556099985899078
"Caskin1",7.92072655862396,1.95930548351302
"Casp8ap2",4.10206162749055,2.14977165103061
"Casq1",2.09828168638215,0.311185769896542
"Catip",3.16309697827736,0.847345161730753
"Catsper2",3.81921192634253,1.36568861727599
"Cavin3",6.74795727934039,2.82098673645182
"Cbr3",6.21330960627978,2.47400915017158
"Cbs",7.74775614916155,0.845473339153549
"Cbx5",7.11336648277824,2.90808394505262
"Cc2d2a",4.43163327646338,0.979637839952787
"Ccdc121",3.78848635444692,0.111595174761533
"Ccdc136",6.34454576107117,0.931146740788435
"Ccdc138",2.1857644749587,0.633923653067018
"Ccdc141",4.56896615759776,0.601864311102299
"Ccdc157",6.60704129247569,1.96077096151177
"Ccdc189",4.34771562445494,1.57847672349798
"Ccdc190",5.62346771809461,0.471857772243603
"Ccdc39",3.86919738917745,0.973606485773511
"Ccdc58",4.81059724178351,2.03743547400012
"Ccdc62",2.74112334384479,0.863036601320263
"Ccdc78",4.70122934208886,1.97004183784493
"Ccdc8",6.11695839981723,1.63891020782016
"Ccdc80",6.96472046638841,0.995606677896863
"Ccdc88c",4.14732355805408,1.56664255172238
"Ccdc96",3.59723244968067,0.886206798443166
"Cchcr1",4.22426294402256,1.53603795662228
"Ccna1",1.06760620465691,0.29220000516656
"Ccnd2",7.45374114694991,1.61534900377962
"Ccnl1",9.23749148372496,5.9898676392068
"Ccno",5.75842301419849,1.1817047877362
"Cd38",4.06416125125071,1.64789972660575
"Cd44",3.70198140652948,2.40401987256886
"Cdc25b",5.22091013270042,2.62708555502136
"Cdk11b",6.01911291069326,2.75944599324126
"Cdk5rap2",3.70806017149022,0.963342060138663
"Cecr2",3.17986722322363,0.672658867276716
"Celrr",2.79898435514056,0.12493679437619
"Celsr1",3.03068294863837,0.161893112220468
"Celsr2",6.15560559204443,1.73332233155622
"Cenpq",5.05098850246647,2.43452004071964
"Cep85l",4.84980649758696,1.59052445777274
"Cep89",3.71810900251188,1.26156706598755
"Cfap100",5.93115909332911,0.603938077209011
"Chic1",4.29438445243423,0.91425191392979
"Chil1",5.44105876786798,2.30460123476141
"Chn1os3",2.53849744367773,0.243507274764951
"Chrdl1",4.90506441571558,0.335681679023097
"Chrna1os",2.58322444702821,0.349915601299405
"Chst1",7.33960914208185,2.12054926450001
"Chst10",5.42015854384169,1.5127869918525
"Ckap5",5.51699383812685,2.31033947312601
"Cldn10",4.6421044376615,0.600175076556702
"Clu",10.4059253821779,4.7301715126046
"Cluh",6.70891659968485,4.06393182116386
"Cmya5",1.43450758367461,0.327333461801204
"Cnn1",1.7202948622952,0.184339287119367
"Cnn3",7.83904748120935,2.90080550052148
"Cntfr",5.61778034367513,1.24046090359283
"Cntrl",4.4318756270578,2.31562835947615
"Col16a1",5.28960257211042,0.945247878676935
"Col4a5",2.54989050151429,0.247629481416744
"Colgalt2",3.90058511549566,0.601179219903518
"Coq10b",6.50704669933416,3.35242913238589
"Cpe",9.0491080300992,2.72043719135936
"Cpeb4",6.44209816829949,2.83792856466338
"Cpxm1",6.0475600520375,1.55637255705951
"Crb2",4.23523539114584,0.319843002697279
"Crot",6.08090727742271,3.55658406096672
"Cry2",6.91003524788376,2.19356635701566
"Csdc2",7.74694294906403,1.89780328443685
"Csgalnact1",2.24471625739781,0.339483882350792
"Cspg5",9.95460085902977,2.94506893462658
"Cspp1",4.44915506793452,1.47718940193599
"Ctgf",7.8099110699389,1.83912970750274
"Cth",5.02581732249736,0.366506070993816
"Cwc22",7.68210597804188,2.68997441282176
"Cxcl14",8.22017289455246,3.12627676577796
"Cybrd1",5.4398058127368,0.52577304236048
"Cyp1b1",6.22647630579026,0.641826539609778
"Cyp2d22",6.82621070522136,2.1366147652044
"Cyp2j9",5.76556692440862,1.33785293449134
"Cyp4f13",5.22771073351609,3.4876869775944
"Cyp4f14",5.06397817207704,0.345897933881496
"Cyp4f15",6.94796560508099,0.52718686462127
"Cyp4f17",4.57664281940921,1.69011976069995
"Cyp7b1",2.02129859013417,0.423173445971496
"Cyr61",13.0568837200044,3.7224010059201
"D030046N08Rik",5.05003873017426,0.430352193478612
"D030047H15Rik",1.37325367945328,0.0801370540756103
"D030055H07Rik",2.50604761647873,0.356326528814325
"D130040H23Rik",5.22376396805211,1.20435657711068
"D330037F02Rik",1.00395148149795,0.124254576760713
"D3Ertd254e",5.73329323469585,2.04631857194779
"D630003M21Rik",4.27313066811394,0.659254563910221
"D630023O14Rik",1.96422234689868,0.325998097300853
"D630039A03Rik",2.75349460713282,0.319615801570867
"D930016D06Rik",5.09255091097964,1.80852984702
"Daam2",7.71614200174935,1.1024660544999
"Dag1",7.48060923568355,3.43740683257508
"Dagla",4.85661608276207,1.68907414081746
"Dapp1",3.32904493637631,2.88587090911586
"Dbi",9.40897901257725,6.77036030688575
"Dbp",7.6173372105269,3.0916958123069
"Dbx2",5.69406035864348,0.681350156347519
"Dclk1",4.53356638804306,0.72885815530232
"Dclk2",6.3199134354195,1.44017658572041
"Ddah1",4.68379252443845,0.993686962086466
"Ddhd1",6.42877819052048,1.96676450852695
"Ddit4l",4.0264737941735,0.524431012261813
"Ddo",1.67811878155432,0.113586488889112
"Ddr2",2.05567899048067,0.191017809646034
